context_len,source_type,n,entropy_alpha_pearson,entropy_alpha_spearman,entropy_exact_pearson,entropy_exact_spearman
64,ALL,5000,-0.42379862385007866,-0.4161412322242625,-0.6786586115922699,-0.6183627554627084
64,chat,1000,-0.15728623238802392,-0.032801021512193856,-0.4119424869354011,-0.4053171398659907
64,code,1000,-0.12991412186177312,-0.06690857908964797,-0.43773754646212637,-0.2686066696978734
64,json_config,1000,-0.49171536691986517,-0.4606034129712868,-0.8988099513267186,-0.8284084084084085
64,math,1000,-0.17722880141769207,-0.26159839734857904,-0.3349951870430605,-0.32186343554022256
64,natural_language,1000,-0.33960198603575653,-0.26675822691936396,-0.7056036069468475,-0.5263749105434599
128,ALL,5000,-0.4989044910822919,-0.4056871361694749,-0.7632241058283351,-0.7121934661823305
128,chat,1000,-0.4256808083683915,-0.2986983443648198,-0.8037889996642149,-0.6864017548385475
128,code,1000,-0.6140234145430107,-0.36700673645460363,-0.8068371504332115,-0.8188795075046345
128,json_config,1000,-0.4383340669029118,-0.44543787743935465,-0.7434807779021806,-0.7390473872645295
128,math,1000,-0.5341317846048892,-0.504394905917451,-0.7996427851334197,-0.707038112495189
128,natural_language,1000,-0.3382279613810001,-0.2171514766560518,-0.7053061531183852,-0.6011824360501592
256,ALL,5000,-0.454000515637685,-0.4415927574624164,-0.7384256174781672,-0.6941599845957791
256,chat,1000,-0.4804830900587564,-0.4088908423240364,-0.8292663560871602,-0.8138495137078338
256,code,1000,0.027362949713905512,-0.012928300525675162,0.053129528962101116,-0.189703738654509
256,json_config,1000,-0.5796346079036808,-0.3377384963075757,-0.8145285623516292,-0.7226610211649703
256,math,1000,-0.4620511268350189,-0.4102595010627976,-0.8856243825120848,-0.9674450136278385
256,natural_language,1000,-0.044160951271761166,-0.04760704281125057,-0.17129432739913314,0.030308771005179237
