context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,0,500,1.3036917,0.9956708,1.5260212,0.588,0.58292085,0.5826051,0.5767553,0.5620339,0.19625872,0.02201163328787757
64,1,500,2.055736,1.5260212,2.626918,0.596,0.598392,0.6078499,0.46612278,0.5207638,0.58778757,0.021944657664224338
64,2,500,2.7120728,2.6276398,2.9543555,0.34,0.35518473,0.35775426,0.24456462,0.24732022,0.50548065,0.021184900282984576
64,3,500,3.3789604,2.9555397,3.7731678,0.334,0.36309168,0.35045618,0.12239706,0.15012547,1.3716358,0.02109236828807993
64,4,500,3.9107347,3.7731678,4.0129585,0.194,0.19947918,0.18549222,0.11436699,0.07835848,1.3301402,0.01768411716767337
64,5,500,4.1624274,4.0129585,4.341176,0.202,0.20379576,0.20706664,0.09668241,0.041523162,1.5213048,0.01795527777562909
64,6,500,4.5223784,4.342185,4.5924277,0.178,0.17184229,0.15427378,0.052030597,0.03393844,1.2588603,0.017106489996489636
64,7,500,5.001858,4.5924277,5.2955523,0.154,0.15461425,0.15380701,0.03182883,0.018181358,2.490123,0.01614211882003103
64,8,500,6.076755,5.4190593,6.4003053,0.098,0.10132061,0.09645108,0.018874872,0.014326325,1.5565839,0.013296315279053818
64,9,500,6.6853194,6.4003053,6.8810987,0.042,0.046314847,0.043221973,0.0062605455,0.008116435,0.8674457,0.008970618707759236
128,0,500,0.5656738,0.07728179,1.5391976,0.928,0.9285543,0.92739445,0.8646766,0.92545694,0.024247784,0.0115599307956406
128,1,500,1.8123246,1.5391976,2.0516903,0.518,0.5089231,0.5142348,0.45123377,0.43061072,0.79070556,0.022346185356789647
128,2,500,2.5506072,2.053755,2.766614,0.532,0.53530616,0.5245545,0.30409354,0.40161762,0.64851725,0.022314838112789434
128,3,500,2.9260194,2.766614,2.9899135,0.38,0.38777915,0.38030276,0.20576696,0.2501873,1.023771,0.021707141681944216
128,4,500,3.1731124,2.99006,3.339991,0.452,0.44368592,0.4526777,0.16915461,0.17192997,1.7838265,0.022257403262734853
128,5,500,3.7931442,3.3401136,4.667071,0.308,0.29848376,0.29235575,0.124245524,0.13454792,1.1653036,0.020646355610615643
128,6,500,4.9598227,4.667071,5.2071867,0.192,0.18317243,0.17492704,0.053291075,0.03449319,1.461526,0.017614539448989292
128,7,500,5.634268,5.207871,6.0213976,0.186,0.19606176,0.19994755,0.02774493,0.032189313,2.781927,0.017401379255679705
128,8,500,6.3625255,6.0213976,6.526432,0.158,0.17842832,0.19063221,0.0109319575,0.003059056,3.3138824,0.01631171358257617
128,9,500,6.6391144,6.526432,7.0928183,0.11,0.114286594,0.1299198,0.007616657,0.00097030075,2.989693,0.013992855319769442
256,0,500,0.7571719,0.037387546,2.0179467,0.828,0.8304308,0.84092456,0.77968204,0.77124876,0.38301226,0.0168769665520792
256,1,500,2.271192,2.0179467,2.4013424,0.53,0.5294436,0.4889618,0.32292214,0.3369534,1.5622393,0.022320394261750844
256,2,500,2.586301,2.4013424,2.6399074,0.542,0.53573114,0.54011947,0.31867084,0.39442304,0.76647866,0.022281651644346295
256,3,500,2.8970022,2.6399293,3.0094795,0.316,0.31187302,0.32480025,0.18040182,0.12528485,1.1797812,0.020791536739741004
256,4,500,3.2746582,3.0094795,3.6364076,0.438,0.4454157,0.43110242,0.20811287,0.23589319,1.2423918,0.02218810492133116
256,5,500,3.8976517,3.6364076,4.034072,0.376,0.37868872,0.37574843,0.10387095,0.11426104,2.2928436,0.021662132858977667
256,6,500,4.6322618,4.034072,5.3772373,0.226,0.22939946,0.22433095,0.083922334,0.08621644,1.803637,0.01870422412183943
256,7,500,5.6837063,5.3772373,5.883272,0.226,0.22064449,0.24235725,0.027499255,0.0627695,2.2909017,0.01870422412183943
256,8,500,6.0459404,5.8871183,6.4892635,0.122,0.12652226,0.121488795,0.017741855,0.032511223,1.8046643,0.014636666287102402
256,9,500,6.76058,6.4893312,7.222625,0.11,0.111076936,0.11383592,0.007016108,0.001189711,2.478165,0.013992855319769442
