context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,chat,0,100,1.8132488,1.0901151,2.2045486,0.27,0.27207792,0.27710408,0.40900165,0.23879077,0.97965276,0.044395945760846225
64,chat,1,100,2.5872872,2.516375,2.6470265,0.49,0.503377,0.46838942,0.2608999,0.35644782,0.58117485,0.04998999899979995
64,chat,2,100,2.7581327,2.6470265,2.9360018,0.31,0.35215724,0.41812432,0.19495468,0.1973013,0.66751456,0.04624932431938871
64,chat,3,100,3.3608723,2.9360018,3.6767755,0.48,0.5002558,0.49281913,0.15573326,0.21901949,1.1536994,0.049959983987187186
64,chat,4,100,3.7466788,3.6767755,3.7940428,0.39,0.41384852,0.40259507,0.12683642,0.23926315,1.2362813,0.048774993593028795
64,chat,5,100,3.849737,3.7940428,3.9197583,0.27,0.28537655,0.26129764,0.12132318,0.17432894,1.0044463,0.044395945760846225
64,chat,6,100,4.0336046,3.9197583,4.1603146,0.35,0.33391586,0.2798913,0.10463102,0.08106263,2.1346977,0.047696960070847276
64,chat,7,100,4.4983654,4.1603146,4.846403,0.22,0.23731185,0.25719044,0.09440422,0.045620736,2.6084476,0.04142463035441596
64,chat,8,100,5.172213,4.846403,5.887745,0.17,0.16604361,0.18058695,0.020290002,0.020457648,2.2204921,0.0375632799419859
64,chat,9,100,6.289093,5.887745,6.5781994,0.2,0.213117,0.16533506,0.014249372,0.012292252,2.6901543,0.04
64,code,0,100,2.6478925,2.6478925,2.6478925,0.14,0.14000589,0.11777427,0.26011613,0.13999155,0.00088233256,0.03469870314579494
64,code,1,100,2.6478925,2.6478925,2.6478925,0.12,0.120008856,0.11777427,0.23060906,0.11999279,0.00088233256,0.03249615361854384
64,code,2,100,3.917463,2.6478925,4.0129585,0.02,0.021151407,0.011766001,0.17881209,0.020033097,0.9789083,0.014
64,code,3,100,4.0129585,4.0129585,4.0129585,0.0,0.0018995233,0.0037824018,0.13786466,2.9583396e-05,1.0525233,0.0
64,code,4,100,5.271196,4.0129585,6.170639,0.09,0.08108714,0.04321363,0.03166679,0.06260306,0.11016967,0.02861817604250837
64,code,5,100,6.2447314,6.170639,6.283395,0.04,0.043686524,0.05585612,0.015852507,0.017095203,0.7409985,0.019595917942265423
