context_len,source_type,n,entropy_mean,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_target_entropy
64,chat,1000,3.8109233,0.315,0.32774815,0.32033333,1.5276561
64,code,1000,5.133469,0.051,0.052322816,0.04895239,0.5934892
64,json_config,1000,2.4253428,0.582,0.5842449,0.5829881,0.54988277
64,math,1000,4.4215045,0.137,0.13421716,0.1295322,0.8801287
64,natural_language,1000,4.113727,0.278,0.28994507,0.287683,2.2916536
128,chat,1000,4.0707912,0.43,0.43255603,0.43286344,2.5161939
128,code,1000,4.389565,0.231,0.23259304,0.2202772,1.0154434
128,json_config,1000,3.655194,0.311,0.30784255,0.31050885,0.5355073
128,math,1000,2.654986,0.569,0.5663381,0.55994475,1.1191927
128,natural_language,1000,4.4377694,0.341,0.34801102,0.36987907,2.8053625
256,chat,1000,3.389294,0.508,0.5088714,0.48621982,1.8933815
256,code,1000,5.0861473,0.079,0.07982232,0.078580745,0.3236801
256,json_config,1000,4.1315093,0.345,0.34317535,0.36122853,1.1329571
256,math,1000,3.145001,0.505,0.50436455,0.5132707,1.5564667
256,natural_language,1000,3.6512809,0.42,0.42337942,0.41253516,2.9955719
