sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
0,64,chat,chat_template_1941,True,277,6.2979455,0.6071192,2.0745318,1059,0.017573414,0.0019165546,0.10905989,0,0.12647134,0.04852175,0.021093534
1,64,json_config,json_config_template_720,True,367,4.24072,0.40880352,1.9795939,1642,0.0042656944,3.0690328e-06,0.0007194685,0,0.34578907,0.14920071,0.032945585
2,64,chat,chat_template_1944,True,262,3.6767755,0.35443953,0.43056676,31639,0.0021401925,0.001827945,0.8541031,1,0.3798493,0.34885135,0.93953013
3,64,chat,chat_template_1066,True,272,3.3849041,0.32630327,0.83170056,278,0.24984494,0.13326812,0.53340334,1,0.41310477,0.24984494,0.13326812
4,64,math,math_template_1778,True,268,5.277405,0.50873953,2.5980906,31666,0.045933813,0.0014830922,0.03228759,0,0.1650753,0.054975577,0.0012199585
5,64,math,math_template_715,True,281,6.59691,0.63593924,0.7362968,24003,0.00034512283,1.6957272e-11,4.9134023e-08,0,0.0049078427,0.030585317,2.5467283e-08
6,64,json_config,json_config_template_785,True,273,1.4347627,0.13831049,0.019106096,29929,0.038461767,4.0626666e-05,0.0010562871,0,0.68330044,0.68175113,0.9982906
7,64,json_config,json_config_template_1824,True,367,4.2393556,0.408672,2.0625565,29911,0.003133182,0.0004807424,0.15343584,1,0.35568815,0.17375985,0.032159287
8,64,math,math_template_799,True,281,6.5709724,0.6334389,0.6824714,15690,0.00024245272,1.1499313e-09,4.7429094e-06,0,0.0049543413,0.031323843,1.4912537e-08
9,64,math,math_template_1930,True,268,5.2763863,0.5086413,2.6158614,31174,0.0016961283,0.00076228695,0.44942763,1,0.16678002,0.056608584,0.0013017689
10,64,code,code_template_1948,True,371,4.0129585,0.38684744,1.0525233,29899,0.38208008,7.426438e-05,0.00019436864,0,0.0037824018,0.38208008,7.426438e-05
11,64,code,code_template_1472,True,376,6.333871,0.61058235,3.0057094,2224,0.053491764,0.00028996693,0.005420777,0,0.09363294,0.06761992,5.971239e-06
12,64,json_config,json_config_template_1811,True,272,3.2839746,0.3165737,0.7132945,29933,0.31659818,0.8825635,1.0,1,0.41336182,0.31659818,0.8825635
13,64,code,code_template_1868,True,371,4.0129585,0.38684744,1.0525233,3804,8.69893e-06,2.929295e-09,0.00033674197,0,0.0037824018,0.38208008,7.426438e-05
14,64,math,math_template_693,True,268,4.5924277,0.44270802,0.67485034,16402,0.0004413838,1.7434692e-07,0.00039500074,0,0.038062226,0.119548485,1.878351e-05
15,64,natural_language,natural_template_1223,True,291,4.7798176,0.4607723,3.4262092,1207,0.0011974075,6.265131e-05,0.052322462,0,0.13157097,0.13786191,7.766683e-05
16,64,math,math_template_670,True,266,2.628354,0.2533722,0.76615,31191,0.0015672732,3.592148e-08,2.2919732e-05,0,0.59896266,0.58476627,0.7160043
17,64,math,math_template_368,True,295,4.262911,0.41094273,0.026100442,29889,0.23524925,0.00025647038,0.001090207,0,0.048019078,0.23524925,0.00025647038
18,64,json_config,json_config_template_487,True,277,1.6547941,0.15952143,0.48643088,29871,0.83487236,0.94278485,1.0,1,0.844882,0.83487236,0.94278485
19,64,code,code_template_936,True,399,2.6478925,0.25525567,0.00088233256,1125,0.44079104,1.5807132e-07,3.5860828e-07,0,0.11777427,0.44079104,1.5807132e-07
20,64,chat,chat_template_1787,True,273,4.1937923,0.40427974,2.2372086,338,0.30272076,0.06536488,0.21592468,0,0.32558966,0.30272076,0.06536488
