context_len,source_type,n,entropy_alpha_pearson,entropy_alpha_spearman,entropy_exact_pearson,entropy_exact_spearman
64,ALL,100,-0.4241726050558588,-0.336535070074515,-0.6700417556271747,-0.5896112004995078
64,chat,20,-0.14843879495108656,0.0933735998666951,-0.37156686535989497,-0.26315789473684204
64,code,20,0.1861499430817586,-0.15222696035335034,-0.3844856532351498,-0.20733652312599682
64,json_config,20,-0.6021935252427012,-0.4761222014477895,-0.9242905980289524,-0.8917293233082706
64,math,20,-0.3847978383537574,-0.31446010106748334,-0.4228118854199918,-0.4818181818181819
64,natural_language,20,-0.21289397017486028,-0.17811447572167896,-0.7643810059080873,-0.4330827067669173
128,ALL,100,-0.3645650617076976,-0.17061328248020524,-0.5707358175531572,-0.4669196224874523
128,chat,20,-0.3445942554416556,-0.20344665637961648,-0.727496071643959,-0.613533834586466
128,code,20,-0.35256605807141544,-0.2903640944899205,-0.26681015841128514,-0.03827751196172249
128,json_config,20,0.21011485397481075,0.3654135338345864,-0.6494213664429977,-0.6842105263157895
128,math,20,-0.8448854971870496,-0.7912465448228633,-0.9040964837721385,-0.8833333333333333
128,natural_language,20,-0.5098913292937589,-0.26476120714022655,-0.7908358735887284,-0.5413533834586466
