context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,chat,0,4,1.642019,1.088731,1.833883,0.25,0.25206673,0.33750892,0.36189294,0.23832884,0.075208426,0.21650635094610965
64,chat,1,4,2.686506,2.5446436,2.8546839,0.25,0.28105816,0.38171464,0.14532343,0.18663783,0.75661045,0.21650635094610965
64,chat,2,4,3.587792,2.9555724,3.813487,0.25,0.06939851,0.33340836,0.033813365,0.0037348915,0.9365133,0.21650635094610965
64,chat,3,4,4.091818,3.929863,4.188493,0.25,0.32323062,0.27858448,0.11823647,0.13465932,1.7738444,0.21650635094610965
64,chat,4,4,4.8711214,4.3700457,5.5769405,0.25,0.07685101,0.175768,0.050140977,0.0022875986,2.5989175,0.21650635094610965
64,code,0,4,2.6538005,2.6538005,2.6538005,0.0,2.730193e-06,0.118191004,0.3292113,1.1790784e-07,0.0008771469,0.0
64,code,1,4,4.0200553,4.0200553,4.0200553,0.0,0.00015874789,0.0037698345,0.28608418,5.476592e-05,1.0470239,0.0
64,code,2,4,4.324429,4.0200553,5.23755,0.0,0.0003254846,0.01092845,0.0006330912,1.07585315e-07,0.78628933,0.0
64,code,3,4,6.185349,5.579756,6.541038,0.0,0.00086083804,0.056610554,0.005657038,3.7497807e-07,1.4016492,0.0
64,code,4,4,6.8810987,6.8810987,6.8810987,0.0,5.0426024e-06,0.015490765,0.0075294357,7.3441647e-10,0.06629263,0.0
64,json_config,0,4,1.0980543,1.0300763,1.2348831,0.5,0.50000393,0.8735001,0.4409535,0.49980807,0.0035891612,0.25
64,json_config,1,4,1.5231555,1.3369107,1.8284364,1.0,1.0,0.7121211,0.7082983,0.98476374,0.13385679,0.0
64,json_config,2,4,2.2537725,1.9403763,2.9606946,0.75,0.7626625,0.6764792,0.3962536,0.47556937,0.46014795,0.21650635094610965
