context_len,source_type,n,entropy_mean,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_target_entropy
64,chat,20,3.3758512,0.25,0.20052102,0.30139688,1.2282188
64,code,20,4.8129463,0.0,0.00027056868,0.040998124,0.66042644
64,json_config,20,2.5003662,0.45,0.47419724,0.5505722,0.46462044
64,math,20,4.047877,0.2,0.15927635,0.13432421,0.4362666
64,natural_language,20,3.713014,0.35,0.357724,0.35221845,1.8989731
128,chat,20,3.998101,0.4,0.4383101,0.35217494,1.906586
128,code,20,4.0606394,0.0,0.00010474146,0.07051043,0.66241884
128,json_config,20,5.085452,0.1,0.06445117,0.21862754,0.7346276
128,math,20,4.3904495,0.3,0.2828607,0.42309514,2.043117
128,natural_language,20,4.45397,0.15,0.2199589,0.2755999,2.1482046
