sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
0,64,code,code_template_134,True,178,6.8810987,0.6633349,0.06629263,15233,0.00011099531,1.8361259e-09,1.6542373e-05,0,0.015490765,0.038338676,2.3442082e-08
1,64,json_config,json_config_template_176,True,147,1.0914345,0.105213806,0.0043900833,1642,0.0006479733,6.8350077e-09,1.0548286e-05,0,0.87446594,0.8740394,0.99957305
2,64,code,code_template_138,True,189,4.0200553,0.38753158,1.0470239,29899,0.3807394,7.297888e-05,0.00019167672,0,0.0037698345,0.3807394,7.297888e-05
3,64,chat,chat_template_40,True,156,2.6762085,0.25798532,0.04851596,31531,0.0013221261,4.5376981e-07,0.0003432122,0,0.02250232,0.47440127,0.00018740504
4,64,natural_language,natural_template_39,True,152,4.478177,0.4316943,1.3754334,470,0.09578333,0.06748862,0.7045967,1,0.2206606,0.119204275,0.042233296
5,64,chat,chat_template_75,True,129,2.5446436,0.24530253,1.0698957,29889,0.49505594,0.74023,1.0,1,0.6203609,0.49505594,0.74023
6,64,chat,chat_template_60,True,159,4.761855,0.45904073,3.844771,31835,0.16898832,0.0002979754,0.00176329,0,0.19086705,0.16898832,0.0002979754
7,64,natural_language,natural_template_78,True,152,4.353613,0.41968638,1.2966993,5645,0.0022961549,0.00042770186,0.18626873,0,0.270923,0.1590975,0.22329275
8,64,chat,chat_template_82,True,171,4.3700457,0.4212705,2.0685759,508,0.03102815,0.008845862,0.28509152,1,0.26552552,0.2701446,0.03063482
9,64,natural_language,natural_template_214,True,155,3.0432222,0.29336527,2.8006968,297,0.22229528,0.15721297,0.70722586,0,0.5685919,0.22229528,0.15721297
10,64,natural_language,natural_template_211,True,155,3.259523,0.31421658,2.6783588,2750,0.0057810456,0.00038057935,0.06583227,0,0.53473485,0.20943812,0.12629583
11,64,math,math_template_197,True,159,4.5905166,0.44252378,0.67128885,7968,0.019676661,0.17986575,1.0,1,0.037882634,0.11959615,1.8691915e-05
12,64,math,math_template_196,True,141,3.686521,0.35537902,0.03439378,718,0.08328313,0.0019531093,0.02345144,0,0.055526245,0.35063502,0.00034744813
13,64,json_config,json_config_template_20,True,146,1.4530678,0.1400751,0.027473444,29955,0.65937024,0.9972045,1.0,1,0.6611572,0.65937024,0.9972045
14,64,json_config,json_config_template_154,True,150,1.8284364,0.17626046,0.46794796,29871,0.8150528,0.94574547,1.0,1,0.8257739,0.8150528,0.94574547
