context_len,source_type,n,entropy_alpha_pearson,entropy_alpha_spearman,entropy_exact_pearson,entropy_exact_spearman
64,ALL,25,-0.20878620234433862,-0.37536456504305415,-0.5976215026010238,-0.5359753751442863
64,chat,5,0.5412022724849217,0.3,-0.49369806898845614,-0.49999999999999994
64,code,5,0.14247654352509045,-0.8720815992723809,0.34778115417726585,0.15789473684210528
64,json_config,5,-0.9818755215447413,-0.7826237921249264,-0.940389723068148,-0.7
64,math,5,0.16089781987271332,0.0,-0.06635492228120586,-0.7
64,natural_language,5,-0.5809221930908414,-0.7999999999999999,-0.8697858715553177,-0.8999999999999998
256,ALL,25,-0.4802178112931952,-0.473680596589776,-0.8665882255147359,-0.7899191996921892
256,chat,5,0.15773760609627027,0.5642880936468347,-0.6684704219484574,-0.6
256,code,5,-0.16877765107818005,-0.46169025843831935,0.002760042918508319,-0.15789473684210528
256,json_config,5,-0.7907457066832964,-0.7999999999999999,-0.9246831460357164,-0.6
256,math,5,0.30765149647171536,-0.3354101966249684,-0.9251277240542807,-0.9999999999999999
256,natural_language,5,-0.5409311229403821,-0.19999999999999998,-0.8294004395499425,-0.7
