context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,0,5,1.332755,1.2653075,1.5166944,0.6,0.5898646,0.4697577,0.59105504,0.54843247,0.48374826,0.21908902300206645
64,1,5,2.4813151,1.980234,2.6879604,0.2,0.30082244,0.51105666,0.2728781,0.19744185,0.41931143,0.1788854381999832
64,2,5,3.6925702,3.175758,4.1828737,0.2,0.20584309,0.19911902,0.04515343,0.0034402958,1.1724546,0.1788854381999832
64,3,5,4.775196,4.248407,5.998208,0.2,0.1473931,0.10195466,0.057340335,0.019155566,1.5414107,0.1788854381999832
64,4,5,6.6229706,6.400978,6.877718,0.4,0.4000021,0.08327394,0.014745611,0.0806562,1.7395275,0.21908902300206645
256,0,5,1.8181388,0.11419723,2.3837118,0.6,0.63841885,0.5811504,0.5262579,0.6023286,0.9810071,0.21908902300206645
256,1,5,2.4915736,2.3901584,2.629403,0.4,0.40405577,0.59580886,0.21999112,0.27583423,1.0498959,0.21908902300206645
256,2,5,4.0998545,2.875418,5.316418,0.4,0.40759557,0.44960886,0.061221637,0.09969,2.8285484,0.21908902300206645
256,3,5,5.793641,5.72854,5.9014835,0.2,0.2416224,0.12981167,0.03350172,0.006874507,1.2802143,0.1788854381999832
256,4,5,6.2508793,5.9199677,6.812352,0.2,0.061289273,0.10486163,0.006859485,2.2521588e-05,1.4740015,0.1788854381999832
