context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,chat,0,1,2.5350614,2.5350614,2.5350614,0.0,0.5032656,0.5478685,0.054627065,0.027491923,0.33138517,0.0
64,chat,1,1,2.5774024,2.5774024,2.5774024,0.0,0.0006177113,0.57864296,0.00063790753,3.9404267e-07,0.6192416,0.0
64,chat,2,1,2.6879604,2.6879604,2.6879604,0.0,0.000149122,0.023704557,0.477811,7.1252136e-05,0.030364,0.0
64,chat,3,1,5.998208,5.998208,5.998208,0.0,0.121558145,0.14102444,0.00011087826,1.3478156e-05,2.4474611,0.0
64,chat,4,1,6.400978,6.400978,6.400978,1.0,1.0,0.18818612,0.0035344528,0.0074339467,3.4346778,0.0
64,code,0,1,4.0202246,4.0202246,4.0202246,0.0,5.801202e-06,0.0037818467,0.00017621907,1.0222824e-09,1.0524676,0.0
64,code,1,1,6.454075,6.454075,6.454075,1.0,1.0,0.09407028,0.044826936,0.39584693,2.440332,0.0
64,code,2,1,6.504364,6.504364,6.504364,0.0,5.0129956e-06,0.10302082,0.02491927,1.2492019e-07,2.688327,0.0
64,code,3,1,6.877718,6.877718,6.877718,0.0,5.705654e-07,0.015546238,0.0003130318,1.7860513e-10,0.06715026,0.0
64,code,4,1,6.877718,6.877718,6.877718,0.0,4.795983e-06,0.015546238,0.00013437061,6.4443917e-10,0.06715026,0.0
64,json_config,0,1,1.2653075,1.2653075,1.2653075,1.0,1.0,0.728424,0.72744155,0.9989243,0.012351861,0.0
64,json_config,1,1,1.3031992,1.3031992,1.3031992,1.0,1.0,0.71607673,0.7151933,0.9987476,0.01350165,0.0
64,json_config,2,1,1.980234,1.980234,1.980234,1.0,1.0,0.80506116,0.7966744,0.9596429,0.35804772,0.0
64,json_config,3,1,4.1828737,4.1828737,4.1828737,0.0,8.359069e-07,0.21976899,3.223617e-05,2.6946438e-11,0.9550003,0.0
64,json_config,4,1,4.248407,4.248407,4.248407,0.0,1.4007121e-05,0.002589579,0.12707086,1.7798968e-06,0.037567418,0.0
64,math,0,1,1.2747734,1.2747734,1.2747734,0.0,0.0045505133,0.054357536,0.7171882,0.0032635743,0.3024085,0.0
64,math,1,1,1.3038003,1.3038003,1.3038003,0.0,2.6198155e-05,0.053604487,0.010874498,2.8489177e-07,0.2990526,0.0
64,math,2,1,2.625918,2.625918,2.625918,0.0,7.968246e-05,0.6000062,0.03464009,2.7602075e-06,0.7575187,0.0
64,math,3,1,3.8888438,3.8888438,3.8888438,0.0,0.009061398,0.04685488,0.022016022,0.00019949595,0.03384891,0.0
64,math,4,1,4.5882254,4.5882254,4.5882254,0.0,7.035226e-05,0.038023792,0.0025171505,1.7708723e-07,0.6750366,0.0
64,natural_language,0,1,1.5166944,1.5166944,1.5166944,1.0,0.9447463,0.79632574,0.78457755,0.74122673,1.7914267,0.0
64,natural_language,1,1,3.175758,3.175758,3.175758,1.0,0.9960854,0.560825,0.012452714,0.012403967,2.6499567,0.0
64,natural_language,2,1,3.195151,3.195151,3.195151,0.0,0.024062047,0.16436441,0.19108996,0.0045980155,1.1709999,0.0
64,natural_language,3,1,4.333853,4.333853,4.333853,1.0,0.61022925,0.2124218,0.15692793,0.095762014,1.3992841,0.0
64,natural_language,4,1,4.707287,4.707287,4.707287,0.0,0.0050937627,0.1157137,7.485e-05,3.8126814e-07,3.1477041,0.0
256,chat,0,1,2.1240034,2.1240034,2.1240034,0.0,4.799629e-07,0.3761421,0.0005342723,2.5643088e-10,0.16519773,0.0
256,chat,1,1,2.1339312,2.1339312,2.1339312,1.0,1.0,0.39351773,0.36686978,0.973332,0.16357914,0.0
256,chat,2,1,3.313761,3.313761,3.313761,0.0,0.002527137,0.6220347,2.955718e-05,7.4695045e-08,2.0472755,0.0
256,chat,3,1,5.3077564,5.3077564,5.3077564,0.0,0.09064733,0.26720604,0.00013993944,1.2685136e-05,2.765227,0.0
256,chat,4,1,5.7576303,5.7576303,5.7576303,1.0,1.0,0.06013693,9.5146555e-05,0.000118336844,3.4066381,0.0
256,code,0,1,5.72854,5.72854,5.72854,0.0,4.052639e-07,0.15645118,0.000102099286,4.1377155e-11,0.0010161152,0.0
256,code,1,1,5.9014835,5.9014835,5.9014835,0.0,2.6388343e-06,0.2140905,0.0005670976,1.4964767e-09,0.02049311,0.0
