sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
0,64,chat,chat_template_96,True,258,2.6879604,0.2591182,0.030364,30705,0.477811,7.1252136e-05,0.000149122,0,0.023704557,0.477811,7.1252136e-05
1,64,code,code_template_53,True,371,4.0202246,0.38754788,1.0524676,1642,0.00017621907,1.0222824e-09,5.801202e-06,0,0.0037818467,0.38058403,7.368722e-05
2,64,json_config,json_config_template_12,True,368,1.2653075,0.121975094,0.012351861,29955,0.72744155,0.9989243,1.0,1,0.728424,0.72744155,0.9989243
3,64,math,math_template_132,True,295,3.8888438,0.37488282,0.03384891,29871,0.022016022,0.00019949595,0.009061398,0,0.04685488,0.3364108,0.00028576472
4,64,chat,chat_template_39,True,275,2.5350614,0.2443788,0.33138517,322,0.054627065,0.027491923,0.5032656,0,0.5478685,0.4907044,0.9393069
5,64,json_config,json_config_template_55,True,278,4.1828737,0.40322718,0.9550003,13405,3.223617e-05,2.6946438e-11,8.359069e-07,0,0.21976899,0.13289411,0.0002172769
6,64,natural_language,natural_template_187,True,291,4.707287,0.45378038,3.1477041,402,7.485e-05,3.8126814e-07,0.0050937627,0,0.1157137,0.17074184,1.297587e-05
7,64,math,math_template_175,True,280,1.3038003,0.12568578,0.2990526,4371,0.010874498,2.8489177e-07,2.6198155e-05,0,0.053604487,0.7105987,0.0032682512
8,64,math,math_template_149,True,268,4.5882254,0.4423029,0.6750366,14278,0.0025171505,1.7708723e-07,7.035226e-05,0,0.038023792,0.11940278,1.8782952e-05
9,64,json_config,json_config_template_67,True,281,1.980234,0.1908937,0.35804772,29871,0.7966744,0.9596429,1.0,1,0.80506116,0.7966744,0.9596429
10,64,natural_language,natural_template_162,True,289,3.195151,0.30801117,1.1709999,29889,0.19108996,0.0045980155,0.024062047,0,0.16436441,0.20987126,0.0017452099
11,64,json_config,json_config_template_52,True,278,4.248407,0.40954456,0.037567418,29900,0.12707086,1.7798968e-06,1.4007121e-05,0,0.002589579,0.12707086,1.7798968e-06
12,64,chat,chat_template_154,True,271,6.400978,0.6170515,3.4346778,2582,0.0035344528,0.0074339467,1.0,1,0.18818612,0.051534217,0.00047338355
13,64,json_config,json_config_template_18,True,369,1.3031992,0.12562783,0.01350165,29955,0.7151933,0.9987476,1.0,1,0.71607673,0.7151933,0.9987476
14,64,natural_language,natural_template_160,True,385,1.5166944,0.14620867,1.7914267,30631,0.78457755,0.74122673,0.9447463,1,0.79632574,0.78457755,0.74122673
15,64,natural_language,natural_template_189,True,295,3.175758,0.30614167,2.6499567,304,0.012452714,0.012403967,0.9960854,1,0.560825,0.22952251,0.14876848
16,64,chat,chat_template_106,True,275,2.5774024,0.24846046,0.6192416,2198,0.00063790753,3.9404267e-07,0.0006177113,0,0.57864296,0.47891915,0.881868
