round_index,proposal_index,generated_index_before_step,draft_token_id,target_greedy_token_id,accepted_greedy,draft_entropy_nats,draft_top1_prob,target_entropy_nats,target_top1_prob,prompt_index,dataset_id,category,source_dataset,source_id,prompt_hash,token_record_index
1,1,0,1576,1753,0,6.227158069610596,0.0949670597910881,0.30616459250450134,0.9333327412605286,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,0
2,1,1,1475,1284,0,5.171083927154541,0.1874169260263443,1.3142446279525757,0.38683390617370605,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,1
3,1,2,278,29918,0,3.2460813522338867,0.5846269726753235,0.0130219217389822,0.9984390735626221,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,2
4,1,3,29876,29883,0,7.1188764572143555,0.022972669452428818,0.05683768913149834,0.991588830947876,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,3
5,1,4,4003,4003,1,6.409586429595947,0.051503736525774,0.0014924865681678057,0.9998524785041809,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,4
5,2,5,29918,29918,1,4.052414894104004,0.4426041543483734,0.00035116556682623923,0.9999698996543884,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,5
5,3,6,657,2083,0,7.036250114440918,0.02063669264316559,0.0008664558990858495,0.9999333024024963,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,6
6,1,7,310,29898,0,3.7737162113189697,0.35852548480033875,0.027216466143727303,0.9961572289466858,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,7
7,1,8,29896,29876,0,6.745776176452637,0.0553385391831398,0.00023550816695205867,0.9999822974205017,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,8
8,1,9,29897,1125,0,4.668149948120117,0.2901138365268707,0.0006249285652302206,0.9999479055404663,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,9
9,1,10,29871,13,0,6.972275257110596,0.05391453951597214,0.002873652847483754,0.9997294545173645,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,10
10,1,11,1576,1678,0,6.827883243560791,0.04077497497200966,0.11805413663387299,0.9814150929450989,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,11
11,1,12,849,396,0,6.793694496154785,0.06143764778971672,1.0669598579406738,0.7331621050834656,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,12
12,1,13,29871,14350,0,6.5280303955078125,0.07792814075946808,0.9805176258087158,0.7201212048530579,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,13
13,1,14,263,596,0,3.436352252960205,0.48508843779563904,0.36834219098091125,0.9075265526771545,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,14
14,1,15,3017,775,0,4.596872329711914,0.24895186722278595,0.07926435768604279,0.9869808554649353,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,15
15,1,16,304,1244,0,4.1041259765625,0.15957047045230865,0.0009457981796003878,0.9999215602874756,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,16
16,1,17,29889,13,0,3.3819031715393066,0.32644298672676086,0.054517023265361786,0.9909059405326843,0,mbpp,code,mbpp,train_236,e1df85051603eed81d742b710f848b223a7ae2d9,17
