t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,uses_subset,contained_waste,no_delay_ok
1,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.237183034651797,89.86066641573488,0.08053782954568144,2,0,0,0,1
1,best_all,12,Balanced,{'Balanced': 12},5.922206758726439,95.39279969888187,0.062082324634779064,1,0,0,0,1
1,primary_only,12,Balanced,{'Balanced': 10},6.410128346745968,89.86066641573488,0.07133408422646123,1,0,0,0,1
1,random_residual,12,Balanced,"{'Balanced': 10, 'Fast': 2}",6.80316078354425,89.86066641573488,0.07570788260204796,2,0,0,0,1
2,proposed,12,Subset,"{'Subset': 10, 'Balanced': 2}",6.633681603288074,78.5768262544653,0.08442287528647927,2,0,1,0,1
2,best_all,12,Subset,{'Subset': 12},5.575097082325199,81.93219150535836,0.06804525766847806,1,0,1,0,1
2,primary_only,12,Subset,{'Subset': 10},5.161798265434885,78.5768262544653,0.06569110145424784,1,0,1,0,1
2,random_residual,12,Subset,"{'Subset': 10, 'Accurate': 2}",6.602752855036526,78.5768262544653,0.08402926371261157,2,0,1,0,1
3,proposed,16,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 2}",7.7111673321550285,80.27725137228177,0.09605669352572714,3,0,0,0,1
3,best_all,16,Balanced,{'Balanced': 16},7.331746243484839,110.49046429837625,0.06635637102298415,1,0,0,0,1
3,primary_only,16,Fast,{'Fast': 10},5.387550899147192,80.27725137228177,0.06711180075364928,1,0,0,0,1
3,random_residual,16,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 2}",8.002676327248956,80.27725137228177,0.09968797125523073,3,0,0,0,1
4,proposed,16,Fast,"{'Fast': 10, 'Accurate': 5, 'Balanced': 1}",7.7566918132077385,83.87545156387935,0.09247868915853479,3,0,0,0,1
4,best_all,16,Fast,{'Fast': 16},6.406913097411902,97.00072250220695,0.06605015851573819,1,0,0,0,1
4,primary_only,16,Fast,{'Fast': 10},5.435612777945408,83.87545156387935,0.06480576469750102,1,0,0,0,1
4,random_residual,16,Fast,"{'Fast': 10, 'Balanced': 5, 'Accurate': 1}",7.533078313122967,83.87545156387935,0.08981267072387433,3,0,0,0,1
5,proposed,6,Fast,{'Fast': 6},4.838786247229313,73.45967718904005,0.06586996339198785,1,0,0,0,1
5,best_all,6,Fast,{'Fast': 6},5.303569436177466,73.45967718904005,0.07219701527586812,1,0,0,0,1
5,primary_only,6,Fast,{'Fast': 6},5.025701617794064,73.45967718904005,0.06841442557474078,1,0,0,0,1
5,random_residual,6,Fast,{'Fast': 6},4.408102472087003,73.45967718904005,0.06000710377127382,1,0,0,0,1
6,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",6.580971771519618,89.76309816451132,0.07331489115336114,2,0,0,0,1
6,best_all,12,Balanced,{'Balanced': 12},6.501892194935071,95.27571779741358,0.0682429095812236,1,0,0,0,1
6,primary_only,12,Balanced,{'Balanced': 10},6.368774479828231,89.76309816451132,0.07095092092472122,1,0,0,0,1
6,random_residual,12,Balanced,"{'Balanced': 10, 'Subset': 2}",6.833485923251357,89.76309816451132,0.07612800875842585,2,0,1,0,1
7,proposed,12,Fast,"{'Fast': 10, 'Accurate': 2}",5.488001744784057,82.85677213432093,0.06623480016681481,2,0,0,0,1
7,best_all,12,Balanced,{'Balanced': 12},6.473827703642771,100.4092956929627,0.06447438615084815,1,0,0,0,1
