t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,no_delay_ok
1,proposed,12,Fast,"{'Fast': 10, 'Accurate': 2}",6.48630981022958,83.9621656602055,0.07725276925894987,2,0,1
1,best_all,12,Fast,{'Fast': 12},5.478930085287463,88.3545987922466,0.06201069508753467,1,0,1
1,primary_only,12,Fast,{'Fast': 10},5.5827981358956364,83.9621656602055,0.06649183107650171,1,0,1
1,random_residual,12,Fast,"{'Fast': 10, 'Accurate': 2}",6.912552008360548,83.9621656602055,0.08232936768610298,2,0,1
2,proposed,12,Fast,"{'Fast': 10, 'Accurate': 2}",6.8633838015047015,80.28733493124872,0.0854852612480153,2,0,1
2,best_all,12,Fast,{'Fast': 12},6.073175392590315,83.94480191749847,0.07234724788032824,1,0,1
2,primary_only,12,Fast,{'Fast': 10},6.006882351377063,80.28733493124872,0.07481730906276624,1,0,1
2,random_residual,12,Fast,"{'Fast': 10, 'Accurate': 2}",7.30558075743946,80.28733493124872,0.09099294133620627,2,0,1
3,proposed,24,Balanced,"{'Balanced': 10, 'Accurate': 7, 'Fast': 7}",9.354263749652874,93.7070221073922,0.0998245759953026,3,0,1
3,best_all,24,Balanced,{'Balanced': 24},7.066032582988874,137.8168530577413,0.0512711792949474,1,0,1
3,primary_only,24,Balanced,{'Balanced': 10},6.396500710754199,93.7070221073922,0.06826063369534398,1,0,1
3,random_residual,24,Balanced,"{'Balanced': 10, 'Fast': 10, 'Accurate': 4}",8.22588980237841,93.7070221073922,0.08778306702512852,3,0,1
4,proposed,8,Balanced,{'Balanced': 8},5.4988255991268815,85.60911110086846,0.06423178010396488,1,0,1
4,best_all,8,Balanced,{'Balanced': 8},5.997694710944746,85.60911110086846,0.0700590700431172,1,0,1
4,primary_only,8,Balanced,{'Balanced': 8},5.413306933962676,85.60911110086846,0.06323283660292275,1,0,1
4,random_residual,8,Balanced,{'Balanced': 8},6.031192556956117,85.60911110086846,0.07045035837190153,1,0,1
5,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",6.737120362198938,96.74183094726158,0.06964019903522038,2,0,1
5,best_all,12,Balanced,{'Balanced': 12},6.21259011503935,103.65019713671389,0.05993804437096233,1,0,1
5,primary_only,12,Balanced,{'Balanced': 10},6.523438226930568,96.74183094726158,0.06743141165569623,1,0,1
5,random_residual,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.455073778186646,96.74183094726158,0.07706153279495764,2,0,1
6,proposed,8,Balanced,{'Balanced': 8},5.422817500774178,84.1329930189458,0.06445530232774462,1,0,1
6,best_all,8,Balanced,{'Balanced': 8},5.875010393712878,84.1329930189458,0.06983004149620461,1,0,1
6,primary_only,8,Balanced,{'Balanced': 8},5.738563562689217,84.1329930189458,0.06820824217435076,1,0,1
6,random_residual,8,Balanced,{'Balanced': 8},5.750625041071205,84.1329930189458,0.0683516042247092,1,0,1
7,proposed,6,Balanced,{'Balanced': 6},4.961708542226724,78.4675180793815,0.06323264280141015,1,0,1
7,best_all,6,Balanced,{'Balanced': 6},5.146789431133719,78.4675180793815,0.06559133711769728,1,0,1
7,primary_only,6,Balanced,{'Balanced': 6},5.146624908591454,78.4675180793815,0.06558924042155738,1,0,1
7,random_residual,6,Balanced,{'Balanced': 6},4.785959065586629,78.4675180793815,0.06099286918626536,1,0,1
8,proposed,6,Balanced,{'Balanced': 6},4.716706559563255,81.06880625242088,0.05818152230929642,1,0,1
8,best_all,6,Balanced,{'Balanced': 6},5.066302068401754,81.06880625242088,0.06249385309346976,1,0,1
8,primary_only,6,Balanced,{'Balanced': 6},5.923976681930197,81.06880625242088,0.07307344163283883,1,0,1
8,random_residual,6,Balanced,{'Balanced': 6},5.383845533972917,81.06880625242088,0.06641081548936888,1,0,1
9,proposed,24,Balanced,"{'Balanced': 10, 'Accurate': 7, 'Fast': 7}",9.400080368799522,92.46914127721789,0.10165640384415973,3,0,1
9,best_all,24,Balanced,{'Balanced': 24},7.479181735433222,134.8459390653229,0.05546464200015776,1,0,1
9,primary_only,24,Balanced,{'Balanced': 10},5.438530770553068,92.46914127721789,0.0588145482420846,1,0,1
9,random_residual,24,Balanced,"{'Balanced': 10, 'Fast': 10, 'Accurate': 4}",8.688310322909725,92.46914127721789,0.09395902463139139,3,0,1
10,proposed,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.631592526339286,91.77685023998413,0.08315378558300593,2,0,1
10,best_all,12,Balanced,{'Balanced': 12},7.275485589408542,97.69222028798096,0.07447354116798227,1,0,1
10,primary_only,12,Balanced,{'Balanced': 10},6.675760281342725,91.77685023998413,0.07273904327601687,1,0,1
10,random_residual,12,Balanced,"{'Balanced': 10, 'Accurate': 2}",7.281964193541489,91.77685023998413,0.07934423740300665,2,0,1
11,proposed,12,Fast,"{'Fast': 10, 'Accurate': 2}",6.694287119080493,84.8457983792874,0.07889945344323268,2,0,1
11,best_all,12,Fast,{'Fast': 12},6.179922380988801,89.41495805514488,0.06911508449377629,1,0,1
11,primary_only,12,Fast,{'Fast': 10},5.5928708579930815,84.8457983792874,0.06591806506423795,1,0,1
11,random_residual,12,Fast,"{'Fast': 10, 'Accurate': 2}",6.0781715007126405,84.8457983792874,0.0716378608819414,2,0,1
12,proposed,6,Fast,{'Fast': 6},5.159809625979195,73.16659890360566,0.07052138138574757,1,0,1
12,best_all,6,Fast,{'Fast': 6},5.448366309302592,73.16659890360566,0.0744652121452388,1,0,1
12,primary_only,6,Fast,{'Fast': 6},4.911425974230183,73.16659890360566,0.0671266130697261,1,0,1
12,random_residual,6,Fast,{'Fast': 6},5.194462332346488,73.16659890360566,0.07099499512325294,1,0,1
13,proposed,6,Balanced,{'Balanced': 6},5.777808525210494,76.24373576893493,0.07578076371704531,1,0,1
13,best_all,6,Balanced,{'Balanced': 6},5.384519696763277,76.24373576893493,0.07062245366729747,1,0,1
13,primary_only,6,Balanced,{'Balanced': 6},5.118790129244928,76.24373576893493,0.06713718940475304,1,0,1
13,random_residual,6,Balanced,{'Balanced': 6},4.701346925296206,76.24373576893493,0.06166207463317587,1,0,1
14,proposed,32,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 6}",7.722497918644623,80.2376314589503,0.09624533748351564,3,0,1
14,best_all,32,Fast,{'Fast': 32},5.885700696290324,120.36042066864097,0.0489006324802901,1,0,1
14,primary_only,32,Fast,{'Fast': 10},6.047749491471197,80.2376314589503,0.07537298124964263,1,0,1
14,random_residual,32,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 6}",8.183208297738835,80.2376314589503,0.10198716174623595,3,0,1
15,proposed,24,Balanced,"{'Balanced': 10, 'Accurate': 5, 'Fast': 9}",8.95744149004699,90.46839159314183,0.0990118353195751,3,0,1
15,best_all,24,Balanced,{'Balanced': 24},7.41103538450684,130.04413982354043,0.05698861474698534,1,0,1
15,primary_only,24,Balanced,{'Balanced': 10},5.998091790202922,90.46839159314183,0.06630041370888727,1,0,1
