sample_id,context_len,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
0,64,4.1240435,0.39755598,0.0049929554,29896,0.02972828,3.525552e-08,1.1859254e-06,0,0.00022226262,0.22930834,2.817572e-05
1,64,1.2427657,0.119802065,0.11964847,418,0.8153187,5.2643074e-05,6.456748e-05,0,0.041754816,0.8153187,5.2643074e-05
2,64,2.4229436,0.2335707,1.3203669,3855,0.62401783,0.028371522,0.045465883,0,0.16589035,0.62401783,0.028371522
3,64,3.1020784,0.299039,0.00015541253,876,0.26567188,0.99998975,1.0,1,0.26568207,0.26567188,0.99998975
4,64,4.2688355,0.41151386,0.002810136,268,0.03638407,6.47452e-07,1.7794931e-05,0,0.00019573382,0.20135479,6.060345e-05
5,64,1.9123119,0.18434604,2.2868373,29947,0.016686616,0.14120246,1.0,1,0.63497955,0.36810088,0.09554237
6,64,3.3510919,0.3230438,0.11172282,29929,0.03414409,1.1021946e-05,0.00032280685,0,0.16651581,0.14947839,0.9829622
7,64,1.800623,0.17357928,1.6797144,29946,0.1187015,0.044018537,0.37083387,1,0.53252566,0.32015315,0.096145324
8,64,2.8505976,0.27479637,2.0667017,29953,0.055759117,0.35873944,1.0,1,0.5884654,0.18426102,0.0019883076
9,64,2.067517,0.19930774,0.011716078,308,0.0005308892,2.4331137e-09,4.5830916e-06,0,0.73987174,0.73883843,0.99891436
10,64,0.6805161,0.06560145,0.027228188,29901,0.015484434,2.0455366e-07,1.3210277e-05,0,0.9180989,0.9141185,0.99600995
11,64,0.5882837,0.05671029,0.0010233951,1115,0.9221493,6.5398913e-06,7.092009e-06,0,0.00136691,0.9221493,6.5398913e-06
12,64,1.2016654,0.11584002,0.0012196774,1115,0.8263089,1.2605763e-05,1.5255509e-05,0,0.0028544306,0.8263089,1.2605763e-05
13,64,2.4360578,0.23483491,1.2932259,29906,0.117028736,0.00015462954,0.0013212955,0,0.22932178,0.29884335,0.21773462
14,64,0.9141911,0.08812762,0.007330902,29899,0.8860815,0.99915564,1.0,1,0.88692445,0.8860815,0.99915564
15,64,0.46365225,0.044695873,1.4092588,29889,0.93835413,0.0005050414,0.00053822045,0,0.03677335,0.93835413,0.0005050414
16,64,3.2632394,0.31457484,2.5560741,231,0.0033949874,9.137432e-05,0.02691448,0,0.2824446,0.24365115,0.010438392
17,64,2.7147179,0.26169762,2.1128738,29945,0.13252619,0.13610962,1.0,1,0.6519701,0.2656269,0.15912828
18,64,3.168239,0.30541685,0.10604457,304,0.2482839,0.00011432732,0.00046047012,0,0.07860865,0.2482839,0.00011432732
19,64,2.7857723,0.26854724,0.0033568211,18884,0.0030714588,6.2596356e-10,2.0380008e-07,0,0.5437708,0.5434479,0.9996773
20,64,2.545679,0.24540235,2.2543557,29929,0.055976514,0.06145254,1.0,1,0.77750576,0.18789245,0.120318234
21,64,2.706285,0.26088467,0.0036341245,418,0.5606036,0.9996468,1.0,1,0.5609567,0.5606036,0.9996468
22,64,5.735558,0.55290526,2.0185275,297,0.009425676,0.0021225982,0.2251932,0,0.0938621,0.076791495,0.00022372024
23,64,0.55796736,0.05378781,0.0009013819,232,0.89917976,0.99995124,1.0,1,0.8992059,0.89917976,0.99995124
24,64,2.5142279,0.24237046,1.658678,29899,0.003521699,2.7844665e-06,0.00079066,0,0.22791131,0.13215078,0.010910641
25,64,1.4454156,0.13933744,1.6818721,29941,0.56570005,0.10166897,0.1797224,1,0.44305184,0.56570005,0.10166897
26,64,5.5249605,0.53260374,3.894786,16491,8.720017e-05,7.7728924e-05,0.891385,1,0.35193518,0.12183145,0.006534611
27,64,3.4625154,0.33378497,0.0032573463,29900,0.16453755,9.459429e-05,0.00057491,0,0.052877884,0.16453755,9.459429e-05
28,64,2.0964224,0.2020942,1.2944753,29900,0.17051013,0.043528784,0.25528562,1,0.37447432,0.28112367,0.025992222
29,64,2.6256762,0.253114,1.2992649,29953,0.072574295,0.008285059,0.11415969,0,0.09532511,0.13989061,0.014093361
30,64,6.1360483,0.5915124,4.6641054,6758,0.18297376,0.0072061587,0.039383564,0,0.13281351,0.18297376,0.0072061587
31,64,2.612794,0.25187218,2.3047507,29946,0.085217096,0.09645411,1.0,1,0.7831295,0.19659379,0.081222504
32,64,7.277007,0.7015003,0.59114957,2587,0.0005035771,1.1295398e-06,0.0022430324,0,0.023821604,0.017340489,3.6538724e-05
33,64,2.640214,0.25451547,0.0031986923,418,0.577047,0.99969745,1.0,1,0.57734966,0.577047,0.99969745
34,64,4.9956436,0.48157784,0.671771,31100,0.0016867277,8.356591e-06,0.0049543213,0,0.042555705,0.07172149,9.905813e-05
35,64,2.3092804,0.22261362,4.2741776e-05,376,0.7021013,0.9999976,1.0,1,0.70210373,0.7021013,0.9999976
36,64,1.6703074,0.1610169,1.5804565,29906,0.46509925,0.05693264,0.12240966,0,0.38402456,0.46509925,0.05693264
37,64,0.37215418,0.0358755,0.0030604564,29871,0.9592149,0.9996983,1.0,1,0.9594949,0.9592149,0.9996983
38,64,2.5584242,0.24663097,2.2559934,29900,0.3393936,0.11916546,0.35111287,0,0.6405723,0.3393936,0.11916546
39,64,2.9996426,0.28916422,0.0015412559,29955,0.040447682,4.222353e-06,0.00010439048,0,0.019813865,0.25966293,4.3211934e-08
40,64,1.1781199,0.11357024,0.0010731309,1115,0.83092546,1.0615268e-05,1.27752355e-05,0,0.0029456783,0.83092546,1.0615268e-05
41,64,1.1592937,0.1117554,0.2653823,418,0.84553987,0.0009383157,0.0011097238,0,0.02772263,0.84553987,0.0009383157
42,64,0.46645197,0.044965766,0.039713703,29871,0.94845754,0.99443793,1.0,1,0.94965804,0.94845754,0.99443793
43,64,5.2445,0.5055675,0.034636896,431,0.1090403,1.2239134e-09,1.1224413e-08,0,0.009497349,0.1090403,1.2239134e-09
44,64,2.8465977,0.27441075,0.17854044,29953,0.11117724,0.0052667595,0.04737264,0,0.044786595,0.1309988,3.3267074e-06
45,64,1.9090192,0.18402861,1.5906699,29945,0.04417168,0.083527096,1.0,1,0.54657096,0.26431626,0.114168
46,64,1.6624473,0.16025919,2.2351131,29896,0.09152295,0.087222174,0.9530088,1,0.5205216,0.4721113,0.09730336
47,64,2.1934738,0.2114499,2.368915,29892,0.49263903,0.00023570823,0.0004784603,0,0.33216166,0.49263903,0.00023570823
48,64,3.429811,0.33063227,1.539835,1867,7.6059114e-05,9.03643e-10,1.1880798e-05,0,0.48675752,0.15735763,0.20413145
49,64,2.5196047,0.24288878,0.54672706,13,0.645819,1.9055072e-07,2.950528e-07,0,0.00465086,0.645819,1.9055072e-07
50,64,3.26528,0.31477156,1.8411359,439,0.00022496014,7.9583157e-07,0.003537656,0,0.29490113,0.5243053,0.21271873
51,64,1.0035596,0.096742705,0.00010629455,3746,0.8936132,0.9999924,1.0,1,0.89362013,0.8936132,0.9999924
52,64,2.5334678,0.24422517,2.2722657,29887,0.00010455181,1.3024279e-08,0.0001245725,0,0.6509313,0.2888061,6.604326e-05
53,64,2.8751554,0.2771637,2.3682916,29946,0.08869165,0.074811675,0.843503,1,0.588428,0.15444735,0.0002872145
54,64,4.810427,0.46372306,1.3529966,297,0.11461443,0.14684676,1.0,1,0.23768048,0.11461443,0.14684676
55,64,3.1857204,0.30710205,0.00084837584,29871,0.34112212,6.014067e-05,0.00017630246,0,0.00016632219,0.34112212,6.014067e-05
56,64,1.9632921,0.1892605,2.2930722,29941,0.056165505,0.116621934,1.0,1,0.598174,0.3662451,0.07768695
57,64,2.6513367,0.2555877,2.3640883,29892,0.3509854,0.00033559368,0.0009561471,0,0.4767016,0.3509854,0.00033559368
58,64,3.0524194,0.2942519,2.347915,29892,0.13109706,0.026446123,0.20172933,1,0.57837784,0.18926072,0.063440956
59,64,4.2982244,0.41434693,0.7430387,376,0.32112023,0.24339926,0.75796926,0,0.24959163,0.32112023,0.24339926
60,64,2.2393312,0.21587054,0.0027218862,13,0.72318393,0.99977547,1.0,1,0.7233844,0.72318393,0.99977547
61,64,4.258396,0.41050753,0.0028238136,259,0.09613449,2.0415628e-06,2.1236527e-05,0,0.00020656004,0.22351937,3.9744267e-05
