sample_id,context_len,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
0,64,4.125333,0.39768028,0.004926634,29896,0.02977709,3.4709192e-08,1.1656341e-06,0,0.00022092726,0.22968483,2.7956661e-05
1,64,1.2364771,0.119195856,0.1201445,418,0.816448,5.30517e-05,6.497867e-05,0,0.04156937,0.816448,5.30517e-05
2,64,2.4236486,0.23363866,1.3182054,3855,0.62390137,0.0284726,0.045636382,0,0.16589746,0.62390137,0.0284726
3,64,3.099104,0.29875225,0.00015598684,876,0.26556823,0.99998975,1.0,1,0.26557845,0.26556823,0.99998975
4,64,4.2693806,0.4115664,0.002766071,268,0.036461554,6.32456e-07,1.7345832e-05,0,0.00019239719,0.20099692,5.9199785e-05
5,64,1.9118543,0.18430191,2.2864888,29947,0.016722796,0.14248733,1.0,1,0.6343195,0.368899,0.096411765
6,64,3.3505242,0.32298905,0.1116755,29929,0.03420265,1.102202e-05,0.00032225632,0,0.16676547,0.14973478,0.98296875
7,64,1.8001527,0.17353393,1.6807585,29946,0.1178924,0.043990597,0.3731419,1,0.53238964,0.32046473,0.09608429
8,64,2.8525476,0.27498433,2.0674024,29953,0.055587832,0.3583289,1.0,1,0.5882789,0.183695,0.002001609
9,64,2.0785046,0.20036693,0.011766825,308,0.00053165597,2.456977e-09,4.6213663e-06,0,0.7380599,0.73702097,0.99890864
10,64,0.68331766,0.06587152,0.026890768,29901,0.015479304,1.9982703e-07,1.2909303e-05,0,0.91773736,0.91381574,0.9960691
11,64,0.5902708,0.056901846,0.0010075563,1115,0.9220076,6.33869e-06,6.874878e-06,0,0.0013758306,0.9220076,6.33869e-06
12,64,1.1956477,0.115259916,0.0012274396,1115,0.827151,1.2605752e-05,1.5239964e-05,0,0.0028363166,0.827151,1.2605752e-05
13,64,2.43372,0.23460954,1.2935095,29906,0.11738034,0.00015583447,0.0013276028,0,0.22934462,0.2997412,0.21772365
14,64,0.9144342,0.08815105,0.007326208,29899,0.88606644,0.9991559,1.0,1,0.8869091,0.88606644,0.9991559
15,64,0.46516168,0.044841383,1.4070967,29889,0.93816036,0.00050560595,0.0005389334,0,0.036900572,0.93816036,0.00050560595
