bin,left,right,count,mean_score,accept_rate
0,2.5027443225494883e-12,8.942520992150094e-07,1088,3.5179504894087964e-07,0.0
1,8.942520992150094e-07,3.3715816243784504e-06,1088,1.9305532888392417e-06,0.0
2,3.3715816243784504e-06,8.335415168403415e-06,1088,5.601481935545896e-06,0.0
3,8.335415168403415e-06,1.7738064343575388e-05,1088,1.242249466231977e-05,0.0
4,1.7738064343575388e-05,3.563921382010449e-05,1088,2.608287808711526e-05,0.0
5,3.563921382010449e-05,7.240964187076316e-05,1088,5.205185068997012e-05,0.0
6,7.240964187076316e-05,0.00016205508873099492,1088,0.00011112192934139303,0.0
7,0.00016205508873099492,0.0004324942186940466,1088,0.00027106656243096734,0.0
8,0.0004324942186940466,0.0017890453804284346,1088,0.0009236843239865694,0.0009191176470588235
9,0.0017890453804284346,0.9643701910972595,1088,0.03375270469640621,0.04963235294117647
