method,budget,speedup_vs_ad,rounds,avg_selected_nodes,avg_accepted_per_round,avg_raw_draft_time_s,avg_draft_time_s,avg_comm_time_s,avg_verify_time_s,avg_total_round_time_s,total_accepted_tokens,total_time_s,effective_tps,latency_per_token_s
bfs,4,0.9169588945945463,115,4.0,1.6695652173913043,0.007400863650052444,0.0007400863650052445,1.6e-06,0.03012222061338632,0.030863906978391562,192.0,3.54934930251503,54.09442228296632,0.018486194283932448
bfs,8,1.0739450630204463,95,8.0,2.0210526315789474,0.014328387262005556,0.0014328387262005555,3.1999999999999994e-06,0.030464126914739608,0.03190016564094016,192.0,3.0305157358893156,63.355552893592524,0.01578393612442352
bfs,16,1.1466628720598482,84,16.0,2.2857142857142856,0.028581790537351652,0.0028581790537351654,6.4e-06,0.03092506155371666,0.03378964060745183,192.0,2.8383298110259534,67.64541571389795,0.014782967765760173
bfs,32,1.1170639467836325,77,32.0,2.4935064935064934,0.056670884662247324,0.005667088466224732,1.2799999999999998e-05,0.03215825756068354,0.03783814602690827,192.0,2.9135372440719367,65.89927772183283,0.015174673146208004
bfs,64,0.972832123637605,75,64.0,2.56,0.11352405056357384,0.011352405056357385,2.56e-05,0.03322862794001897,0.04460663299637636,192.0,3.345497474728227,57.39056790518045,0.017424466014209515
chain,4,0.9753627642801118,108,4.0,1.7777777777777777,0.007543373577020786,0.0007543373577020787,1.6e-06,0.030140519763032596,0.030896457120734674,192.0,3.336817369039345,57.53985872330674,0.017379257130413255
chain,8,0.9677379503200518,106,8.0,1.8113207547169812,0.013881339955161203,0.0013881339955161202,3.2e-06,0.030336101627293624,0.03172743562280974,192.0,3.3631081760178327,57.09004585970295,0.017516188416759546
chain,16,0.9190811148312698,106,16.0,1.8113207547169812,0.02763532207540746,0.002763532207540746,6.4e-06,0.030637177375127684,0.03340710958266843,192.0,3.5411536157628536,54.21961903752045,0.01844350841543153
chain,32,0.8254897774366589,106,32.0,1.8113207547169812,0.055228318773069475,0.005522831877306948,1.28e-05,0.03165906678252625,0.0371946986598332,192.0,3.942638057942319,48.69835809889323,0.02053457321844958
chain,64,0.7060750894251278,106,64.0,1.8113207547169812,0.11070188145451951,0.01107018814545195,2.56e-05,0.03238945015055953,0.04348523829601148,192.0,4.609435259377217,41.653692740212435,0.02400747530925634
greedy,4,1.131198113520501,93,4.0,2.064516129032258,0.00725758592447927,0.0007257585924479269,1.6e-06,0.030209555300653623,0.030936913893101547,192.0,2.877132992058444,66.73309872361294,0.014985067666971061
greedy,8,1.3270285510824864,77,8.0,2.4935064935064934,0.014366497467090558,0.0014366497467090558,3.1999999999999994e-06,0.03041148359899397,0.03185133334570303,192.0,2.452552667619133,78.28578058076445,0.012773711810516319
greedy,16,1.3569021218629245,71,16.0,2.704225352112676,0.028737919483806044,0.0028737919483806046,6.4e-06,0.030902304437378764,0.033782496385759364,192.0,2.398557243388915,80.04812081479604,0.012492485642650599
greedy,32,1.2646102612887207,68,32.0,2.823529411764706,0.05729082111707505,0.005729082111707506,1.28e-05,0.03210525165366776,0.03784713376537526,192.0,2.573605096045518,74.60352028950295,0.013404193208570406
greedy,64,1.1042296931266333,66,64.0,2.909090909090909,0.11479285331160734,0.011479285331160735,2.56e-05,0.03315270161538413,0.04465758694654486,192.0,2.947400738471961,65.14214286976794,0.015351045512874797
