phase,dataset,prompt_index,gamma,output_tokens,wall_ms,tpot_ms,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round
alpha_estimation,gsm8k,763,4,128,0.0,0.0,35,93,110,139,0.8454545454545455,2.657142857142857,3.142857142857143,3.9714285714285715
alpha_estimation,gsm8k,311,4,128,0.0,0.0,35,93,107,138,0.8691588785046729,2.657142857142857,3.057142857142857,3.942857142857143
alpha_estimation,gsm8k,1020,4,128,0.0,0.0,31,97,108,123,0.8981481481481481,3.129032258064516,3.4838709677419355,3.967741935483871
alpha_estimation,gsm8k,835,4,128,0.0,0.0,39,89,111,150,0.8018018018018018,2.282051282051282,2.8461538461538463,3.8461538461538463
alpha_estimation,gsm8k,924,4,128,0.0,0.0,34,94,109,132,0.8623853211009175,2.764705882352941,3.2058823529411766,3.8823529411764706
alpha_estimation,gsm8k,497,4,128,0.0,0.0,34,94,109,135,0.8623853211009175,2.764705882352941,3.2058823529411766,3.9705882352941178
alpha_estimation,gsm8k,81,4,128,0.0,0.0,31,97,106,121,0.9150943396226415,3.129032258064516,3.4193548387096775,3.903225806451613
alpha_estimation,gsm8k,650,4,128,0.0,0.0,30,98,107,120,0.9158878504672897,3.2666666666666666,3.566666666666667,4.0
alpha_estimation,gsm8k,22,4,128,0.0,0.0,32,96,108,125,0.8888888888888888,3.0,3.375,3.90625
alpha_estimation,gsm8k,480,4,128,0.0,0.0,26,102,103,104,0.9902912621359223,3.923076923076923,3.9615384615384617,4.0
alpha_estimation,gsm8k,1075,4,128,0.0,0.0,36,92,108,142,0.8518518518518519,2.5555555555555554,3.0,3.9444444444444446
alpha_estimation,gsm8k,46,4,128,0.0,0.0,34,94,110,135,0.8545454545454545,2.764705882352941,3.235294117647059,3.9705882352941178
alpha_estimation,gsm8k,565,4,128,0.0,0.0,33,95,108,131,0.8796296296296297,2.878787878787879,3.272727272727273,3.9696969696969697
alpha_estimation,gsm8k,387,4,128,0.0,0.0,31,97,107,124,0.9065420560747663,3.129032258064516,3.4516129032258065,4.0
alpha_estimation,gsm8k,1021,4,128,0.0,0.0,29,99,106,114,0.9339622641509434,3.413793103448276,3.6551724137931036,3.9310344827586206
alpha_estimation,gsm8k,1215,4,128,0.0,0.0,30,98,107,119,0.9158878504672897,3.2666666666666666,3.566666666666667,3.966666666666667
