phase,dataset,prompt_index,gamma,output_tokens,wall_ms,tpot_ms,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round
alpha_estimation,gsm8k,763,4,128,0.0,0.0,35,93,110,139,0.8454545454545455,2.657142857142857,3.142857142857143,3.9714285714285715
alpha_estimation,gsm8k,311,4,128,0.0,0.0,35,93,107,138,0.8691588785046729,2.657142857142857,3.057142857142857,3.942857142857143
alpha_estimation,gsm8k,1020,4,128,0.0,0.0,31,97,108,123,0.8981481481481481,3.129032258064516,3.4838709677419355,3.967741935483871
alpha_estimation,gsm8k,835,4,128,0.0,0.0,39,89,111,150,0.8018018018018018,2.282051282051282,2.8461538461538463,3.8461538461538463
alpha_estimation,gsm8k,924,4,128,0.0,0.0,34,94,109,133,0.8623853211009175,2.764705882352941,3.2058823529411766,3.911764705882353
alpha_estimation,gsm8k,497,4,128,0.0,0.0,32,96,109,125,0.8807339449541285,3.0,3.40625,3.90625
alpha_estimation,gsm8k,81,4,128,0.0,0.0,32,96,106,127,0.9056603773584906,3.0,3.3125,3.96875
alpha_estimation,gsm8k,650,4,128,0.0,0.0,32,96,107,125,0.897196261682243,3.0,3.34375,3.90625
alpha_estimation,gsm8k,22,4,128,0.0,0.0,32,96,105,125,0.9142857142857143,3.0,3.28125,3.90625
alpha_estimation,gsm8k,480,4,128,0.0,0.0,26,102,104,104,0.9807692307692307,3.923076923076923,4.0,4.0
alpha_estimation,gsm8k,1075,4,128,0.0,0.0,38,90,111,149,0.8108108108108109,2.3684210526315788,2.9210526315789473,3.9210526315789473
alpha_estimation,gsm8k,46,4,128,0.0,0.0,33,95,107,126,0.8878504672897196,2.878787878787879,3.242424242424242,3.8181818181818183
alpha_estimation,gsm8k,565,4,128,0.0,0.0,33,95,108,131,0.8796296296296297,2.878787878787879,3.272727272727273,3.9696969696969697
alpha_estimation,gsm8k,387,4,128,0.0,0.0,34,94,108,135,0.8703703703703703,2.764705882352941,3.176470588235294,3.9705882352941178
alpha_estimation,gsm8k,1021,4,128,0.0,0.0,31,97,106,123,0.9150943396226415,3.129032258064516,3.4193548387096775,3.967741935483871
alpha_estimation,gsm8k,1215,4,128,0.0,0.0,29,99,108,116,0.9166666666666666,3.413793103448276,3.7241379310344827,4.0
