timestamp_utc,dataset,dataset_purpose,prompt_index,gamma,max_new_tokens,generated_tokens,rounds,accepted_draft_tokens,verified_draft_tokens,proposed_draft_tokens,acceptance_rate,mean_accepted_per_round,mean_verified_per_round,mean_proposed_per_round,temperature,top_p,seed
2026-07-07T07:36:45,gsm8k,math reasoning,886,4,128,129,34,95,109,136,0.8715596330275229,2.7941176470588234,3.2058823529411766,4.0,1.0,1.0,20260707
2026-07-07T07:36:51,gsm8k,math reasoning,527,4,128,129,38,91,112,152,0.8125,2.3947368421052633,2.9473684210526314,4.0,1.0,1.0,20260707
2026-07-07T07:36:56,gsm8k,math reasoning,455,4,128,129,34,95,108,136,0.8796296296296297,2.7941176470588234,3.176470588235294,4.0,1.0,1.0,20260707
2026-07-07T07:37:01,gsm8k,math reasoning,1087,4,128,132,32,100,110,128,0.9090909090909091,3.125,3.4375,4.0,1.0,1.0,20260707
2026-07-07T07:37:06,gsm8k,math reasoning,265,4,128,129,27,102,105,108,0.9714285714285714,3.7777777777777777,3.888888888888889,4.0,1.0,1.0,20260707
2026-07-07T07:37:11,gsm8k,math reasoning,139,4,128,132,31,101,109,124,0.926605504587156,3.2580645161290325,3.5161290322580645,4.0,1.0,1.0,20260707
2026-07-07T07:37:16,gsm8k,math reasoning,711,4,128,130,36,94,111,144,0.8468468468468469,2.611111111111111,3.0833333333333335,4.0,1.0,1.0,20260707
2026-07-07T07:37:21,gsm8k,math reasoning,135,4,128,129,31,98,107,124,0.9158878504672897,3.161290322580645,3.4516129032258065,4.0,1.0,1.0,20260707
2026-07-07T07:37:26,gsm8k,math reasoning,313,4,128,130,31,99,108,124,0.9166666666666666,3.193548387096774,3.4838709677419355,4.0,1.0,1.0,20260707
2026-07-07T07:37:31,gsm8k,math reasoning,413,4,128,128,34,94,111,136,0.8468468468468469,2.764705882352941,3.264705882352941,4.0,1.0,1.0,20260707
2026-07-07T07:37:36,gsm8k,math reasoning,214,4,128,128,32,96,108,128,0.8888888888888888,3.0,3.375,4.0,1.0,1.0,20260707
2026-07-07T07:37:42,gsm8k,math reasoning,606,4,128,132,33,99,111,132,0.8918918918918919,3.0,3.3636363636363638,4.0,1.0,1.0,20260707
2026-07-07T07:37:48,gsm8k,math reasoning,1224,4,128,129,38,91,112,152,0.8125,2.3947368421052633,2.9473684210526314,4.0,1.0,1.0,20260707
2026-07-07T07:37:53,gsm8k,math reasoning,587,4,128,129,32,97,108,128,0.8981481481481481,3.03125,3.375,4.0,1.0,1.0,20260707
2026-07-07T07:37:57,gsm8k,math reasoning,776,4,128,132,29,103,109,116,0.944954128440367,3.5517241379310347,3.7586206896551726,4.0,1.0,1.0,20260707
2026-07-07T07:38:03,gsm8k,math reasoning,948,4,128,132,34,98,111,136,0.8828828828828829,2.8823529411764706,3.264705882352941,4.0,1.0,1.0,20260707
2026-07-07T07:38:08,gsm8k,math reasoning,462,4,128,132,31,101,110,124,0.9181818181818182,3.2580645161290325,3.5483870967741935,4.0,1.0,1.0,20260707
2026-07-07T07:38:12,gsm8k,math reasoning,937,4,128,130,30,100,109,120,0.9174311926605505,3.3333333333333335,3.6333333333333333,4.0,1.0,1.0,20260707
2026-07-07T07:38:17,gsm8k,math reasoning,965,4,128,131,30,101,107,120,0.9439252336448598,3.3666666666666667,3.566666666666667,4.0,1.0,1.0,20260707
2026-07-07T07:38:22,gsm8k,math reasoning,1081,4,128,131,30,101,108,120,0.9351851851851852,3.3666666666666667,3.6,4.0,1.0,1.0,20260707
2026-07-07T07:38:27,gsm8k,math reasoning,1297,4,128,128,30,98,108,120,0.9074074074074074,3.2666666666666666,3.6,4.0,1.0,1.0,20260707
2026-07-07T07:38:31,gsm8k,math reasoning,963,4,128,130,28,102,106,112,0.9622641509433962,3.642857142857143,3.7857142857142856,4.0,1.0,1.0,20260707
2026-07-07T07:38:36,gsm8k,math reasoning,1313,4,128,129,30,99,106,120,0.9339622641509434,3.3,3.533333333333333,4.0,1.0,1.0,20260707
2026-07-07T07:38:41,gsm8k,math reasoning,1228,4,128,129,31,98,106,124,0.9245283018867925,3.161290322580645,3.4193548387096775,4.0,1.0,1.0,20260707
2026-07-07T07:38:46,gsm8k,math reasoning,691,4,128,129,35,94,112,140,0.8392857142857143,2.6857142857142855,3.2,4.0,1.0,1.0,20260707
