dataset,prompt_index,strategy,fixed_g,output_tokens,wall_ms,cuda_ms,rounds,accepted_tokens,verified_tokens,proposed_tokens,draft_generated_tokens,mean_uploaded_g,mean_generated_g,acceptance_rate,tpot_wall_ms,tpot_cuda_ms,speedup_vs_target_wall,speedup_vs_target_cuda,latency_reduction_wall,latency_reduction_cuda
gsm8k,980,target_only,,16,218.30878034234047,218.24073791503906,16,0,0,0,0,0.0,0.0,0.0,13.64429877139628,13.640046119689941,,,,
gsm8k,980,fixed_g2,2,16,404.08120304346085,404.0589904785156,11,5,14,22,22,2.0,2.0,0.35714285714285715,25.255075190216303,25.253686904907227,0.5402596772581385,0.540120979999932,-0.8509617543087444,-0.8514370613785931
gsm8k,980,fixed_g4,4,18,368.47708746790886,368.4547424316406,11,7,17,44,44,4.0,4.0,0.4117647058823529,20.470949303772713,20.469707912868923,0.666520080184151,0.6663527480582514,-0.500329892122249,-0.5007066496146297
gsm8k,980,fixed_g8,8,18,420.060645788908,420.0421447753906,11,7,18,88,88,8.0,8.0,0.3888888888888889,23.336702543828224,23.335674709743923,0.58467123818248,0.5845147521701815,-0.7103629094337165,-0.7108208069808475
gsm8k,980,adaptive_entropy,,18,413.52979466319084,413.51214599609375,13,5,14,19,32,1.4615384615384615,2.4615384615384617,0.35714285714285715,22.97387748128838,22.972896999782986,0.5939049158118477,0.5937451475893002,-0.6837712121527639,-0.684224290607105
gsm8k,657,target_only,,16,218.35541352629662,218.33468627929688,16,0,0,0,0,0.0,0.0,0.0,13.647213345393538,13.645917892456055,,,,
gsm8k,657,fixed_g2,2,18,285.9148122370243,285.8973693847656,9,9,14,18,18,2.0,2.0,0.6428571428571429,15.88415623539024,15.883187188042534,0.8591714374470364,0.8591422949878234,-0.1639120627327011,-0.1639515431075047
gsm8k,657,fixed_g4,4,19,234.21987146139145,234.20130920410156,7,12,17,28,28,4.0,4.0,0.7058823529411765,12.327361655862708,12.326384694952713,1.1070668425553272,1.1070494901918526,0.0967121753083996,0.09669801679173418
gsm8k,657,fixed_g8,8,18,229.15984690189362,229.1400909423828,6,12,17,48,48,8.0,8.0,0.7058823529411765,12.731102605660757,12.730005052354601,1.0719584758766647,1.071949134060402,0.06712804413232132,0.06711991434506603
gsm8k,657,adaptive_entropy,,16,285.57176515460014,285.5517883300781,9,7,10,14,23,1.5555555555555556,2.5555555555555554,0.7,17.84823532216251,17.846986770629883,0.7646253592615693,0.7646062647904592,-0.30783002144441296,-0.3078626818131689
gsm8k,1009,target_only,,16,218.3166742324829,218.29689025878906,16,0,0,0,0,0.0,0.0,0.0,13.644792139530182,13.643555641174316,,,,
gsm8k,1009,fixed_g2,2,16,319.03110817074776,319.0126647949219,10,6,14,20,20,2.0,2.0,0.42857142857142855,19.939444260671735,19.938291549682617,0.6843115565885137,0.6842891030646755,-0.46132268317267977,-0.46137063343749496
gsm8k,1009,fixed_g4,4,16,335.2673798799515,335.2491455078125,10,6,16,40,40,4.0,4.0,0.375,20.954211242496967,20.95307159423828,0.6511718327940378,0.6511482376133363,-0.5356929609642602,-0.5357486087427885
gsm8k,1009,fixed_g8,8,16,381.9378539919853,381.91912841796875,10,6,16,80,80,8.0,8.0,0.375,23.871115874499083,23.869945526123047,0.5716026100860485,0.571578834406762,-0.7494671688945944,-0.7495399406066066
gsm8k,1009,adaptive_entropy,,16,378.7812441587448,378.7591247558594,12,4,12,18,30,1.5,2.5,0.3333333333333333,23.67382775992155,23.67244529724121,0.5763661152688642,0.5763475411965293,-0.7350083107045915,-0.7350642251790382
mbpp,317,target_only,,16,215.59588238596916,215.5743408203125,16,0,0,0,0,0.0,0.0,0.0,13.474742649123073,13.473396301269531,,,,
mbpp,317,fixed_g2,2,16,474.4201600551605,474.40264892578125,15,1,16,30,30,2.0,2.0,0.0625,29.651260003447533,29.650165557861328,0.45444081120183,0.4544121777322504,-1.2005065904080339,-1.2006452489687058
mbpp,317,fixed_g4,4,16,498.98993596434593,498.9710693359375,15,1,16,60,60,4.0,4.0,0.0625,31.18687099777162,31.185691833496094,0.4320645905799872,0.43203775542981393,-1.314468766481506,-1.314612525021447
mbpp,317,fixed_g8,8,16,571.946632117033,571.928466796875,15,1,16,120,120,8.0,8.0,0.0625,35.74666450731456,35.74552917480469,0.37695104801640555,0.3769253557663453,-1.6528643580173261,-1.6530451844154963
mbpp,317,adaptive_entropy,,16,466.16439521312714,466.1461486816406,15,1,15,19,34,1.2666666666666666,2.2666666666666666,0.06666666666666667,29.135274700820446,29.13413429260254,0.46248895153693625,0.4624608428708509,-1.1622138143555976,-1.1623452350954282
mbpp,400,target_only,,16,215.7827615737915,215.76101684570312,16,0,0,0,0,0.0,0.0,0.0,13.486422598361969,13.485063552856445,,,,
mbpp,400,fixed_g2,2,16,443.58228892087936,443.5649719238281,14,2,16,28,28,2.0,2.0,0.125,27.72389305755496,27.722810745239258,0.48645486297195273,0.4864248317668218,-1.0556891833511313,-1.0558160987952432
mbpp,400,fixed_g4,4,16,468.8734970986843,468.8558654785156,14,2,16,56,56,4.0,4.0,0.125,29.30459356866777,29.303491592407227,0.4602153094790416,0.46018623788676893,-1.1728959889056894,-1.1730332584305896
mbpp,400,fixed_g8,8,16,531.7316800355911,531.7145385742188,14,2,16,112,112,8.0,8.0,0.125,33.233230002224445,33.23215866088867,0.40581137004917256,0.40578355714000547,-1.4641990683475155,-1.4643679676132737
mbpp,400,adaptive_entropy,,16,434.70799177885056,434.6898498535156,14,2,14,18,32,1.2857142857142858,2.2857142857142856,0.14285714285714285,27.16924948617816,27.168115615844727,0.496385540764493,0.49635623403309637,-1.0145631124949381,-1.0146820598476078
mbpp,432,target_only,,16,215.68506583571434,215.6618194580078,16,0,0,0,0,0.0,0.0,0.0,13.480316614732146,13.478863716125488,,,,
mbpp,432,fixed_g2,2,18,504.8193857073784,504.8030700683594,16,2,17,32,32,2.0,2.0,0.11764705882352941,28.045521428187687,28.044615003797745,0.4806584412862261,0.4806221698639902,-1.0804794301001626,-1.0806364389786407
mbpp,432,fixed_g4,4,20,532.3141179978848,532.2986450195312,16,4,19,64,64,4.0,4.0,0.21052631578947367,26.615705899894238,26.614932250976562,0.5064797704571011,0.5064399033227266,-0.9744125201634288,-0.9745679466389803
mbpp,432,fixed_g8,8,20,608.0074422061443,607.9924926757812,16,4,20,128,128,8.0,8.0,0.2,30.400372110307217,30.399624633789063,0.44342603984645496,0.4433891496523212,-1.2551675141727574,-1.2553551452130463
mbpp,432,adaptive_entropy,,17,497.0405288040638,497.0241394042969,16,1,16,21,37,1.3125,2.3125,0.0625,29.237678164944928,29.236714082605697,0.46105975100631036,0.4610252601589281,-1.1689162799775885,-1.1690785438855835
wikitext,764,target_only,,16,227.82696783542633,227.8073272705078,16,0,0,0,0,0.0,0.0,0.0,14.239185489714146,14.237957954406738,,,,
