context_len,source_type,n,entropy_alpha_pearson,entropy_alpha_spearman,entropy_exact_pearson,entropy_exact_spearman
64,ALL,25000,-0.45691638419986963,-0.3738970643669723,-0.6818381323906547,-0.6130966119440501
64,chat,5000,-0.5579103528387498,-0.48634276077053035,-0.8019866247561556,-0.7486298992383523
64,code,5000,-0.4740810209639566,-0.3318288451359344,-0.7033341885575719,-0.5576853632611013
64,json_config,5000,-0.05105972198946593,-0.15575141251325025,-0.06090836556400795,-0.1135445357097814
64,math,5000,-0.5182829979334032,-0.49029993411442147,-0.764130878665559,-0.7087550358186081
64,natural_language,5000,-0.4785203782728201,-0.3982664072668879,-0.7551343735192508,-0.6623142522040479
128,ALL,25000,-0.5163060587600299,-0.4283871749372438,-0.729960738666591,-0.6420412004774434
128,chat,5000,-0.5469111047226648,-0.48241197723935475,-0.8062902348799916,-0.7596992111340182
128,code,5000,-0.511734379110195,-0.3810979987899506,-0.7200017959182721,-0.5913046478152469
128,json_config,5000,-0.5171544749897132,-0.3471510998858331,-0.6645367886567815,-0.3667183330063359
128,math,5000,-0.5001298479186688,-0.4728252956178252,-0.7193973195562222,-0.6692556158503021
128,natural_language,5000,-0.48254939288631254,-0.40334679488077374,-0.7601731445209966,-0.6640130014563929
256,ALL,25000,-0.5198465157148793,-0.4293301746851738,-0.7252384206677353,-0.6533533713336582
256,chat,5000,-0.5852280229946399,-0.5165405401593484,-0.8172818271450439,-0.7768492838344857
256,code,5000,-0.568508528179205,-0.42572087522137464,-0.7476928406580263,-0.6288543480172664
256,json_config,5000,-0.4741981790023632,-0.32140552596052857,-0.6435153886043684,-0.5630219756383915
256,math,5000,-0.4846568858301222,-0.48515433975797406,-0.6933453289157767,-0.6491195511757195
256,natural_language,5000,-0.5022919599788382,-0.4152010896255493,-0.7661917197381911,-0.663962065262288
