source_type,dataset_name,num_tokens,text_hash
math,EleutherAI/hendrycks_math/algebra/test,392,9b0572c0898b3f2809a25f240f3aca1e54c4f7cc
natural_language,wikitext/wikitext-103-raw-v1,367,df86d86dc47fdc631a75180bd6e7063a05dc853d
json_config,OpenAssistant/oasst1/raw_json_rows,478,6f8e9d8f90ec7e7ad67172d3d36818bb9da6e5db
code,code_search_net/python,562,88361992dfa4532ff77ebafd1f6a3e14e93db4c5
natural_language,wikitext/wikitext-103-raw-v1,617,6e4437adf802011764c1a56ef509b8f43c3516bb
natural_language,wikitext/wikitext-103-raw-v1,974,3a8a08cb9106c51a64186f48c356f44b1368322d
json_config,OpenAssistant/oasst1/raw_json_rows,597,7d8458eaf99b9d188b3914618cf62a7157802b66
code,code_search_net/python,266,7d1fabd7f6d9fd18033feae3810185d97c50515a
math,gsm8k/main/train,366,f71238ae4bf666c45f69bf3c634bd9375d7201e0
chat,OpenAssistant/oasst1,660,3b85a42b308c09378160ff9470095f38760a469c
json_config,OpenAssistant/oasst1/raw_json_rows,609,15af1a6281e93a5755ed3c21c43d6eeb4a3762ea
natural_language,wikitext/wikitext-103-raw-v1,327,4ee1c864bee7765f5ef865bd5beba742cb06c187
natural_language,wikitext/wikitext-103-raw-v1,376,a2f66a8bfdb032650288c5beceec08a7aa718ccf
math,EleutherAI/hendrycks_math/algebra/train,277,81172d6c51ea392b33d9fd5dc117fe3906bed12e
natural_language,wikitext/wikitext-103-raw-v1,590,cdba39e0851b2d0c7a7a4b4b04af8f255d2e8150
json_config,OpenAssistant/oasst1/raw_json_rows,607,63506dce4f66884322c3306e4cc18f29a93127fc
natural_language,wikitext/wikitext-103-raw-v1,491,56261e1479efba9bba0ace5ee1539b783a7893a9
chat,OpenAssistant/oasst1,735,aab258e1dcac99bce03ff60fb37df3aef53f0c3b
json_config,OpenAssistant/oasst1/raw_json_rows,589,8b5f3a286bb3b529bb1bfe86e99b0382436f7b01
chat,OpenAssistant/oasst1,609,1e79f789926738e8f2ab2ed6c9b3c82f12ec0b31
code,code_search_net/python,545,798bc15aa1214174fa6f581f0b422fd464b467c9
chat,OpenAssistant/oasst1,309,1a487562159ed9187f9a41b44ec8279caba21ecb
json_config,OpenAssistant/oasst1/raw_json_rows,579,a555ffe9bbb66984c0eaae21c7d7101da6ffdc47
json_config,OpenAssistant/oasst1/raw_json_rows,459,5cb93d4fb848645b3175a0720ad187d848d4a39e
chat,OpenAssistant/oasst1,696,11cd8bdfe982ee8d4d015b07469da5c190d742d7
math,EleutherAI/hendrycks_math/precalculus/train,321,bee6dfb0f15e4d529a845f646d3709af0fbbe7ff
chat,OpenAssistant/oasst1,338,1bf2c3aff65b7c8675b65833bcc4174991acc499
natural_language,wikitext/wikitext-103-raw-v1,822,09089843403b9d7afbcb415613b5afa71c027248
math,EleutherAI/hendrycks_math/number_theory/test,373,a76c140583678eacd3a6ef4c2625ee4e5cfa6475
chat,OpenAssistant/oasst1,1175,aaafcea2a86ca58a1460451c7cc63bba13c80fdc
natural_language,wikitext/wikitext-103-raw-v1,407,b27171ccace1b066a6466b0ec0eab565e87291d1
natural_language,wikitext/wikitext-103-raw-v1,406,171cc4f67d184f67391cb6c797fe2d9273ad1a8f
math,gsm8k/main/train,257,64fcdd35984daa1d6f3fdf63d5787f12a89804d9
natural_language,wikitext/wikitext-103-raw-v1,410,6cf863ff39b93bc3e50f57e9fbe86d76d7a2de76
natural_language,wikitext/wikitext-103-raw-v1,795,f577d05b5e42c7c309bca5c2f2881367e209716e
natural_language,wikitext/wikitext-103-raw-v1,562,d8ab4d4896341ea321626827646721e2dd252efe
natural_language,wikitext/wikitext-103-raw-v1,418,5296786662b3726ab4c9f5c495db00b9e2b37de0
chat,OpenAssistant/oasst1,933,a5c4374fdbb2f1f3cf050cb3d352f2a4c7547a37
code,code_search_net/python,776,73ad8a3b369c2b8c2984f6685eef449d8338337c
natural_language,wikitext/wikitext-103-raw-v1,394,4d8691bed55f20d90b6148edf7d772eb0f0aeb17
json_config,OpenAssistant/oasst1/raw_json_rows,1010,dd77ee7abe7b3dc5940b58e0f3f5b75ddfbf0987
code,code_search_net/python,328,19f9851233b177d1c05d81b5f8d5b040b875b39b
json_config,OpenAssistant/oasst1/raw_json_rows,522,f1fac3206aa35a340f0018540c06504c67e209d4
math,EleutherAI/hendrycks_math/prealgebra/test,263,631c402c1574a5f51a2959b9934ce70a5c10d60e
code,code_search_net/python,273,55bba3d3e84f27d76b8dfed6139cbb2cc56347a8
natural_language,wikitext/wikitext-103-raw-v1,295,c1a233f92d2fbda5c449fc22ec80e7eac8e4253c
code,code_search_net/python,1562,4811fdc25c869b0b29ecc1c01e3920e6c69d1a0e
json_config,OpenAssistant/oasst1/raw_json_rows,503,4ecec50034c606ea24c0414c1fd0b075bb964d7d
math,EleutherAI/hendrycks_math/intermediate_algebra/train,337,4e7ec834db4de308b81db8ffda354d2281b1ff1f
json_config,OpenAssistant/oasst1/raw_json_rows,1155,1fefba20d04ea0c1cfa03e5d863b02abebd3c52b
json_config,OpenAssistant/oasst1/raw_json_rows,663,1312fb6db632540055d7a7f7962d3b48bb92e947
