context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,0,2500,0.5644826,0.00025655242,1.266968,0.816,0.8159412,0.8075058,0.8224761,0.7950433,0.19312423,0.007749683864519895
64,1,2500,1.8372836,1.267178,2.2356381,0.4732,0.47335416,0.46637797,0.41495255,0.36488846,0.64527977,0.00998562486777868
64,2,2500,2.5326905,2.2358341,2.8026397,0.3752,0.38856453,0.37696016,0.240978,0.22824575,0.8829514,0.009683490279852611
64,3,2500,3.017917,2.80292,3.2101352,0.374,0.3663511,0.35926327,0.15546587,0.15395622,1.0904878,0.009677272342969376
64,4,2500,3.3870914,3.2105238,3.5548844,0.308,0.30361593,0.32172254,0.11359534,0.109166056,1.0719795,0.00923333092659415
64,5,2500,3.7610207,3.554923,3.9991956,0.2636,0.2603054,0.25998598,0.100690395,0.10949197,0.9955392,0.008811697679789066
64,6,2500,4.311002,3.9995322,4.640767,0.184,0.19045626,0.20389286,0.08733761,0.09239579,1.0180604,0.007749683864519894
64,7,2500,4.967682,4.640767,5.3022585,0.1496,0.15201208,0.15237613,0.052607514,0.06416223,1.1256336,0.0071335780643377
64,8,2500,5.64216,5.3022585,5.995967,0.1196,0.11877757,0.11176078,0.02823999,0.03622792,1.2482208,0.006489864097190326
64,9,2500,6.5251093,5.9963655,7.9612494,0.0804,0.08153838,0.07745091,0.0111816265,0.012243048,1.3922565,0.0054382291235290925
128,0,2500,0.4309566,0.0005204987,0.89793605,0.8512,0.8510082,0.84988886,0.8825139,0.83885235,0.110275485,0.007117824386706939
128,1,2500,1.2379037,0.8985456,1.5509524,0.5664,0.56751573,0.5681928,0.6559895,0.5460442,0.13162437,0.009911428554956142
128,2,2500,1.8052334,1.5512667,2.1170673,0.5704,0.5699999,0.5791816,0.48345536,0.52963763,0.2576034,0.009900380598744676
128,3,2500,2.5638108,2.1171455,2.9792972,0.3752,0.3742651,0.37345874,0.284479,0.2817908,0.59307057,0.009683490279852611
128,4,2500,3.3300896,2.9796004,3.666965,0.29,0.2879022,0.27531782,0.1693368,0.17951635,0.7702789,0.009075241043630741
128,5,2500,3.9642978,3.666965,4.2590466,0.2056,0.2085096,0.21064761,0.10574286,0.10399136,0.84702927,0.008082787637937792
128,6,2500,4.568731,4.2603674,4.8765593,0.1708,0.17414397,0.16987862,0.07346707,0.07545283,0.9686665,0.007526682137568984
128,7,2500,5.166879,4.8765593,5.475945,0.1076,0.10825621,0.11268094,0.05073149,0.039518006,0.97500926,0.006197491105278006
128,8,2500,5.860268,5.476597,6.2841096,0.098,0.09895876,0.098849215,0.02251672,0.026327424,1.2720523,0.005946292962846685
128,9,2500,6.7236295,6.2841716,8.234497,0.0812,0.07986631,0.07445427,0.009697831,0.011519589,1.8541709,0.005462840286883738
256,0,2500,0.26771727,1.9101077e-05,0.6314369,0.8924,0.8929901,0.8937756,0.9254314,0.88641834,0.08040587,0.006197491105278006
256,1,2500,1.028646,0.6314857,1.4308628,0.644,0.64594555,0.6510692,0.68697375,0.61762387,0.23579277,0.009576304088739036
256,2,2500,1.8240877,1.4308628,2.1839442,0.4424,0.44278786,0.44849572,0.43292174,0.38580114,0.3609771,0.009933423176327484
256,3,2500,2.5690758,2.1839843,2.9379225,0.3632,0.35963494,0.3511511,0.27091253,0.26845458,0.54923284,0.009618435631639898
256,4,2500,3.2669737,2.9382172,3.5886188,0.268,0.27425447,0.29087612,0.17087968,0.15584792,0.8105298,0.00885835199120017
256,5,2500,3.8900993,3.5889654,4.202293,0.2244,0.21744218,0.23389705,0.11679903,0.11597766,0.892993,0.00834373153930542
256,6,2500,4.5121603,4.2025747,4.831918,0.1788,0.18341534,0.18301564,0.07346325,0.08001443,1.06217,0.007663695192268544
256,7,2500,5.1534433,4.832099,5.485748,0.1444,0.14525275,0.14155057,0.046751983,0.053777687,1.1956011,0.007029897296547084
256,8,2500,5.863832,5.4857616,6.2563963,0.1028,0.09790396,0.09924002,0.023766857,0.025291199,1.2532753,0.00607394962112792
256,9,2500,6.8159018,6.256398,8.534744,0.08,0.08043882,0.0803848,0.007960585,0.010759751,1.6525377,0.005425863986500214
