context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,chat,0,500,0.19656967,0.00025655242,0.5832949,0.952,0.95138985,0.944516,0.945836,0.9486463,0.03953901,0.009559916317625384
64,chat,1,500,1.174061,0.59441745,1.7006302,0.642,0.6494402,0.64466834,0.5988466,0.6120379,0.20528191,0.021439962686534694
64,chat,2,500,2.0755212,1.7006302,2.401989,0.502,0.48626217,0.46996766,0.35839158,0.388881,0.46460217,0.02236050088884415
64,chat,3,500,2.6986835,2.401989,2.9977508,0.37,0.3668269,0.3581848,0.24525593,0.27121902,0.5860319,0.021591665058535898
64,chat,4,500,3.278542,2.9978342,3.5561202,0.294,0.28025588,0.2829147,0.15799837,0.17745315,0.73864126,0.02037469018169356
64,chat,5,500,3.8252592,3.5568516,4.089844,0.218,0.22496597,0.24994986,0.098913014,0.114073165,0.9121033,0.018464885594013304
64,chat,6,500,4.3991446,4.089844,4.693447,0.188,0.19322166,0.1949763,0.075053886,0.08680512,0.95342493,0.01747317944737019
64,chat,7,500,4.980866,4.6955404,5.2357507,0.112,0.11873901,0.12803774,0.045933153,0.05132139,0.87719715,0.014103616557464968
64,chat,8,500,5.536316,5.2368097,5.8434563,0.114,0.117751285,0.11204187,0.025323685,0.034914646,1.1607993,0.014212951839783319
64,chat,9,500,6.329504,5.8476405,7.7920957,0.086,0.087025434,0.074964195,0.011452733,0.022542395,1.2518455,0.012538261442480771
64,code,0,500,0.7519842,0.0030376127,1.467504,0.734,0.7364954,0.7179394,0.8179744,0.716728,0.2751846,0.019760769215797242
64,code,1,500,2.070999,1.4713159,2.5724492,0.434,0.42822635,0.4302435,0.43420878,0.36390394,0.46127886,0.02216501748251059
64,code,2,500,3.0100653,2.5728464,3.4117815,0.322,0.31675968,0.2994908,0.24939705,0.23989919,0.58825374,0.020895741192884256
64,code,3,500,3.738703,3.4123747,4.0357904,0.26,0.25759295,0.23506136,0.15556242,0.1798846,0.68377894,0.019616319736382767
64,code,4,500,4.319838,4.0364494,4.5912275,0.16,0.16407475,0.18596649,0.10704842,0.09773812,0.8291482,0.016395121225535356
64,code,5,500,4.838687,4.5914383,5.0808535,0.132,0.13529389,0.14763872,0.06280109,0.07797525,0.8830199,0.01513776733867977
64,code,6,500,5.3296986,5.0809946,5.5643826,0.126,0.12350311,0.11278832,0.03987637,0.0593701,0.92462987,0.01484075469779081
64,code,7,500,5.7902007,5.564771,6.0113125,0.1,0.098596804,0.08683014,0.031606566,0.04323799,1.0244231,0.01341640786499874
64,code,8,500,6.2384953,6.0117927,6.4773645,0.058,0.06867795,0.070113,0.015225957,0.0143013075,1.1259756,0.010453324829928513
64,code,9,500,6.85824,6.4794707,7.707922,0.072,0.06255488,0.056229245,0.007297393,0.007332184,1.3038096,0.011559930795640603
64,json_config,0,500,1.8136933,0.27832094,2.2064385,0.324,0.32130885,0.30694294,0.36773008,0.14655893,1.3438009,0.020929596269398033
64,json_config,1,500,2.3843977,2.2078936,2.5528562,0.342,0.35240117,0.3388128,0.19358183,0.13231276,1.1811913,0.021214900423994452
64,json_config,2,500,2.6903393,2.5530193,2.808549,0.328,0.3596212,0.37869242,0.13468373,0.07741675,1.3601652,0.02099599961897504
64,json_config,3,500,2.9127748,2.808616,3.0038152,0.41,0.39320764,0.38786754,0.10930282,0.09576846,1.2964486,0.02199545407578575
64,json_config,4,500,3.0773005,3.0038855,3.152455,0.408,0.3968847,0.40341997,0.09285765,0.087635264,1.4334818,0.021978898971513564
64,json_config,5,500,3.223899,3.1526823,3.2950668,0.378,0.38860202,0.39668757,0.087455116,0.08405679,1.3964233,0.02168483340955148
64,json_config,6,500,3.3583677,3.2951474,3.422193,0.346,0.33871743,0.36889163,0.068235345,0.0559799,1.3349879,0.021273645667821018
64,json_config,7,500,3.4867415,3.4223492,3.553423,0.334,0.32642403,0.33296824,0.06346928,0.0645319,1.1658264,0.02109236828807993
64,json_config,8,500,3.6325037,3.5534987,3.727094,0.298,0.2992848,0.29532892,0.060127433,0.068688385,1.075283,0.020454632727086544
