context_len,source_type,n,entropy_mean,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_target_entropy
64,chat,5000,3.449447,0.3478,0.34758785,0.34602213,0.71894664
64,code,5000,4.294691,0.2398,0.23917758,0.2342301,0.80995023
64,json_config,5000,3.0547233,0.3394,0.3408054,0.34390885,1.2490543
64,math,5000,3.782951,0.2876,0.29024655,0.28876063,0.6798852
64,natural_language,5000,3.691407,0.3572,0.35764095,0.3557265,1.3739302
128,chat,5000,3.2650359,0.3766,0.37263846,0.3690413,0.6517252
128,code,5000,4.0362506,0.2456,0.2484882,0.25684917,0.64903855
128,json_config,5000,3.285699,0.3766,0.37594625,0.36935422,0.68594074
128,math,5000,3.597444,0.2842,0.2853515,0.28898576,0.5118002
128,natural_language,5000,3.64147,0.3752,0.3777885,0.37204486,1.3913858
256,chat,5000,3.1228454,0.3758,0.3774443,0.3914276,0.6572449
256,code,5000,3.8419724,0.2772,0.27829093,0.2757553,0.5317067
256,json_config,5000,3.5347984,0.3476,0.34698454,0.3490805,0.9486156
256,math,5000,3.4209347,0.2872,0.28944844,0.29409084,0.45628622
256,natural_language,5000,3.6754177,0.3824,0.3778648,0.37637362,1.4529042
