context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,0,20,0.84760684,0.015464658,1.979172,0.7,0.70217335,0.7262527,0.67967236,0.6475328,0.50917435,0.10246950765959599
64,1,20,2.788344,2.0899982,3.1328413,0.3,0.3493686,0.21714874,0.2063047,0.17105868,0.5718876,0.10246950765959598
64,2,20,3.5873437,3.1706688,3.9820094,0.25,0.27263507,0.34434986,0.05303797,0.016669538,1.1383289,0.09682458365518543
64,3,20,4.5521927,4.013244,5.249773,0.2,0.24000148,0.22939627,0.048713308,0.110303655,1.5139129,0.0894427190999916
64,4,20,5.9408674,5.283603,7.144212,0.0,0.034387164,0.073286496,0.028391963,0.0003339768,1.380637,0.0
128,0,20,0.631697,0.009366998,1.3758898,0.65,0.6303063,0.6322912,0.820145,0.6072964,0.11038794,0.1066536450385077
128,1,20,1.7973537,1.3981857,2.133573,0.75,0.6963776,0.52539825,0.545637,0.631414,0.4453698,0.09682458365518543
128,2,20,3.010778,2.2909446,3.8355274,0.2,0.21281147,0.28173864,0.17725047,0.16241595,0.888759,0.0894427190999916
128,3,20,4.8300457,4.0397453,5.909632,0.05,0.06463441,0.12425716,0.0774935,0.0064351843,0.72816527,0.04873397172404482
128,4,20,6.5422707,5.9309063,7.3798294,0.0,0.028250743,0.10242353,0.0055373595,7.0542315e-05,1.9321744,0.0
