context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
64,chat,0,4,1.4559788,0.015464658,2.987568,0.75,0.83868045,0.61124396,0.6350179,0.77527344,0.18861604,0.21650635094610965
64,chat,1,4,3.104538,2.9964747,3.3402843,0.25,0.31068805,0.05713662,0.16543017,0.0052129966,0.5945117,0.21650635094610965
64,chat,2,4,3.9452157,3.5271988,4.6251454,0.25,0.31131664,0.42686877,0.007985479,0.0008928088,1.4974868,0.21650635094610965
64,chat,3,4,4.9422235,4.6509123,5.382647,0.0,0.13889346,0.1890975,0.06411895,0.0106331,1.6548858,0.0
64,chat,4,4,6.2463565,5.7021112,7.144212,0.0,0.0003619039,0.031869747,0.0011964643,1.4203549e-06,0.89701617,0.0
64,code,0,4,1.2766688,0.5905869,2.868147,1.0,1.0,0.819469,0.81536543,0.96553683,0.12473895,0.0
64,code,1,4,3.4148288,2.875822,3.8531892,0.25,0.25013193,0.30394006,0.012921433,0.011954807,0.74663436,0.21650635094610965
64,code,2,4,4.179385,3.9035726,4.3688235,0.25,0.25016114,0.27186906,0.0732737,0.24783677,1.0212554,0.21650635094610965
64,code,3,4,5.069477,4.7681236,5.283603,0.25,0.3031116,0.17236781,0.11296657,0.24715047,1.026872,0.21650635094610965
64,code,4,4,5.8147984,5.40252,6.1576614,0.0,0.0020765278,0.023129964,0.1090074,7.754293e-06,1.6848828,0.0
64,json_config,0,4,1.288879,1.0883764,1.5510092,0.5,0.580512,0.39800268,0.5674653,0.5559176,1.4260374,0.25
64,json_config,1,4,2.6684237,2.4103038,2.9274704,0.25,0.34472916,0.2269614,0.18383744,0.16369204,0.79850554,0.21650635094610965
64,json_config,2,4,3.05976,2.9515867,3.1328413,0.25,0.25263274,0.19168821,0.08270804,0.0132163055,0.72455126,0.21650635094610965
64,json_config,3,4,3.2474675,3.1706688,3.432276,0.75,0.6361464,0.48217154,0.10171369,0.04926398,1.9219214,0.21650635094610965
64,json_config,4,4,3.6457481,3.4387214,3.8177812,0.25,0.36560756,0.40036452,0.04001725,0.019498775,1.2600639,0.21650635094610965
64,math,0,4,0.7260255,0.03213706,1.8954672,0.25,0.25058946,0.68093693,0.46714386,0.25000444,0.007625534,0.21650635094610965
