context_len,source_type,n,entropy_mean,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_target_entropy
64,chat,20,3.9388626,0.25,0.3199881,0.26324332,0.9665033
64,code,20,3.9510314,0.35,0.36109623,0.31815517,0.9208767
64,json_config,20,2.7820556,0.4,0.43592557,0.33983767,1.226216
64,math,20,3.802663,0.05,0.073161334,0.20808084,0.534208
64,natural_language,20,3.241742,0.4,0.4083944,0.4611171,1.466137
128,chat,20,3.49064,0.3,0.3234471,0.38272375,1.0369272
128,code,20,3.7836163,0.25,0.25274172,0.23669057,0.6471619
128,json_config,20,3.3056464,0.25,0.2680035,0.28267646,0.74406415
128,math,20,2.980248,0.4,0.40760645,0.34749657,0.5042778
128,natural_language,20,3.2519944,0.45,0.38058177,0.4165215,1.1724255
