sample_id,context_len,source_type,source_name,natural_prefix_start,original_num_tokens,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
0,64,code,edoburu/sphinxcontrib-django:sphinxcontrib_django/docstrings.py:_improve_method_docs#selected_2,True,360,5.249773,0.5060758,1.7832562,29918,0.07559129,5.4083444e-05,0.0007154719,0,0.05348263,0.07559129,5.4083444e-05
1,64,math,prealgebra_train_574#selected_13,True,463,2.80168,0.27008072,0.01911633,29933,0.38640845,1.325202e-06,3.4295367e-06,0,0.12649813,0.38640845,1.325202e-06
2,64,json_config,json_row_40#selected_16,True,969,1.0883764,0.10491901,0.000111200345,29899,0.82706505,0.999992,1.0,1,0.82707304,0.82706505,0.999992
3,64,code,qubell/contrib-python-qubell-client:qubell/cli/__main__.py:import_app#selected_4,True,673,4.3688235,0.42115268,2.608954,11663,0.008522348,2.7633948e-06,0.00032425276,0,0.26697832,0.2490595,0.10527293
4,64,json_config,json_row_684#selected_18,True,538,2.9515867,0.28453165,0.00012827311,29941,0.13642327,2.1691531e-07,1.5900168e-06,0,0.03396734,0.13642327,2.1691531e-07
5,64,chat,path_d16b747e-90e0-44fe-b5ba-79c3af79fce7#selected_4,True,163,3.7110314,0.3577418,1.4794899,1205,0.018187474,1.9576775e-05,0.0010763878,0,0.5137557,0.37105793,0.7277999
6,64,chat,path_2d77dab0-e9ca-4867-9fe5-7169d1110877#selected_13,True,387,5.382647,0.51888484,1.7825954,263,0.053084597,0.0035864222,0.0675605,0,0.20282108,0.13502777,0.05395189
7,64,chat,path_ef07b201-13ba-4743-beb8-b72dfe3fd283#selected_3,True,393,3.9174874,0.37764406,2.05861,508,0.013568638,0.0033133237,0.24418986,0,0.4263854,0.26830813,0.32757002
8,64,json_config,json_row_617#selected_7,True,961,3.0813322,0.29703906,0.013127651,29896,0.1447912,0.0015245508,0.010529306,0,0.0944358,0.17740187,1.3087304e-05
9,64,natural_language,article_359#selected_18,True,472,3.4703836,0.33454347,1.750066,304,0.03700981,0.0069347774,0.18737674,0,0.394598,0.2320889,0.6749738
10,64,math,intermediate_algebra_test_120#selected_1,True,461,4.013244,0.38687497,0.0009889776,9859,0.00056733424,5.8694424e-11,1.03456514e-07,0,0.007296181,0.23799649,3.0762866e-08
11,64,math,algebra_test_325#selected_8,True,226,6.3127003,0.60854155,0.50122714,1375,0.00021892527,8.330086e-10,3.8049907e-06,0,0.029007014,0.06336705,5.416817e-08
12,64,json_config,json_row_30#selected_11,True,726,3.1328413,0.30200452,2.8848948,29955,0.04241796,0.051340453,1.0,1,0.61685145,0.3134287,0.10210269
13,64,chat,path_e330a6b6-1311-40dd-8bd2-08315b15651d#selected_0,True,161,3.5271988,0.34002042,0.014327001,15399,7.285902e-05,2.2748485e-11,3.122261e-07,0,0.41219935,0.41134933,0.99836165
14,64,math,intermediate_algebra_test_121#selected_14,True,238,5.4674253,0.5270574,0.5542551,29251,1.0107402e-06,3.1173394e-10,0.00030842144,0,0.057200328,0.19073346,0.0010473131
15,64,code,alefnula/tea:tea/shell/__init__.py:goto#selected_12,True,247,4.283368,0.4129148,1.3929286,313,0.05768167,3.2705242e-07,5.669954e-06,0,0.15194279,0.22992471,0.14525868
16,64,chat,path_85794440-7122-41cd-a0ab-023522588248#selected_9,True,388,4.6509123,0.4483459,0.7801354,920,0.06178934,6.1802903e-06,0.00010002195,0,0.12926641,0.14199077,9.517718e-05
17,64,math,prealgebra_train_811#selected_7,True,134,1.8954672,0.1827222,0.029813217,921,0.0011011574,2.5036861e-06,0.002273686,0,0.67404616,0.6721115,0.9967899
18,64,chat,path_f13e9090-04bb-4229-8335-2430e4aa8d7e#selected_11,True,984,6.0695515,0.5851021,1.020741,4123,0.00029066126,3.9892654e-09,1.3724792e-05,0,0.006049199,0.09367149,1.6863686e-07
19,64,natural_language,article_712#selected_10,True,191,0.47239774,0.045538936,0.61179304,573,0.858224,0.29739052,0.34651855,1,0.42718926,0.858224,0.29739052
20,64,code,beregond/jsonmodels:jsonmodels/utilities.py:is_ecma_regex#selected_14,True,152,5.283603,0.509337,0.4183315,334,0.04818414,1.7112935e-08,3.55157e-07,0,0.014081154,0.20930237,9.5821854e-08
21,64,code,josiah-wolf-oberholtzer/uqbar:uqbar/sphinx/inheritance.py:latex_visit_inheritance_diagram#selected_0,True,164,0.5905869,0.05693232,0.003722454,749,0.9272501,0.9996136,1.0,1,0.9276362,0.9272501,0.9996136
22,64,math,gsm8k_train_2724#selected_19,True,367,0.03213706,0.0030979984,2.8527755e-05,886,0.99686086,0.99999845,1.0,1,0.9968621,0.99686086,0.99999845
23,64,chat,path_48ceaf2e-27c2-4094-b512-27b475f8912e#selected_1,True,387,7.144212,0.6886989,0.054326713,7955,5.550267e-07,5.871225e-11,0.00010578275,0,0.030417105,0.04788202,0.009411767
24,64,natural_language,article_648#selected_11,True,1151,1.6718485,0.16116546,0.39763173,278,0.5987886,0.9258062,1.0,1,0.6656574,0.5987886,0.9258062
25,64,math,gsm8k_train_6965#selected_2,True,215,3.9520507,0.38097596,0.8743318,372,0.021379322,9.441645e-05,0.004416251,0,0.16747808,0.18468915,0.00527721
26,64,json_config,json_row_924#selected_2,True,531,3.432276,0.3308699,2.6060464,29883,0.028810278,0.11612343,1.0,1,0.66816753,0.09300072,0.19447015
