case,context_len,draft_len,repeat_idx,cuda_ms,wall_ms,accepted_count,rejected_index
target_only,2048,100,0,24.90870475769043,24.93753284215927,,
classic_spec_sampling,2048,100,0,25.32271957397461,25.361057370901108,0.0,0.0
target_only,2048,100,1,24.912031173706055,24.943649768829346,,
classic_spec_sampling,2048,100,1,25.32598304748535,25.3615602850914,0.0,0.0
target_only,2048,100,2,24.856704711914062,24.88582581281662,,
classic_spec_sampling,2048,100,2,25.427104949951172,25.468304753303528,0.0,0.0
target_only,2048,100,3,24.88979148864746,24.91910383105278,,
classic_spec_sampling,2048,100,3,25.631519317626953,25.686990469694138,0.0,0.0
target_only,2048,100,4,24.962656021118164,24.994269013404846,,
classic_spec_sampling,2048,100,4,25.459775924682617,25.49539878964424,0.0,0.0
target_only,2048,100,5,24.88140869140625,24.9110646545887,,
classic_spec_sampling,2048,100,5,25.296735763549805,25.332707911729813,0.0,0.0
target_only,2048,100,6,24.88822364807129,24.917662143707275,,
classic_spec_sampling,2048,100,6,25.43052864074707,25.469187647104263,0.0,0.0
target_only,2048,100,7,25.11846351623535,25.148507207632065,,
classic_spec_sampling,2048,100,7,25.35772705078125,25.394342839717865,0.0,0.0
target_only,2048,100,8,24.931743621826172,24.967879056930542,,
classic_spec_sampling,2048,100,8,25.401344299316406,25.43955296278,0.0,0.0
target_only,2048,100,9,25.059680938720703,25.094855576753616,,
classic_spec_sampling,2048,100,9,25.385984420776367,25.426246225833893,0.0,0.0
target_only,2048,200,0,29.86742401123047,29.899008572101593,,
classic_spec_sampling,2048,200,0,30.276992797851562,30.314713716506958,0.0,0.0
target_only,2048,200,1,29.812000274658203,29.84026074409485,,
classic_spec_sampling,2048,200,1,30.256736755371094,30.29252216219902,0.0,0.0
target_only,2048,200,2,29.87990379333496,29.915370047092438,,
classic_spec_sampling,2048,200,2,30.340192794799805,30.377227813005447,0.0,0.0
target_only,2048,200,3,29.82598304748535,29.859546571969986,,
classic_spec_sampling,2048,200,3,30.451391220092773,30.490931123495102,0.0,0.0
target_only,2048,200,4,29.813695907592773,29.843170195817947,,
classic_spec_sampling,2048,200,4,30.277599334716797,30.315831303596497,0.0,0.0
target_only,2048,200,5,29.881471633911133,29.916342347860336,,
classic_spec_sampling,2048,200,5,30.287616729736328,30.325748026371002,0.0,0.0
target_only,2048,200,6,29.87727928161621,29.907774180173874,,
classic_spec_sampling,2048,200,6,30.253408432006836,30.291248112916946,0.0,0.0
target_only,2048,200,7,30.070751190185547,30.106794089078903,,
classic_spec_sampling,2048,200,7,30.32089614868164,30.357137322425842,0.0,0.0
target_only,2048,200,8,29.98409652709961,30.016008764505386,,
classic_spec_sampling,2048,200,8,30.45795249938965,30.49561008810997,0.0,0.0
target_only,2048,200,9,29.818464279174805,29.84774112701416,,
classic_spec_sampling,2048,200,9,30.222976684570312,30.258677899837494,0.0,0.0
target_only,2048,300,0,36.954078674316406,36.98284551501274,,
classic_spec_sampling,2048,300,0,37.400352478027344,37.43830323219299,0.0,0.0
target_only,2048,300,1,36.89238357543945,36.92139312624931,,
classic_spec_sampling,2048,300,1,37.38518524169922,37.42262348532677,0.0,0.0
target_only,2048,300,2,37.09952163696289,37.13039308786392,,
classic_spec_sampling,2048,300,2,37.57360076904297,37.61157765984535,0.0,0.0
target_only,2048,300,3,37.3779182434082,37.420716136693954,,
classic_spec_sampling,2048,300,3,37.584415435791016,37.6211442053318,0.0,0.0
target_only,2048,300,4,37.123104095458984,37.15380281209946,,
classic_spec_sampling,2048,300,4,37.43260955810547,37.46886923909187,0.0,0.0
target_only,2048,300,5,37.08867263793945,37.12042421102524,,
classic_spec_sampling,2048,300,5,37.581153869628906,37.61926293373108,0.0,0.0
target_only,2048,300,6,37.29056167602539,37.324462085962296,,
classic_spec_sampling,2048,300,6,37.3587532043457,37.394680082798004,0.0,0.0
target_only,2048,300,7,37.094879150390625,37.12455555796623,,
classic_spec_sampling,2048,300,7,37.6071662902832,37.64406964182854,0.0,0.0
target_only,2048,300,8,37.191585540771484,37.22149506211281,,
classic_spec_sampling,2048,300,8,37.633792877197266,37.67043352127075,0.0,0.0
target_only,2048,300,9,36.979713439941406,37.00878843665123,,
classic_spec_sampling,2048,300,9,51.6827507019043,51.72218382358551,0.0,0.0
target_only,2048,400,0,47.566593170166016,47.594908624887466,,
classic_spec_sampling,2048,400,0,48.13391876220703,48.170898109674454,0.0,0.0
target_only,2048,400,1,47.68617630004883,47.71534353494644,,
classic_spec_sampling,2048,400,1,47.84931182861328,47.885961830616,0.0,0.0
target_only,2048,400,2,47.46102523803711,47.48976603150368,,
classic_spec_sampling,2048,400,2,48.15039825439453,48.18575829267502,0.0,0.0
target_only,2048,400,3,47.38041687011719,47.40935191512108,,
classic_spec_sampling,2048,400,3,48.285438537597656,48.32630604505539,0.0,0.0
target_only,2048,400,4,47.998046875,48.027604818344116,,
classic_spec_sampling,2048,400,4,47.948062896728516,47.98349738121033,0.0,0.0
target_only,2048,400,5,47.754302978515625,47.80963808298111,,
classic_spec_sampling,2048,400,5,48.04521560668945,48.08415099978447,0.0,0.0
target_only,2048,400,6,47.569183349609375,47.59736359119415,,
classic_spec_sampling,2048,400,6,47.82896041870117,47.86587134003639,0.0,0.0
target_only,2048,400,7,47.47190475463867,47.50146344304085,,
classic_spec_sampling,2048,400,7,48.0761604309082,48.11607301235199,0.0,0.0
target_only,2048,400,8,47.523681640625,47.55406826734543,,
