case,context_len,draft_len,repeat_idx,cuda_ms,wall_ms,accepted_count,rejected_index
target_only,512,100,0,20.586463928222656,20.61496675014496,,
classic_spec_sampling,512,100,0,20.926111221313477,20.963598042726517,0.0,0.0
target_only,512,100,1,20.5196475982666,20.54767683148384,,
classic_spec_sampling,512,100,1,20.94883155822754,20.989984273910522,0.0,0.0
target_only,512,100,2,20.500640869140625,20.53016796708107,,
classic_spec_sampling,512,100,2,20.902015686035156,20.939059555530548,0.0,0.0
target_only,512,100,3,20.46601676940918,20.4942524433136,,
classic_spec_sampling,512,100,3,20.9039363861084,20.939815789461136,0.0,0.0
target_only,512,100,4,20.472511291503906,20.501799881458282,,
classic_spec_sampling,512,100,4,20.952991485595703,20.9895558655262,0.0,0.0
target_only,512,100,5,20.457792282104492,20.487595349550247,,
classic_spec_sampling,512,100,5,20.87718391418457,20.913701504468918,0.0,0.0
target_only,512,100,6,20.455711364746094,20.486358553171158,,
classic_spec_sampling,512,100,6,20.9718074798584,21.00979909300804,0.0,0.0
target_only,512,100,7,20.519840240478516,20.550381392240524,,
classic_spec_sampling,512,100,7,20.898239135742188,20.934727042913437,0.0,0.0
target_only,512,100,8,20.501535415649414,20.532473921775818,,
classic_spec_sampling,512,100,8,20.9355525970459,20.9730826318264,0.0,0.0
target_only,512,100,9,20.49817657470703,20.52822709083557,,
classic_spec_sampling,512,100,9,21.004703521728516,21.04281261563301,0.0,0.0
target_only,512,200,0,23.45408058166504,23.482751101255417,,
classic_spec_sampling,512,200,0,23.95484733581543,23.991793394088745,0.0,0.0
target_only,512,200,1,23.45801544189453,23.48807454109192,,
classic_spec_sampling,512,200,1,23.94326400756836,23.982495069503784,0.0,0.0
target_only,512,200,2,23.422719955444336,23.45219999551773,,
classic_spec_sampling,512,200,2,23.985952377319336,24.024344980716705,0.0,0.0
target_only,512,200,3,23.42585563659668,23.456573486328125,,
classic_spec_sampling,512,200,3,23.960800170898438,24.00057390332222,0.0,0.0
target_only,512,200,4,23.43097686767578,23.4602652490139,,
classic_spec_sampling,512,200,4,23.95724868774414,23.99466559290886,0.0,0.0
target_only,512,200,5,23.50614356994629,23.538358509540558,,
classic_spec_sampling,512,200,5,23.96758460998535,24.009276181459427,0.0,0.0
target_only,512,200,6,23.467519760131836,23.497119545936584,,
classic_spec_sampling,512,200,6,23.946975708007812,23.98507297039032,0.0,0.0
target_only,512,200,7,23.46575927734375,23.49616214632988,,
classic_spec_sampling,512,200,7,23.957279205322266,23.993682116270065,0.0,0.0
target_only,512,200,8,23.468896865844727,23.497924208641052,,
classic_spec_sampling,512,200,8,23.952896118164062,23.994505405426025,0.0,0.0
target_only,512,200,9,23.540672302246094,23.572932928800583,,
classic_spec_sampling,512,200,9,23.95078468322754,23.988690227270126,0.0,0.0
target_only,512,300,0,28.789823532104492,28.832636773586273,,
classic_spec_sampling,512,300,0,29.10531234741211,29.144663363695145,0.0,0.0
target_only,512,300,1,28.6014404296875,28.631947934627533,,
classic_spec_sampling,512,300,1,29.06879997253418,29.105767607688904,0.0,0.0
target_only,512,300,2,28.582656860351562,28.61250191926956,,
classic_spec_sampling,512,300,2,29.052608489990234,29.089532792568207,0.0,0.0
target_only,512,300,3,28.54150390625,28.570491820573807,,
classic_spec_sampling,512,300,3,29.056671142578125,29.093343764543533,0.0,0.0
target_only,512,300,4,28.603008270263672,28.63365039229393,,
classic_spec_sampling,512,300,4,29.13155174255371,29.172100126743317,0.0,0.0
target_only,512,300,5,28.57663917541504,28.606180101633072,,
classic_spec_sampling,512,300,5,29.207616806030273,29.251981526613235,0.0,0.0
target_only,512,300,6,28.571712493896484,28.60178053379059,,
classic_spec_sampling,512,300,6,29.059839248657227,29.097530990839005,0.0,0.0
target_only,512,300,7,28.555967330932617,28.585880994796753,,
classic_spec_sampling,512,300,7,29.083839416503906,29.12050485610962,0.0,0.0
target_only,512,300,8,28.579456329345703,28.60916405916214,,
classic_spec_sampling,512,300,8,29.081375122070312,29.118448495864868,0.0,0.0
target_only,512,300,9,28.56528091430664,28.593003749847412,,
classic_spec_sampling,512,300,9,29.10633659362793,29.143691062927246,0.0,0.0
target_only,512,400,0,34.15180969238281,34.18233245611191,,
classic_spec_sampling,512,400,0,34.82806396484375,34.87157076597214,0.0,0.0
target_only,512,400,1,34.19625473022461,34.226275980472565,,
classic_spec_sampling,512,400,1,34.720191955566406,34.761130809783936,0.0,0.0
target_only,512,400,2,34.258113861083984,34.288547933101654,,
classic_spec_sampling,512,400,2,34.70547103881836,34.74299609661102,0.0,0.0
target_only,512,400,3,34.210689544677734,34.241870045661926,,
classic_spec_sampling,512,400,3,34.816734313964844,34.858837723731995,0.0,0.0
target_only,512,400,4,33.96473693847656,33.99593383073807,,
classic_spec_sampling,512,400,4,34.659584045410156,34.699760377407074,0.0,0.0
target_only,512,400,5,34.16454315185547,34.195709973573685,,
classic_spec_sampling,512,400,5,34.74870300292969,34.786563366651535,0.0,0.0
target_only,512,400,6,34.16806411743164,34.197501838207245,,
classic_spec_sampling,512,400,6,34.87196731567383,34.91195663809776,0.0,0.0
target_only,512,400,7,34.30758285522461,34.338559955358505,,
classic_spec_sampling,512,400,7,34.76652908325195,34.80543941259384,0.0,0.0
target_only,512,400,8,34.140384674072266,34.168947488069534,,
classic_spec_sampling,512,400,8,34.78489685058594,34.82349216938019,0.0,0.0
target_only,512,400,9,34.26038360595703,34.29071232676506,,
classic_spec_sampling,512,400,9,34.76515197753906,34.804169088602066,0.0,0.0
target_only,512,500,0,36.5912971496582,36.62010282278061,,
classic_spec_sampling,512,500,0,37.277950286865234,37.315405905246735,0.0,0.0
target_only,512,500,1,36.66057586669922,36.68999299407005,,
classic_spec_sampling,512,500,1,36.8197135925293,36.85661405324936,0.0,0.0
target_only,512,500,2,36.620704650878906,36.65182366967201,,
classic_spec_sampling,512,500,2,37.37926483154297,37.41968795657158,0.0,0.0
target_only,512,500,3,36.71200180053711,36.740969866514206,,
classic_spec_sampling,512,500,3,37.28803253173828,37.32803463935852,0.0,0.0
target_only,512,500,4,36.436798095703125,36.46845743060112,,
classic_spec_sampling,512,500,4,36.974334716796875,37.01059892773628,0.0,0.0
target_only,512,500,5,36.37004852294922,36.40177100896835,,
classic_spec_sampling,512,500,5,37.60335922241211,37.643641233444214,0.0,0.0
target_only,512,500,6,36.83679962158203,36.87424585223198,,
classic_spec_sampling,512,500,6,37.256446838378906,37.29436919093132,0.0,0.0
target_only,512,500,7,37.33513641357422,37.366047501564026,,
classic_spec_sampling,512,500,7,37.27827072143555,37.31619939208031,0.0,0.0
target_only,512,500,8,36.6099853515625,36.6414375603199,,
classic_spec_sampling,512,500,8,37.12102508544922,37.159424275159836,0.0,0.0
target_only,512,500,9,36.73068618774414,36.759454756975174,,
classic_spec_sampling,512,500,9,37.28428649902344,37.323229014873505,0.0,0.0
target_only,512,600,0,49.23875045776367,49.267470836639404,,
classic_spec_sampling,512,600,0,49.28287887573242,49.32129383087158,0.0,0.0
target_only,512,600,1,49.11145782470703,49.14182424545288,,
classic_spec_sampling,512,600,1,49.13411331176758,49.1722971200943,0.0,0.0
target_only,512,600,2,49.06016159057617,49.09275099635124,,
classic_spec_sampling,512,600,2,49.206878662109375,49.24902319908142,0.0,0.0
target_only,512,600,3,48.575870513916016,48.618730157613754,,
classic_spec_sampling,512,600,3,49.65212631225586,49.69153180718422,0.0,0.0
target_only,512,600,4,48.54217529296875,48.57189208269119,,
classic_spec_sampling,512,600,4,49.82217788696289,49.86279830336571,0.0,0.0
target_only,512,600,5,49.16796875,49.19770359992981,,
classic_spec_sampling,512,600,5,49.34329605102539,49.381524324417114,0.0,0.0
target_only,512,600,6,48.34128189086914,48.37028309702873,,
classic_spec_sampling,512,600,6,49.748958587646484,49.786388874053955,0.0,0.0
target_only,512,600,7,48.585697174072266,48.616353422403336,,
classic_spec_sampling,512,600,7,49.81033706665039,49.847714602947235,0.0,0.0
target_only,512,600,8,48.5695686340332,48.59849065542221,,
classic_spec_sampling,512,600,8,49.41494369506836,49.45255070924759,0.0,0.0
target_only,512,600,9,49.07340621948242,49.1022951900959,,
classic_spec_sampling,512,600,9,49.210174560546875,49.24792796373367,0.0,0.0
target_only,512,700,0,59.43718338012695,59.4671331346035,,
classic_spec_sampling,512,700,0,59.990943908691406,60.027576982975006,0.0,0.0
target_only,512,700,1,59.260414123535156,59.28872525691986,,
classic_spec_sampling,512,700,1,59.93638229370117,59.97362360358238,0.0,0.0
target_only,512,700,2,59.248512268066406,59.278231114149094,,
classic_spec_sampling,512,700,2,59.4027214050293,59.44376438856125,0.0,0.0
target_only,512,700,3,59.523582458496094,59.553466737270355,,
classic_spec_sampling,512,700,3,59.5959358215332,59.6361868083477,0.0,0.0
target_only,512,700,4,58.50185775756836,58.53142589330673,,
classic_spec_sampling,512,700,4,59.19715118408203,59.23449620604515,0.0,0.0
target_only,512,700,5,58.52841567993164,58.557480573654175,,
classic_spec_sampling,512,700,5,59.17171096801758,59.20751392841339,0.0,0.0
target_only,512,700,6,58.53120040893555,58.560825884342194,,
classic_spec_sampling,512,700,6,59.19795227050781,59.23613905906677,0.0,0.0
target_only,512,700,7,58.526206970214844,58.55720117688179,,
classic_spec_sampling,512,700,7,59.18483352661133,59.222374111413956,0.0,0.0
target_only,512,700,8,58.53718566894531,58.569446206092834,,
classic_spec_sampling,512,700,8,59.162750244140625,59.20250341296196,0.0,0.0
target_only,512,700,9,59.06819152832031,59.09814313054085,,
classic_spec_sampling,512,700,9,59.27763366699219,59.317588806152344,0.0,0.0
target_only,512,800,0,67.75804901123047,67.788265645504,,
classic_spec_sampling,512,800,0,68.36723327636719,68.40372458100319,0.0,0.0
target_only,512,800,1,67.73011016845703,67.75962933897972,,
classic_spec_sampling,512,800,1,68.39103698730469,68.4293694794178,0.0,0.0
target_only,512,800,2,66.97747039794922,67.00917333364487,,
classic_spec_sampling,512,800,2,67.78425598144531,67.82061606645584,0.0,0.0
target_only,512,800,3,67.8265609741211,67.86104664206505,,
classic_spec_sampling,512,800,3,68.50569915771484,68.5427114367485,0.0,0.0
target_only,512,800,4,67.03890991210938,67.06948950886726,,
classic_spec_sampling,512,800,4,68.38880157470703,68.4252455830574,0.0,0.0
target_only,512,800,5,67.02899169921875,67.06035509705544,,
classic_spec_sampling,512,800,5,67.62467193603516,67.66180694103241,0.0,0.0
target_only,512,800,6,67.01542663574219,67.04527139663696,,
classic_spec_sampling,512,800,6,67.6313247680664,67.66827031970024,0.0,0.0
target_only,512,800,7,66.87071990966797,66.90138578414917,,
classic_spec_sampling,512,800,7,67.606689453125,67.64393299818039,0.0,0.0
target_only,512,800,8,66.87471771240234,66.90318137407303,,
classic_spec_sampling,512,800,8,67.84559631347656,67.8841695189476,0.0,0.0
target_only,512,800,9,66.9122543334961,66.94047898054123,,
classic_spec_sampling,512,800,9,67.82988739013672,67.86682084202766,0.0,0.0
target_only,512,900,0,78.24134063720703,78.27084511518478,,
classic_spec_sampling,512,900,0,79.09385681152344,79.13379371166229,0.0,0.0
target_only,512,900,1,79.32009887695312,79.34900000691414,,
classic_spec_sampling,512,900,1,79.06390380859375,79.09958437085152,0.0,0.0
target_only,512,900,2,78.25782775878906,78.28700169920921,,
classic_spec_sampling,512,900,2,79.06275177001953,79.09819856286049,0.0,0.0
target_only,512,900,3,77.92752075195312,77.95685529708862,,
classic_spec_sampling,512,900,3,78.84486389160156,78.88076081871986,0.0,0.0
target_only,512,900,4,77.99552154541016,78.02417129278183,,
classic_spec_sampling,512,900,4,78.83715057373047,78.8763128221035,0.0,0.0
target_only,512,900,5,77.99359893798828,78.02312448620796,,
classic_spec_sampling,512,900,5,78.9111328125,78.95317673683167,0.0,0.0
target_only,512,900,6,77.96553802490234,77.99500972032547,,
classic_spec_sampling,512,900,6,79.07008361816406,79.10633459687233,0.0,0.0
target_only,512,900,7,77.9797134399414,78.00803706049919,,
classic_spec_sampling,512,900,7,78.80038452148438,78.8361132144928,0.0,0.0
target_only,512,900,8,77.97907257080078,78.00915837287903,,
classic_spec_sampling,512,900,8,78.86492919921875,78.90412956476212,0.0,0.0
target_only,512,900,9,77.99494171142578,78.02527397871017,,
classic_spec_sampling,512,900,9,78.80719757080078,78.84803414344788,0.0,0.0
target_only,512,1000,0,84.12992095947266,84.1585323214531,,
classic_spec_sampling,512,1000,0,85.0186538696289,85.05746722221375,0.0,0.0
target_only,512,1000,1,84.16995239257812,84.19762551784515,,
classic_spec_sampling,512,1000,1,85.09503936767578,85.1348303258419,0.0,0.0
target_only,512,1000,2,84.12614440917969,84.15564149618149,,
classic_spec_sampling,512,1000,2,84.99478149414062,85.0314050912857,0.0,0.0
target_only,512,1000,3,84.0887680053711,84.11679416894913,,
classic_spec_sampling,512,1000,3,85.95283508300781,85.99338680505753,0.0,0.0
target_only,512,1000,4,84.41542053222656,84.44570377469063,,
classic_spec_sampling,512,1000,4,85.14921569824219,85.18705144524574,0.0,0.0
target_only,512,1000,5,84.1272964477539,84.15772020816803,,
classic_spec_sampling,512,1000,5,85.07158660888672,85.10974794626236,0.0,0.0
target_only,512,1000,6,84.20588684082031,84.2360109090805,,
classic_spec_sampling,512,1000,6,85.13187408447266,85.17007902264595,0.0,0.0
target_only,512,1000,7,84.16185760498047,84.18996632099152,,
classic_spec_sampling,512,1000,7,85.09347534179688,85.13332530856133,0.0,0.0
target_only,512,1000,8,84.12579345703125,84.15437117218971,,
classic_spec_sampling,512,1000,8,85.02754974365234,85.06521955132484,0.0,0.0
target_only,512,1000,9,84.08070373535156,84.1098390519619,,
classic_spec_sampling,512,1000,9,85.02957153320312,85.07169038057327,0.0,0.0
target_only,512,1100,0,99.08124542236328,99.11099076271057,,
classic_spec_sampling,512,1100,0,99.94329833984375,99.98101741075516,0.0,0.0
target_only,512,1100,1,99.0191650390625,99.04950112104416,,
classic_spec_sampling,512,1100,1,100.05197143554688,100.0899225473404,0.0,0.0
target_only,512,1100,2,99.14246368408203,99.1738773882389,,
classic_spec_sampling,512,1100,2,100.12242889404297,100.15975683927536,0.0,0.0
target_only,512,1100,3,98.9754867553711,99.00441020727158,,
classic_spec_sampling,512,1100,3,99.89202880859375,99.92870688438416,0.0,0.0
target_only,512,1100,4,98.99215698242188,99.02172163128853,,
classic_spec_sampling,512,1100,4,100.09750366210938,100.14095902442932,0.0,0.0
target_only,512,1100,5,99.01264190673828,99.0416519343853,,
classic_spec_sampling,512,1100,5,100.08576202392578,100.12490302324295,0.0,0.0
target_only,512,1100,6,99.07202911376953,99.09981116652489,,
classic_spec_sampling,512,1100,6,99.94496154785156,99.98258575797081,0.0,0.0
target_only,512,1100,7,99.0258560180664,99.05410930514336,,
classic_spec_sampling,512,1100,7,99.97885131835938,100.01558437943459,0.0,0.0
target_only,512,1100,8,99.00943756103516,99.03984889388084,,
classic_spec_sampling,512,1100,8,99.96051025390625,99.99794512987137,0.0,0.0
target_only,512,1100,9,99.02003479003906,99.04927387833595,,
classic_spec_sampling,512,1100,9,99.89376068115234,99.9285914003849,0.0,0.0
target_only,512,1200,0,105.0956802368164,105.12440651655197,,
classic_spec_sampling,512,1200,0,106.07606506347656,106.11294209957123,0.0,0.0
target_only,512,1200,1,105.12140655517578,105.15069216489792,,
classic_spec_sampling,512,1200,1,106.07587432861328,106.11176118254662,0.0,0.0
target_only,512,1200,2,105.02220916748047,105.05003854632378,,
classic_spec_sampling,512,1200,2,106.04672241210938,106.08452558517456,0.0,0.0
target_only,512,1200,3,105.04934692382812,105.07684573531151,,
classic_spec_sampling,512,1200,3,106.10671997070312,106.14600777626038,0.0,0.0
target_only,512,1200,4,105.05094146728516,105.08279874920845,,
classic_spec_sampling,512,1200,4,106.0383071899414,106.0752309858799,0.0,0.0
target_only,512,1200,5,106.16201782226562,106.20051249861717,,
classic_spec_sampling,512,1200,5,106.14214324951172,106.1832569539547,0.0,0.0
target_only,512,1200,6,105.18460845947266,105.21531850099564,,
classic_spec_sampling,512,1200,6,143.8526153564453,143.89550313353539,0.0,0.0
target_only,512,1200,7,105.12796783447266,105.15812039375305,,
classic_spec_sampling,512,1200,7,106.02889251708984,106.07153177261353,0.0,0.0
target_only,512,1200,8,105.00701141357422,105.03730177879333,,
classic_spec_sampling,512,1200,8,106.0165786743164,106.05517029762268,0.0,0.0
target_only,512,1200,9,105.03427124023438,105.0628088414669,,
classic_spec_sampling,512,1200,9,106.09945678710938,106.1374880373478,0.0,0.0
target_only,512,1300,0,117.95545959472656,117.98509210348129,,
classic_spec_sampling,512,1300,0,118.8367691040039,118.87535452842712,0.0,0.0
target_only,512,1300,1,117.76191711425781,117.79053509235382,,
classic_spec_sampling,512,1300,1,118.92998504638672,118.97122487425804,0.0,0.0
target_only,512,1300,2,117.84051513671875,117.87053942680359,,
classic_spec_sampling,512,1300,2,118.82256317138672,118.85775998234749,0.0,0.0
target_only,512,1300,3,117.84684753417969,117.87882819771767,,
classic_spec_sampling,512,1300,3,118.87133026123047,118.90760809183121,0.0,0.0
target_only,512,1300,4,117.80508422851562,117.83493310213089,,
classic_spec_sampling,512,1300,4,118.81536102294922,118.8538447022438,0.0,0.0
target_only,512,1300,5,117.83331298828125,117.86319687962532,,
classic_spec_sampling,512,1300,5,118.88166046142578,118.91664937138557,0.0,0.0
target_only,512,1300,6,117.85078430175781,117.87793412804604,,
classic_spec_sampling,512,1300,6,118.97289276123047,119.01479586958885,0.0,0.0
target_only,512,1300,7,117.99779510498047,118.02785098552704,,
classic_spec_sampling,512,1300,7,118.8908462524414,118.92823129892349,0.0,0.0
target_only,512,1300,8,117.8141098022461,117.84212663769722,,
classic_spec_sampling,512,1300,8,118.85065460205078,118.88805404305458,0.0,0.0
target_only,512,1300,9,117.85657501220703,117.8884245455265,,
classic_spec_sampling,512,1300,9,118.88047790527344,118.91746148467064,0.0,0.0
target_only,512,1400,0,123.42758178710938,123.4574019908905,,
classic_spec_sampling,512,1400,0,124.52252960205078,124.55885112285614,0.0,0.0
target_only,512,1400,1,123.47456359863281,123.5041432082653,,
classic_spec_sampling,512,1400,1,124.6063003540039,124.6427670121193,0.0,0.0
target_only,512,1400,2,123.50128173828125,123.53169918060303,,
classic_spec_sampling,512,1400,2,124.56707000732422,124.60536882281303,0.0,0.0
target_only,512,1400,3,123.51862335205078,123.5470101237297,,
classic_spec_sampling,512,1400,3,124.64636993408203,124.68715012073517,0.0,0.0
target_only,512,1400,4,123.4803237915039,123.50983172655106,,
classic_spec_sampling,512,1400,4,124.61251068115234,124.64983761310577,0.0,0.0
target_only,512,1400,5,123.52566528320312,123.55367094278336,,
classic_spec_sampling,512,1400,5,124.57807922363281,124.61387738585472,0.0,0.0
target_only,512,1400,6,123.46649932861328,123.49536269903183,,
classic_spec_sampling,512,1400,6,127.14486694335938,127.18738242983818,0.0,0.0
target_only,512,1400,7,123.48918151855469,123.5262081027031,,
classic_spec_sampling,512,1400,7,124.6866226196289,124.72229823470116,0.0,0.0
target_only,512,1400,8,123.52130889892578,123.5494576394558,,
classic_spec_sampling,512,1400,8,124.5854721069336,124.62254241108894,0.0,0.0
target_only,512,1400,9,123.54307556152344,123.57985600829124,,
classic_spec_sampling,512,1400,9,124.58406066894531,124.62326511740685,0.0,0.0
target_only,512,1500,0,142.27529907226562,142.30382442474365,,
classic_spec_sampling,512,1500,0,143.39097595214844,143.4282809495926,0.0,0.0
target_only,512,1500,1,142.28076171875,142.31132715940475,,
classic_spec_sampling,512,1500,1,143.36915588378906,143.40601116418839,0.0,0.0
target_only,512,1500,2,142.2540740966797,142.28473231196404,,
classic_spec_sampling,512,1500,2,143.3651885986328,143.4003747999668,0.0,0.0
target_only,512,1500,3,142.13401794433594,142.16229692101479,,
classic_spec_sampling,512,1500,3,143.29737854003906,143.33272725343704,0.0,0.0
target_only,512,1500,4,142.22682189941406,142.25424453616142,,
classic_spec_sampling,512,1500,4,143.32518005371094,143.36222782731056,0.0,0.0
target_only,512,1500,5,142.189208984375,142.2169953584671,,
classic_spec_sampling,512,1500,5,171.20758056640625,171.24878615140915,0.0,0.0
target_only,512,1500,6,142.2833251953125,142.31441169977188,,
classic_spec_sampling,512,1500,6,143.39932250976562,143.4445194900036,0.0,0.0
target_only,512,1500,7,142.43417358398438,142.4696110188961,,
classic_spec_sampling,512,1500,7,143.43968200683594,143.48066970705986,0.0,0.0
target_only,512,1500,8,142.13807678222656,142.16772094368935,,
classic_spec_sampling,512,1500,8,143.28150939941406,143.32154020667076,0.0,0.0
target_only,512,1500,9,142.21871948242188,142.24664494395256,,
classic_spec_sampling,512,1500,9,143.40476989746094,143.44171062111855,0.0,0.0
target_only,512,1600,0,148.8046112060547,148.83331209421158,,
classic_spec_sampling,512,1600,0,150.12835693359375,150.16938745975494,0.0,0.0
target_only,512,1600,1,148.78591918945312,148.8201767206192,,
classic_spec_sampling,512,1600,1,150.2751007080078,150.31040087342262,0.0,0.0
target_only,512,1600,2,148.70912170410156,148.73690158128738,,
classic_spec_sampling,512,1600,2,150.0253143310547,150.06164461374283,0.0,0.0
target_only,512,1600,3,148.80531311035156,148.8347239792347,,
classic_spec_sampling,512,1600,3,149.95904541015625,149.9994993209839,0.0,0.0
target_only,512,1600,4,148.9154510498047,148.94713088870049,,
classic_spec_sampling,512,1600,4,150.00457763671875,150.04252642393112,0.0,0.0
target_only,512,1600,5,148.7367401123047,148.76468107104301,,
classic_spec_sampling,512,1600,5,150.03001403808594,150.0673070549965,0.0,0.0
target_only,512,1600,6,148.78802490234375,148.81818741559982,,
classic_spec_sampling,512,1600,6,149.9601593017578,149.99709278345108,0.0,0.0
target_only,512,1600,7,148.8555145263672,148.88368919491768,,
classic_spec_sampling,512,1600,7,150.05372619628906,150.09022876620293,0.0,0.0
target_only,512,1600,8,148.83815002441406,148.8705798983574,,
classic_spec_sampling,512,1600,8,150.0882568359375,150.13285726308823,0.0,0.0
target_only,512,1600,9,148.80560302734375,148.833516985178,,
classic_spec_sampling,512,1600,9,149.9681854248047,150.0048227608204,0.0,0.0
target_only,512,1700,0,166.64495849609375,166.6715294122696,,
classic_spec_sampling,512,1700,0,167.87677001953125,167.9132878780365,0.0,0.0
target_only,512,1700,1,166.6131591796875,166.64151847362518,,
classic_spec_sampling,512,1700,1,167.90313720703125,167.9440587759018,0.0,0.0
target_only,512,1700,2,166.77398681640625,166.8030172586441,,
classic_spec_sampling,512,1700,2,167.94073486328125,167.97646507620811,0.0,0.0
target_only,512,1700,3,166.86773681640625,166.91217198967934,,
classic_spec_sampling,512,1700,3,167.9478759765625,167.98514127731323,0.0,0.0
target_only,512,1700,4,166.62057495117188,166.6477657854557,,
classic_spec_sampling,512,1700,4,167.8627471923828,167.89868474006653,0.0,0.0
target_only,512,1700,5,166.68067932128906,166.71014577150345,,
classic_spec_sampling,512,1700,5,167.84860229492188,167.8847037255764,0.0,0.0
target_only,512,1700,6,166.6942138671875,166.72226414084435,,
classic_spec_sampling,512,1700,6,167.87615966796875,167.91364550590515,0.0,0.0
target_only,512,1700,7,166.64524841308594,166.67397692799568,,
classic_spec_sampling,512,1700,7,167.87680053710938,167.91126504540443,0.0,0.0
target_only,512,1700,8,166.60946655273438,166.63888096809387,,
classic_spec_sampling,512,1700,8,167.98521423339844,168.02158951759338,0.0,0.0
target_only,512,1700,9,166.67922973632812,166.70827567577362,,
classic_spec_sampling,512,1700,9,167.9189453125,167.95579716563225,0.0,0.0
target_only,512,1800,0,173.37171936035156,173.4011061489582,,
classic_spec_sampling,512,1800,0,174.7249298095703,174.7649572789669,0.0,0.0
target_only,512,1800,1,173.4568634033203,173.487339168787,,
classic_spec_sampling,512,1800,1,174.7073211669922,174.74493384361267,0.0,0.0
target_only,512,1800,2,173.4040069580078,173.43294620513916,,
classic_spec_sampling,512,1800,2,174.70655822753906,174.74506050348282,0.0,0.0
target_only,512,1800,3,173.3687286376953,173.3989678323269,,
classic_spec_sampling,512,1800,3,174.66680908203125,174.70266297459602,0.0,0.0
target_only,512,1800,4,173.30429077148438,173.33189025521278,,
classic_spec_sampling,512,1800,4,174.8480682373047,174.88669604063034,0.0,0.0
target_only,512,1800,5,173.33421325683594,173.3640320599079,,
classic_spec_sampling,512,1800,5,174.67056274414062,174.70666766166687,0.0,0.0
target_only,512,1800,6,173.4372100830078,173.46582934260368,,
classic_spec_sampling,512,1800,6,174.69119262695312,174.7296191751957,0.0,0.0
target_only,512,1800,7,173.3369598388672,173.36603626608849,,
classic_spec_sampling,512,1800,7,174.65750122070312,174.6962070465088,0.0,0.0
target_only,512,1800,8,173.33824157714844,173.36611822247505,,
classic_spec_sampling,512,1800,8,174.72720336914062,174.7651919722557,0.0,0.0
target_only,512,1800,9,173.4740447998047,173.50536212325096,,
