case,context_len,draft_len,repeat_idx,cuda_ms,wall_ms,accepted_count,rejected_index
target_only,512,1,0,15.555328369140625,15.585847198963165,,
classic_spec_sampling,512,1,0,15.965087890625,16.00360870361328,0.0,0.0
target_only,512,1,1,15.53542423248291,15.563514083623886,,
classic_spec_sampling,512,1,1,16.00476837158203,16.042176634073257,0.0,0.0
target_only,512,1,2,15.780768394470215,15.82450047135353,,
classic_spec_sampling,512,1,2,15.959648132324219,15.996195375919342,0.0,0.0
target_only,512,1,3,15.545568466186523,15.575520694255829,,
classic_spec_sampling,512,1,3,15.976448059082031,16.01356640458107,0.0,0.0
target_only,512,1,4,15.543744087219238,15.5726820230484,,
classic_spec_sampling,512,1,4,18.227392196655273,18.26431229710579,0.0,0.0
target_only,512,1,5,15.51375961303711,15.543065965175629,,
classic_spec_sampling,512,1,5,15.93177604675293,15.969473868608475,0.0,0.0
target_only,512,1,6,15.542847633361816,15.572279691696167,,
classic_spec_sampling,512,1,6,15.976960182189941,16.01557433605194,0.0,0.0
target_only,512,1,7,15.551008224487305,15.579596161842346,,
classic_spec_sampling,512,1,7,15.977888107299805,16.013815999031067,0.0,0.0
target_only,512,1,8,15.619359970092773,15.650451183319092,,
classic_spec_sampling,512,1,8,15.933343887329102,15.971817076206207,0.0,0.0
target_only,512,1,9,15.551136016845703,15.580512583255768,,
classic_spec_sampling,512,1,9,15.957088470458984,15.993606299161911,0.0,0.0
target_only,512,1,10,15.537055969238281,15.565168112516403,,
classic_spec_sampling,512,1,10,15.967264175415039,16.00441336631775,0.0,0.0
target_only,512,1,11,15.545215606689453,15.57488739490509,,
classic_spec_sampling,512,1,11,15.944352149963379,15.979893505573273,0.0,0.0
target_only,512,1,12,15.558719635009766,15.588019043207169,,
classic_spec_sampling,512,1,12,15.983712196350098,16.020484268665314,0.0,0.0
target_only,512,1,13,15.550239562988281,15.5792236328125,,
classic_spec_sampling,512,1,13,15.977952003479004,16.014177352190018,0.0,0.0
target_only,512,1,14,15.7291841506958,15.758626163005829,,
classic_spec_sampling,512,1,14,16.08006477355957,16.11972600221634,0.0,0.0
target_only,512,1,15,16.631872177124023,16.664661467075348,,
classic_spec_sampling,512,1,15,16.043840408325195,16.085177659988403,0.0,0.0
target_only,512,1,16,15.574080467224121,15.601731836795807,,
classic_spec_sampling,512,1,16,15.99948787689209,16.041390597820282,0.0,0.0
target_only,512,1,17,15.573663711547852,15.602465718984604,,
classic_spec_sampling,512,1,17,15.964447975158691,16.001183539628983,0.0,0.0
target_only,512,1,18,15.50556755065918,15.533674508333206,,
classic_spec_sampling,512,1,18,15.962719917297363,16.000986099243164,0.0,0.0
target_only,512,1,19,15.546015739440918,15.57423546910286,,
classic_spec_sampling,512,1,19,15.98691177368164,16.024097800254822,0.0,0.0
target_only,512,2,0,16.773984909057617,16.802500933408737,,
classic_spec_sampling,512,2,0,17.333663940429688,17.37044006586075,0.0,0.0
target_only,512,2,1,16.769887924194336,16.797803342342377,,
classic_spec_sampling,512,2,1,17.447967529296875,17.484568059444427,0.0,0.0
target_only,512,2,2,16.80361557006836,16.83177426457405,,
classic_spec_sampling,512,2,2,17.212543487548828,17.248816788196564,0.0,0.0
target_only,512,2,3,16.75606346130371,16.785278916358948,,
classic_spec_sampling,512,2,3,17.197120666503906,17.236005514860153,0.0,0.0
target_only,512,2,4,16.77564811706543,16.804613173007965,,
classic_spec_sampling,512,2,4,17.177343368530273,17.21459999680519,0.0,0.0
target_only,512,2,5,16.775360107421875,16.805991530418396,,
classic_spec_sampling,512,2,5,17.198944091796875,17.235420644283295,0.0,0.0
target_only,512,2,6,16.773792266845703,16.804028302431107,,
classic_spec_sampling,512,2,6,17.174272537231445,17.211299389600754,0.0,0.0
target_only,512,2,7,16.739776611328125,16.768179833889008,,
classic_spec_sampling,512,2,7,17.142623901367188,17.179708927869797,0.0,0.0
target_only,512,2,8,16.748159408569336,16.776811331510544,,
classic_spec_sampling,512,2,8,17.12931251525879,17.16643199324608,0.0,0.0
target_only,512,2,9,16.744543075561523,16.774527728557587,,
classic_spec_sampling,512,2,9,17.11235237121582,17.149250954389572,0.0,0.0
target_only,512,2,10,18.8690242767334,18.898960202932358,,
classic_spec_sampling,512,2,10,17.205184936523438,17.242882400751114,0.0,0.0
target_only,512,2,11,16.719392776489258,16.74932986497879,,
classic_spec_sampling,512,2,11,17.143840789794922,17.179884016513824,0.0,0.0
target_only,512,2,12,16.704063415527344,16.733627766370773,,
classic_spec_sampling,512,2,12,17.132415771484375,17.168797552585602,0.0,0.0
target_only,512,2,13,16.719711303710938,16.74949750304222,,
classic_spec_sampling,512,2,13,17.13910484313965,17.176516354084015,0.0,0.0
target_only,512,2,14,16.707775115966797,16.735371202230453,,
classic_spec_sampling,512,2,14,17.22934341430664,17.266709357500076,0.0,0.0
target_only,512,2,15,16.794527053833008,16.822893172502518,,
classic_spec_sampling,512,2,15,17.214208602905273,17.249979078769684,0.0,0.0
target_only,512,2,16,16.751808166503906,16.78125560283661,,
classic_spec_sampling,512,2,16,17.118911743164062,17.15528964996338,0.0,0.0
target_only,512,2,17,16.70217514038086,16.731534153223038,,
