case,context_len,draft_len,repeat_idx,cuda_ms,wall_ms,accepted_count,rejected_index
target_only,512,10,0,16.827743530273438,16.871172934770584,,
classic_spec_sampling,512,10,0,17.238784790039062,17.291784286499023,0.0,0.0
target_only,512,10,1,16.826112747192383,16.87038689851761,,
classic_spec_sampling,512,10,1,17.32598304748535,17.379380762577057,0.0,0.0
target_only,512,10,2,16.822368621826172,16.86393842101097,,
classic_spec_sampling,512,10,2,23.524864196777344,23.577965795993805,0.0,0.0
target_only,512,10,3,16.7544002532959,16.798093914985657,,
classic_spec_sampling,512,10,3,17.14406394958496,17.187748104333878,0.0,0.0
target_only,512,10,4,16.794912338256836,16.831588000059128,,
classic_spec_sampling,512,10,4,17.23993682861328,17.28862151503563,0.0,0.0
target_only,512,10,5,16.993343353271484,17.028827220201492,,
classic_spec_sampling,512,10,5,17.15171241760254,17.1998031437397,0.0,0.0
target_only,512,10,6,16.863359451293945,16.900066286325455,,
classic_spec_sampling,512,10,6,19.19286346435547,19.244439899921417,0.0,0.0
target_only,512,10,7,16.7576961517334,16.794219613075256,,
classic_spec_sampling,512,10,7,17.52079963684082,17.57136359810829,0.0,0.0
target_only,512,10,8,16.91257667541504,16.951538622379303,,
classic_spec_sampling,512,10,8,17.336448669433594,17.387181520462036,1.0,1.0
target_only,512,10,9,16.84422492980957,16.88193902373314,,
classic_spec_sampling,512,10,9,17.326656341552734,17.378833144903183,0.0,0.0
target_only,512,10,10,16.775840759277344,16.812343150377274,,
classic_spec_sampling,512,10,10,17.2476806640625,17.2954760491848,0.0,0.0
target_only,512,10,11,16.88412857055664,16.920268535614014,,
classic_spec_sampling,512,10,11,17.289695739746094,17.334487289190292,0.0,0.0
target_only,512,10,12,16.685184478759766,16.719847917556763,,
classic_spec_sampling,512,10,12,17.252511978149414,17.297301441431046,0.0,0.0
target_only,512,10,13,16.811840057373047,16.846779733896255,,
classic_spec_sampling,512,10,13,17.1362247467041,17.178639769554138,0.0,0.0
target_only,512,10,14,16.652864456176758,16.684334725141525,,
classic_spec_sampling,512,10,14,17.50783920288086,17.552901059389114,0.0,0.0
