case,context_len,draft_len,repeat_idx,cuda_ms,wall_ms,accepted_count,rejected_index
target_only,16,1,0,15.059616088867188,15.092466026544571,,
classic_spec_sampling,16,1,0,15.714240074157715,15.75726643204689,0.0,0.0
target_only,16,1,1,14.999711990356445,15.036467462778091,,
classic_spec_sampling,16,1,1,15.603839874267578,15.644524246454239,0.0,0.0
target_only,16,1,2,14.991423606872559,15.024479478597641,,
classic_spec_sampling,16,1,2,15.582240104675293,15.62003418803215,0.0,0.0
target_only,16,1,3,15.11513614654541,15.15113189816475,,
classic_spec_sampling,16,1,3,15.831839561462402,15.8773735165596,0.0,0.0
target_only,16,1,4,15.04867172241211,15.080668032169342,,
classic_spec_sampling,16,1,4,15.659647941589355,15.703309327363968,0.0,0.0
target_only,16,1,5,15.167455673217773,15.197712928056717,,
classic_spec_sampling,16,1,5,15.639424324035645,15.681546181440353,0.0,0.0
target_only,16,1,6,14.940511703491211,14.972362667322159,,
classic_spec_sampling,16,1,6,15.723808288574219,15.76605811715126,0.0,0.0
target_only,16,1,7,15.005760192871094,15.039760619401932,,
classic_spec_sampling,16,1,7,16.00227165222168,16.048047691583633,0.0,0.0
target_only,16,1,8,15.089344024658203,15.124615281820297,,
classic_spec_sampling,16,1,8,15.818623542785645,15.86012914776802,0.0,0.0
target_only,16,1,9,14.979840278625488,15.013027936220169,,
classic_spec_sampling,16,1,9,15.58028793334961,15.6182162463665,0.0,0.0
target_only,16,2,0,15.78816032409668,15.820659697055817,,
classic_spec_sampling,16,2,0,16.216320037841797,16.256988048553467,0.0,0.0
target_only,16,2,1,15.74732780456543,15.779834240674973,,
classic_spec_sampling,16,2,1,16.14739227294922,16.18688926100731,0.0,0.0
target_only,16,2,2,15.778719902038574,15.812080353498459,,
classic_spec_sampling,16,2,2,16.181119918823242,16.22116193175316,0.0,0.0
target_only,16,2,3,15.88815975189209,15.92353731393814,,
classic_spec_sampling,16,2,3,16.26019287109375,16.29970595240593,0.0,0.0
target_only,16,2,4,15.773792266845703,15.805866569280624,,
classic_spec_sampling,16,2,4,16.213951110839844,16.254525631666183,0.0,0.0
target_only,16,2,5,15.756735801696777,15.78894630074501,,
classic_spec_sampling,16,2,5,16.27788734436035,16.319554299116135,0.0,0.0
target_only,16,2,6,15.741951942443848,15.774782747030258,,
classic_spec_sampling,16,2,6,16.30182456970215,16.344286501407623,0.0,0.0
target_only,16,2,7,15.816672325134277,15.85095003247261,,
classic_spec_sampling,16,2,7,16.283296585083008,16.326703131198883,0.0,0.0
target_only,16,2,8,15.828736305236816,15.860676765441895,,
classic_spec_sampling,16,2,8,16.189823150634766,16.228988766670227,0.0,0.0
target_only,16,2,9,15.69711971282959,15.729151666164398,,
classic_spec_sampling,16,2,9,16.339296340942383,16.378741711378098,0.0,0.0
target_only,16,3,0,15.897631645202637,15.928998589515686,,
classic_spec_sampling,16,3,0,16.29689598083496,16.336973756551743,0.0,0.0
target_only,16,3,1,15.777376174926758,15.80684632062912,,
classic_spec_sampling,16,3,1,16.56902313232422,16.611486673355103,0.0,0.0
target_only,16,3,2,16.033855438232422,16.068559139966965,,
classic_spec_sampling,16,3,2,16.49772834777832,16.543500125408173,0.0,0.0
target_only,16,3,3,15.829279899597168,15.861939638853073,,
classic_spec_sampling,16,3,3,16.32159996032715,16.361672431230545,0.0,0.0
target_only,16,3,4,15.804096221923828,15.835963189601898,,
classic_spec_sampling,16,3,4,16.298847198486328,16.336239874362946,0.0,0.0
target_only,16,3,5,15.8853759765625,15.918627381324768,,
classic_spec_sampling,16,3,5,16.35545539855957,16.396574676036835,0.0,0.0
target_only,16,3,6,15.813152313232422,15.843667089939117,,
classic_spec_sampling,16,3,6,16.196895599365234,16.234878450632095,0.0,0.0
target_only,16,3,7,15.830592155456543,15.86349681019783,,
classic_spec_sampling,16,3,7,16.51785659790039,16.561195254325867,0.0,0.0
target_only,16,3,8,15.769887924194336,15.801887959241867,,
classic_spec_sampling,16,3,8,16.370624542236328,16.413234174251556,0.0,0.0
target_only,16,3,9,15.921695709228516,15.953928232192993,,
classic_spec_sampling,16,3,9,16.311199188232422,16.352392733097076,0.0,0.0
target_only,16,4,0,15.566143989562988,15.596549957990646,,
classic_spec_sampling,16,4,0,15.850144386291504,15.888329595327377,0.0,0.0
target_only,16,4,1,15.372544288635254,15.40372148156166,,
classic_spec_sampling,16,4,1,16.23619270324707,16.291331499814987,0.0,0.0
target_only,16,4,2,15.632415771484375,15.667304396629333,,
classic_spec_sampling,16,4,2,15.96662425994873,16.00881665945053,0.0,0.0
target_only,16,4,3,15.549280166625977,15.578951686620712,,
classic_spec_sampling,16,4,3,15.95417594909668,15.99307730793953,0.0,0.0
target_only,16,4,4,15.371552467346191,15.401951968669891,,
classic_spec_sampling,16,4,4,16.328384399414062,16.370151191949844,0.0,0.0
target_only,16,4,5,15.516544342041016,15.550825744867325,,
classic_spec_sampling,16,4,5,16.11907196044922,16.164220869541168,0.0,0.0
target_only,16,4,6,15.686367988586426,15.71960374712944,,
classic_spec_sampling,16,4,6,15.970463752746582,16.00848138332367,0.0,0.0
target_only,16,4,7,15.426239967346191,15.456486493349075,,
classic_spec_sampling,16,4,7,15.979904174804688,16.01935178041458,0.0,0.0
target_only,16,4,8,15.50271987915039,15.53824171423912,,
classic_spec_sampling,16,4,8,16.20470428466797,16.244322061538696,0.0,0.0
target_only,16,4,9,15.470080375671387,15.504427254199982,,
classic_spec_sampling,16,4,9,16.15894317626953,16.203973442316055,0.0,0.0
target_only,16,5,0,15.839743614196777,15.869822353124619,,
classic_spec_sampling,16,5,0,32.253726959228516,32.309167087078094,0.0,0.0
target_only,16,5,1,15.728320121765137,15.76286181807518,,
classic_spec_sampling,16,5,1,16.26300811767578,16.30546897649765,0.0,0.0
target_only,16,5,2,15.57481575012207,15.606094151735306,,
classic_spec_sampling,16,5,2,15.9967679977417,16.03378728032112,0.0,0.0
target_only,16,5,3,15.677248001098633,15.70821925997734,,
classic_spec_sampling,16,5,3,16.360000610351562,16.39893651008606,0.0,0.0
target_only,16,5,4,15.792991638183594,15.826322138309479,,
classic_spec_sampling,16,5,4,17.326175689697266,17.369721084833145,0.0,0.0
target_only,16,5,5,15.768128395080566,15.805397182703018,,
classic_spec_sampling,16,5,5,16.21887969970703,16.260966658592224,0.0,0.0
target_only,16,5,6,16.21036720275879,16.242336481809616,,
classic_spec_sampling,16,5,6,16.577056884765625,16.616009175777435,0.0,0.0
target_only,16,5,7,15.613280296325684,15.644785016775131,,
classic_spec_sampling,16,5,7,15.948896408081055,15.987653285264969,0.0,0.0
target_only,16,5,8,15.559679985046387,15.592262148857117,,
classic_spec_sampling,16,5,8,16.33148765563965,16.375046223402023,0.0,0.0
target_only,16,5,9,15.560799598693848,15.595480799674988,,
classic_spec_sampling,16,5,9,16.275039672851562,16.316477209329605,0.0,0.0
target_only,16,6,0,15.704000473022461,15.735652297735214,,
classic_spec_sampling,16,6,0,16.578176498413086,16.6228748857975,0.0,0.0
target_only,16,6,1,15.865023612976074,15.900760889053345,,
classic_spec_sampling,16,6,1,19.105215072631836,19.151560962200165,0.0,0.0
target_only,16,6,2,15.771136283874512,15.803080052137375,,
classic_spec_sampling,16,6,2,16.383840560913086,16.422808170318604,0.0,0.0
target_only,16,6,3,15.836640357971191,15.870563685894012,,
classic_spec_sampling,16,6,3,16.70243263244629,16.742203384637833,0.0,0.0
target_only,16,6,4,15.811552047729492,15.843603760004044,,
classic_spec_sampling,16,6,4,16.520736694335938,16.574852168560028,0.0,0.0
target_only,16,6,5,16.771360397338867,16.806896775960922,,
classic_spec_sampling,16,6,5,16.358976364135742,16.398679465055466,0.0,0.0
target_only,16,6,6,15.594688415527344,15.627749264240265,,
classic_spec_sampling,16,6,6,16.309919357299805,16.350168734788895,0.0,0.0
target_only,16,6,7,15.619999885559082,15.649855136871338,,
classic_spec_sampling,16,6,7,16.470272064208984,16.51366427540779,0.0,0.0
target_only,16,6,8,16.27356719970703,16.30357652902603,,
classic_spec_sampling,16,6,8,16.22537612915039,16.265563666820526,0.0,0.0
target_only,16,6,9,15.588895797729492,15.619371086359024,,
classic_spec_sampling,16,6,9,19.0183048248291,19.06462386250496,0.0,0.0
target_only,16,7,0,15.464863777160645,15.4963880777359,,
classic_spec_sampling,16,7,0,16.182592391967773,16.2249393761158,0.0,0.0
target_only,16,7,1,15.657024383544922,15.691403299570084,,
classic_spec_sampling,16,7,1,17.00668716430664,17.051424831151962,0.0,0.0
target_only,16,7,2,15.728896141052246,15.760920941829681,,
classic_spec_sampling,16,7,2,16.19366455078125,16.233529895544052,0.0,0.0
target_only,16,7,3,15.547712326049805,15.578258782625198,,
classic_spec_sampling,16,7,3,35.894527435302734,35.93827411532402,0.0,0.0
target_only,16,7,4,15.6810884475708,15.714488923549652,,
classic_spec_sampling,16,7,4,16.225183486938477,16.26407355070114,0.0,0.0
target_only,16,7,5,15.442239761352539,15.474267303943634,,
classic_spec_sampling,16,7,5,16.230655670166016,16.26988872885704,0.0,0.0
target_only,16,7,6,16.284671783447266,16.313359141349792,,
classic_spec_sampling,16,7,6,16.532512664794922,16.571272164583206,0.0,0.0
target_only,16,7,7,15.577055931091309,15.608005225658417,,
classic_spec_sampling,16,7,7,16.271968841552734,16.313336789608,0.0,0.0
target_only,16,7,8,15.687904357910156,15.725146979093552,,
classic_spec_sampling,16,7,8,16.41753578186035,16.46040752530098,0.0,0.0
target_only,16,7,9,15.610048294067383,15.644241124391556,,
classic_spec_sampling,16,7,9,16.39084815979004,16.4300836622715,0.0,0.0
target_only,16,8,0,16.384159088134766,16.41896367073059,,
classic_spec_sampling,16,8,0,16.420352935791016,16.465365886688232,0.0,0.0
target_only,16,8,1,15.788191795349121,15.82084596157074,,
classic_spec_sampling,16,8,1,16.328224182128906,16.368459910154343,0.0,0.0
target_only,16,8,2,15.653696060180664,15.685085207223892,,
classic_spec_sampling,16,8,2,16.208415985107422,16.246914863586426,0.0,0.0
target_only,16,8,3,19.827360153198242,19.85986903309822,,
classic_spec_sampling,16,8,3,16.364608764648438,16.406115144491196,0.0,0.0
target_only,16,8,4,15.876383781433105,15.910502523183823,,
classic_spec_sampling,16,8,4,17.29350471496582,17.343178391456604,0.0,0.0
target_only,16,8,5,15.683135986328125,15.71660116314888,,
classic_spec_sampling,16,8,5,16.081279754638672,16.120057553052902,0.0,0.0
target_only,16,8,6,15.65503978729248,15.687782317399979,,
classic_spec_sampling,16,8,6,16.295263290405273,16.33310317993164,0.0,0.0
target_only,16,8,7,16.11782455444336,16.150444746017456,,
classic_spec_sampling,16,8,7,17.214527130126953,17.26413518190384,0.0,0.0
target_only,16,8,8,15.89737606048584,15.933383256196976,,
classic_spec_sampling,16,8,8,16.69715118408203,16.74029976129532,0.0,0.0
target_only,16,8,9,15.710816383361816,15.742737799882889,,
classic_spec_sampling,16,8,9,16.634559631347656,16.67502149939537,0.0,0.0
target_only,16,9,0,15.974080085754395,16.008879989385605,,
classic_spec_sampling,16,9,0,17.338623046875,17.3804871737957,0.0,0.0
target_only,16,9,1,16.078943252563477,16.110006719827652,,
classic_spec_sampling,16,9,1,16.5152645111084,16.55484363436699,0.0,0.0
target_only,16,9,2,15.955552101135254,15.986170619726181,,
classic_spec_sampling,16,9,2,16.470111846923828,16.509152948856354,0.0,0.0
target_only,16,9,3,16.06835174560547,16.101788729429245,,
classic_spec_sampling,16,9,3,16.65452766418457,16.697194427251816,0.0,0.0
target_only,16,9,4,16.177663803100586,16.211900860071182,,
classic_spec_sampling,16,9,4,18.186304092407227,18.234431743621826,0.0,0.0
target_only,16,9,5,15.895711898803711,15.926744788885117,,
classic_spec_sampling,16,9,5,16.581472396850586,16.621261835098267,0.0,0.0
target_only,16,9,6,16.097984313964844,16.128841787576675,,
classic_spec_sampling,16,9,6,24.918272018432617,24.963460862636566,0.0,0.0
target_only,16,9,7,16.246463775634766,16.281168907880783,,
classic_spec_sampling,16,9,7,16.737375259399414,16.78437739610672,0.0,0.0
target_only,16,9,8,15.897600173950195,15.929549932479858,,
classic_spec_sampling,16,9,8,22.289823532104492,22.3289392888546,0.0,0.0
target_only,16,9,9,15.925344467163086,15.955932438373566,,
classic_spec_sampling,16,9,9,16.563135147094727,16.603361815214157,0.0,0.0
target_only,16,10,0,15.924287796020508,15.956006944179535,,
classic_spec_sampling,16,10,0,16.5064640045166,16.54532179236412,0.0,0.0
target_only,16,10,1,16.02751922607422,16.058586537837982,,
classic_spec_sampling,16,10,1,16.36252784729004,16.39866828918457,0.0,0.0
target_only,16,10,2,15.967583656311035,15.99825918674469,,
classic_spec_sampling,16,10,2,16.707456588745117,16.746964305639267,0.0,0.0
target_only,16,10,3,16.15292739868164,16.187600791454315,,
classic_spec_sampling,16,10,3,16.753759384155273,16.798552125692368,0.0,0.0
target_only,16,10,4,16.157087326049805,16.19023084640503,,
classic_spec_sampling,16,10,4,17.352575302124023,17.394058406352997,0.0,0.0
target_only,16,10,5,15.881952285766602,15.913080424070358,,
classic_spec_sampling,16,10,5,16.16217613220215,16.20057225227356,0.0,0.0
target_only,16,10,6,15.82857608795166,15.867944806814194,,
classic_spec_sampling,16,10,6,16.476160049438477,16.514990478754044,0.0,0.0
target_only,16,10,7,15.874943733215332,15.90525358915329,,
classic_spec_sampling,16,10,7,16.298208236694336,16.3361094892025,0.0,0.0
target_only,16,10,8,16.2142391204834,16.24516025185585,,
classic_spec_sampling,16,10,8,16.501375198364258,16.540493816137314,0.0,0.0
target_only,16,10,9,16.05459213256836,16.088426113128662,,
classic_spec_sampling,16,10,9,16.500192642211914,16.540568321943283,0.0,0.0
target_only,16,11,0,16.13475227355957,16.1663256585598,,
classic_spec_sampling,16,11,0,16.516799926757812,16.555320471525192,0.0,0.0
target_only,16,11,1,22.59587287902832,22.63101562857628,,
classic_spec_sampling,16,11,1,16.474624633789062,16.51403307914734,0.0,0.0
target_only,16,11,2,16.111072540283203,16.143277287483215,,
classic_spec_sampling,16,11,2,16.496192932128906,16.534175723791122,0.0,0.0
target_only,16,11,3,16.013408660888672,16.04386791586876,,
classic_spec_sampling,16,11,3,16.67100715637207,16.71183481812477,0.0,0.0
target_only,16,11,4,16.044864654541016,16.075991094112396,,
classic_spec_sampling,16,11,4,16.51366424560547,16.552399843931198,0.0,0.0
target_only,16,11,5,15.913567543029785,15.945028513669968,,
classic_spec_sampling,16,11,5,16.369632720947266,16.415610909461975,0.0,0.0
target_only,16,11,6,16.266399383544922,16.29876345396042,,
classic_spec_sampling,16,11,6,16.53887939453125,16.581103205680847,0.0,0.0
target_only,16,11,7,16.241344451904297,16.276411712169647,,
classic_spec_sampling,16,11,7,16.763423919677734,16.80624485015869,0.0,0.0
target_only,16,11,8,15.953344345092773,15.983548015356064,,
classic_spec_sampling,16,11,8,16.481056213378906,16.520977020263672,0.0,0.0
target_only,16,11,9,17.23139190673828,17.26716384291649,,
classic_spec_sampling,16,11,9,33.40012741088867,33.44380483031273,0.0,0.0
target_only,16,12,0,16.035551071166992,16.068458557128906,,
classic_spec_sampling,16,12,0,16.59766387939453,16.637835651636124,0.0,0.0
target_only,16,12,1,17.02822494506836,17.059121280908585,,
classic_spec_sampling,16,12,1,16.444576263427734,16.484666615724564,0.0,0.0
target_only,16,12,2,16.14348793029785,16.177058219909668,,
classic_spec_sampling,16,12,2,16.77791976928711,16.82104542851448,0.0,0.0
target_only,16,12,3,16.129472732543945,16.16206392645836,,
classic_spec_sampling,16,12,3,16.668256759643555,16.706235706806183,0.0,0.0
target_only,16,12,4,17.344959259033203,17.378106713294983,,
