source_type,dataset_name,n,mean_tokens,min_tokens,max_tokens
chat,OpenAssistant/oasst1,5000,546.9232,256,5453
code,code_search_net/python,5000,593.054,256,13397
json_config,OpenAssistant/oasst1/raw_json_rows,5000,673.314,257,3394
math,EleutherAI/hendrycks_math/algebra/test,202,402.1188118811881,256,1570
math,EleutherAI/hendrycks_math/algebra/train,266,430.00375939849624,256,2901
math,EleutherAI/hendrycks_math/counting_and_probability/test,104,388.8269230769231,256,1679
math,EleutherAI/hendrycks_math/counting_and_probability/train,221,447.87330316742083,256,1662
math,EleutherAI/hendrycks_math/geometry/test,242,563.7479338842975,257,1597
math,EleutherAI/hendrycks_math/geometry/train,444,607.731981981982,257,3033
math,EleutherAI/hendrycks_math/intermediate_algebra/test,393,526.821882951654,256,1876
math,EleutherAI/hendrycks_math/intermediate_algebra/train,590,515.3101694915255,256,2047
math,EleutherAI/hendrycks_math/number_theory/test,132,378.6287878787879,256,1182
math,EleutherAI/hendrycks_math/number_theory/train,224,404.45089285714283,256,1001
math,EleutherAI/hendrycks_math/prealgebra/test,152,423.6513157894737,256,1141
math,EleutherAI/hendrycks_math/prealgebra/train,199,454.30150753768845,256,1453
math,EleutherAI/hendrycks_math/precalculus/test,264,554.2045454545455,257,1993
math,EleutherAI/hendrycks_math/precalculus/train,349,618.945558739255,256,3012
math,gsm8k/main/test,199,311.4824120603015,256,574
math,gsm8k/main/train,1019,314.9352306182532,256,575
natural_language,wikitext/wikitext-103-raw-v1,5000,633.2812,256,4389
