context_len,source_type,n,entropy_greedy_accept_top1_pearson,entropy_greedy_accept_top1_spearman,entropy_greedy_accept_top2_pearson,entropy_greedy_accept_top2_spearman,entropy_seq_accept_top1_expected_pearson,entropy_seq_accept_top1_expected_spearman,entropy_seq_accept_top2_expected_pearson,entropy_seq_accept_top2_expected_spearman,entropy_greedy_top2_gain_pearson,entropy_greedy_top2_gain_spearman,entropy_seq_top2_gain_pearson,entropy_seq_top2_gain_spearman,entropy_target_mass_on_draft_top2_pearson,entropy_target_mass_on_draft_top2_spearman,entropy_draft_top2_mass_pearson,entropy_draft_top2_mass_spearman
64,ALL,25000,-0.417874349277707,-0.3959688116909448,-0.4188105591997771,-0.402221770448169,-0.3697352181442718,-0.34620920573193803,-0.40284652067236837,-0.37029984194839327,-0.030718061202340566,-0.03791086403365068,-0.041361821306119026,0.14934340502237545,-0.4833498123209221,-0.4942465562758256,-0.8962923355445057,-0.8787552958862087
64,chat,5000,-0.5462023800084009,-0.5388773823381802,-0.5618125222959532,-0.5638945695564062,-0.5006375759835034,-0.4956585091815364,-0.506691157651912,-0.5072808419419041,-0.026884418986485355,-0.04107913267072182,0.02858690286851647,0.34267450786758774,-0.6385462133338802,-0.6834732131105618,-0.9679422647364063,-0.9668960568787185
64,code,5000,-0.44353857658574725,-0.4268725578451072,-0.4408832096864453,-0.4346814493853866,-0.397398580387986,-0.37326752770445465,-0.39642204328241765,-0.38109647778681704,-0.028591678122549726,-0.045989720239972234,-0.00720972162122354,0.23125653247057268,-0.4925890314142043,-0.49441107273937385,-0.9682531454319594,-0.959711733196561
64,json_config,5000,-0.09626549720489923,-0.09187484495409523,-0.05823878799102689,-0.06303506587137275,0.06877595143233572,-0.043072738897101025,-0.1436674994863109,-0.13750419965087055,0.04210782164348722,0.028364281500822746,-0.25395538166624815,-0.2082206342480403,-0.019414433047083072,-0.1786163296984976,-0.8644968944046422,-0.8012634251289977
64,math,5000,-0.5006023605691915,-0.49302074306556587,-0.5162670586960194,-0.5165063161514966,-0.4755393091523768,-0.49021022662836583,-0.48827220869876936,-0.5007055058193149,-0.04929761100660074,-0.061832741164087365,-0.010615201201626944,0.25664429153773616,-0.5634038079899771,-0.6044931782758273,-0.9506966689156112,-0.9518118896065634
64,natural_language,5000,-0.4750835955086197,-0.45251804794761014,-0.48747262804151104,-0.4764354343210176,-0.38132262901923303,-0.35405171094318,-0.3743410494812135,-0.3641678963919879,-0.03662415936439638,-0.053960095837947634,0.049124800229476795,0.22705684742691137,-0.6166648068279945,-0.6154575501617217,-0.9527914684654959,-0.9448061914215985
128,ALL,25000,-0.5403332779656524,-0.5387503456212089,-0.5344837537325808,-0.5341073378390182,-0.49995356333243574,-0.48933042174517527,-0.47776084970532656,-0.4730340553577017,-0.0034995929229308695,-0.005634160403596402,0.048998105476753845,0.37477496062896665,-0.5943077793381546,-0.6111647196441695,-0.9635154767610618,-0.9659302644896809
128,chat,5000,-0.5435240021427769,-0.5399111977195551,-0.5397479123061154,-0.5402658314379072,-0.5059409350227856,-0.5040707072092415,-0.4904078151844651,-0.4933208814384874,0.013801139448822984,0.006990636150845999,0.0704107657012882,0.37096901294343865,-0.612841455757127,-0.6676645138902053,-0.9686706981676524,-0.9680772868461184
128,code,5000,-0.46925546890090264,-0.4532888288164718,-0.47799961631053023,-0.47236740495182905,-0.4282917784074166,-0.3968459472098601,-0.42185033335611566,-0.41014973322587833,-0.04602138797055907,-0.06325874108476563,0.0005634727439661802,0.2452206576475245,-0.5179509271357636,-0.5280492069497925,-0.9726651093104485,-0.9691454407379695
128,json_config,5000,-0.6899179785080829,-0.5801353632899019,-0.684038453084859,-0.5734112523437491,-0.6698339380334101,-0.5503595161561399,-0.6538239984691318,-0.5539895784157955,0.015419824664097644,0.020170632242666627,0.06045699491995529,0.645001671864675,-0.6941799101995115,-0.5785636733072415,-0.9812410343279266,-0.9710439907749797
