context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,greedy_accept_top1_rate,greedy_accept_top2_rate,greedy_top2_gain_mean,seq_accept_top1_mean,seq_accept_top2_mean,seq_top2_gain_mean,seq_minus_greedy_top2,target_mass_on_draft_top2_mean,draft_top2_mass_mean,target_entropy_mean,seq_relative_gain_over_greedy_top2
64,chat,0,500,0.19656967178569176,0.0002565524773672223,0.5832948684692383,0.974,0.996,0.022,0.9728358929295937,0.9972003938555718,0.02436450070142746,0.001200393855571802,0.9905258196741342,0.9851430778503418,0.03957956810437622,0.00120521471442952
64,chat,1,500,1.1740608986616135,0.5944174528121948,1.7006301879882812,0.758,0.904,0.146,0.7764103639769335,0.9165152981237422,0.1401049340163636,0.012515298123742191,0.8869250407172393,0.8623501952886582,0.20529537656437777,0.01384435633157322
64,chat,2,500,2.0755213506221772,1.7006301879882812,2.401988983154297,0.61,0.796,0.186,0.6742609674898329,0.85265329609002,0.17839232820380294,0.05665329609002001,0.7604769866836546,0.6774447675347328,0.46452255925367447,0.07117248252515077
64,chat,3,500,2.6986836805343626,2.401988983154297,2.997751235961914,0.494,0.694,0.2,0.5793001210633346,0.7978938460357071,0.21859372544258107,0.10389384603570717,0.6471244169911217,0.5739870420098305,0.5860249664508629,0.14970294817825242
64,chat,4,500,3.278541970729828,2.9978346824645996,3.556119918823242,0.412,0.578,0.166,0.49460303504457664,0.6956777985755004,0.2010747638805013,0.11767779857550043,0.5265146713641977,0.4713286433517933,0.7382274620962634,0.20359480722404918
64,chat,5,500,3.8252593579292298,3.556852102279663,4.089844226837158,0.376,0.514,0.138,0.5033336187962969,0.6608001560684547,0.15746653735739913,0.14680015606845465,0.452756604330806,0.3860739915370941,0.9120959065120369,0.2856034164755927
64,chat,6,500,4.399144298553467,4.089844226837158,4.693447589874268,0.29,0.416,0.126,0.43266329748383564,0.6060838903955695,0.17342059230607085,0.19008389039556955,0.371800156267057,0.3085149269104004,0.9533987972906325,0.4569324288355038
64,chat,7,500,4.980866026878357,4.695541858673096,5.235750198364258,0.174,0.306,0.132,0.270171261133829,0.457223083495097,0.18705182149785446,0.151223083495097,0.2847736557954171,0.23743975773453713,0.877049149594805,0.4941930833173105
64,chat,8,500,5.5363159151077275,5.236809253692627,5.843456745147705,0.15,0.224,0.074,0.2537765346625888,0.3621145273523884,0.10833799220122559,0.1381145273523884,0.17932298172042327,0.1654008324742317,1.1606814277812227,0.6165827113945911
64,chat,9,500,6.329503890991211,5.847638130187988,7.792097091674805,0.068,0.108,0.04,0.1829581373623841,0.27430427916969474,0.0913461412316049,0.16630427916969476,0.10632104039641621,0.10075590374320745,1.2521602941195016,1.5398544367564329
64,code,0,500,0.7519842009362765,0.0030376140493899584,1.4675040245056152,0.796,0.838,0.042,0.7905230241619264,0.8522456283867378,0.061722604296775514,0.014245628386737819,0.8181270837741407,0.9237350460290908,0.27524290317316413,0.01699955654741983
64,code,1,500,2.070998913049698,1.471315622329712,2.57244873046875,0.56,0.666,0.106,0.5884180686564282,0.7138382169148397,0.12542014831585313,0.04783821691483969,0.6336200386351769,0.7337983292341232,0.461182631337161,0.07182915452678632
64,code,2,500,3.0100654053688047,2.572845935821533,3.4117817878723145,0.448,0.582,0.134,0.502271768677522,0.6701918679802086,0.16792009920944345,0.08819186798020862,0.5594780008498501,0.5633295585513115,0.5882846590847175,0.15153241920998045
64,code,3,500,3.738703125476837,3.412374496459961,4.03579044342041,0.388,0.504,0.116,0.4613961084229904,0.623699215050777,0.16230310644453189,0.11969921505077696,0.4695861261260265,0.4505509532392025,0.6836942197560202,0.2374984425610654
64,code,4,500,4.319837771415711,4.036448955535889,4.5912275314331055,0.306,0.382,0.076,0.4027883586445363,0.5247288178685652,0.1219404594811835,0.14272881786856517,0.3594084563999156,0.36917038714885714,0.8290776867233085,0.3736356488705895
64,code,5,500,4.83868694972992,4.591438293457031,5.0808539390563965,0.292,0.406,0.114,0.3716502838541331,0.5172444186725849,0.1455941349469754,0.11124441867258483,0.35860726104997614,0.2960504109412432,0.8830596292312248,0.27400103121326314
64,code,6,500,5.329698540687561,5.080995559692383,5.564382076263428,0.222,0.306,0.084,0.30186026289634027,0.41880950028185465,0.11694923747191413,0.11280950028185466,0.2826827331557355,0.2346865873336792,0.9247128860258143,0.3686584976531198
64,code,7,500,5.790200861930847,5.564770221710205,6.011312484741211,0.186,0.258,0.072,0.26571738622933866,0.36806056357845357,0.10234317749149753,0.11006056357845356,0.2290082436344852,0.18157579466700555,1.0245008104114595,0.4265913316994324
64,code,8,500,6.238495392799377,6.011792182922363,6.4773640632629395,0.124,0.188,0.064,0.22930272788722852,0.32251927973193956,0.09321655182889459,0.13451927973193956,0.16242432518364552,0.1301116496771574,1.1260321445006023,0.7155280836805296
64,code,9,500,6.858240482330323,6.479472637176514,7.707921028137207,0.058,0.088,0.03,0.1148694901861176,0.19788657967732215,0.08301708957567422,0.10988657967732215,0.0761416507045347,0.08015791349485517,1.3039008071652,1.2487111326968428
64,json_config,0,500,1.8136932362914084,0.27832093834877014,2.2064385414123535,0.266,0.312,0.046,0.20157220070063997,0.7128004029154436,0.5112282015831103,0.40080040291544355,0.2661410692603033,0.6738212272524834,1.3438321217115337,1.2846166760110371
64,json_config,1,500,2.3843977222442625,2.2078936100006104,2.552855968475342,0.216,0.292,0.076,0.24815417925030073,0.6222595202381186,0.37410534066306256,0.3302595202381186,0.26978790549108395,0.48659084689617155,1.1812466116027822,1.1310257542401323
64,json_config,2,500,2.6903392214775086,2.5530192852020264,2.808548927307129,0.216,0.31,0.094,0.2915261749402687,0.5541290117837632,0.2626028363777761,0.24412901178376317,0.23377706252474328,0.39038680934906006,1.3601496492447878,0.7875129412379457
64,json_config,3,500,2.912774893283844,2.8086156845092773,3.003814935684204,0.224,0.35,0.126,0.3483600773226609,0.6106673381891359,0.2623072610627054,0.2606673381891359,0.29733435831272415,0.34314477124810217,1.29647995573132,0.7447638233975312
64,json_config,4,500,3.0773005595207215,3.0038857460021973,3.1524553298950195,0.23,0.314,0.084,0.3521039031786851,0.6079559245517347,0.2558520208187533,0.29395592455173475,0.26989935268084236,0.30692192593216894,1.4334519113168758,0.9361653648144419
64,json_config,5,500,3.2238989534378053,3.1526825428009033,3.2950668334960938,0.2,0.296,0.096,0.3733252647076904,0.6218102162423065,0.24848495147230595,0.3258102162423065,0.2822419734252565,0.28312142249941824,1.3964016525606615,1.1007101900077922
64,json_config,6,500,3.358367743015289,3.295147180557251,3.4221930503845215,0.162,0.254,0.092,0.34127638015617706,0.5702958404944372,0.22901946009726473,0.31629584049443715,0.2506919094634765,0.26054517534375193,1.3349404757423409,1.245259214545028
64,json_config,7,500,3.4867415261268615,3.422349452972412,3.5534229278564453,0.198,0.308,0.11,0.3685949977309831,0.5977227982710025,0.22912780083290857,0.2897227982710025,0.29753020713986894,0.23951439997553825,1.1658324309015857,0.9406584359448134
64,json_config,8,500,3.6325036220550535,3.5534982681274414,3.7270936965942383,0.16,0.234,0.074,0.31319184222833424,0.5211477246331007,0.20795588245420787,0.2871477246331007,0.24833722809655812,0.22186853834986686,1.0752453514200562,1.227127028346584
64,json_config,9,500,3.9672155294418334,3.7271342277526855,5.416029930114746,0.11,0.206,0.096,0.2431759256285494,0.42512601033645386,0.18195008454612097,0.21912601033645387,0.20350543446487152,0.20282460469007493,0.9029342754744066,1.0637184967789024
64,math,0,500,0.5812343685666564,0.001140015316195786,1.2298226356506348,0.904,0.934,0.03,0.9021434581538443,0.9375080467874228,0.03536458844707141,0.0035080467874227805,0.9207205398290924,0.9414478566646576,0.1391089298195975,0.0037559387445640045
64,math,1,500,1.7176671526432037,1.2320407629013062,2.0962929725646973,0.644,0.766,0.122,0.6870943144269092,0.8361215348135261,0.14902722018134726,0.07012153481352612,0.741882201365004,0.7453437567949295,0.42929826523850445,0.09154247364690093
64,math,2,500,2.448405340671539,2.0971858501434326,2.793666124343872,0.506,0.68,0.174,0.5733918984597725,0.7545082237574584,0.1811163252910514,0.07450822375745836,0.6414752994201116,0.6112094197273255,0.5672379849092613,0.10957091729037993
64,math,3,500,3.0990647530555724,2.794210195541382,3.3729190826416016,0.43,0.586,0.156,0.5147882876451455,0.6949299902683781,0.18014170197385554,0.10892999026837813,0.5541337161868034,0.513977865099907,0.6362827947511942,0.18588735540678863
64,math,4,500,3.612317174911499,3.375998020172119,3.8455677032470703,0.414,0.546,0.132,0.4884263929107522,0.6520309487877949,0.1636045563745415,0.10603094878779484,0.5000753618974451,0.4356702139675617,0.7335586610703576,0.19419587690072315
64,math,5,500,4.0818625569343565,3.8464112281799316,4.331413269042969,0.322,0.452,0.13,0.41034671012856244,0.5920890755092414,0.18174236577673233,0.14008907550924138,0.42144525827575835,0.3672267137467861,0.7594116320629364,0.3099315829850473
64,math,6,500,4.595932258605957,4.33182430267334,4.874332427978516,0.248,0.36,0.112,0.3544336607026272,0.49920118809990616,0.14476752752175068,0.13920118809990617,0.3324315875749324,0.3020317403227091,0.853423675564256,0.3866699669441838
64,math,7,500,5.162279063224792,4.875619888305664,5.468952178955078,0.182,0.266,0.084,0.2810719391505036,0.421646763726279,0.14057482444673763,0.155646763726279,0.25028934462062413,0.23476703152060507,0.9127879750956349,0.5851382094972895
64,math,8,500,5.799025248527527,5.469265937805176,6.187577724456787,0.09,0.158,0.068,0.18738067940577485,0.30592348977130046,0.1185428101172665,0.14792348977130046,0.15186059948341477,0.16652782132476568,0.9178872582420081,0.9362246188056991
64,math,9,500,6.731723115921021,6.188872814178467,7.961248874664307,0.064,0.08,0.016,0.11133012995138258,0.1629756079812337,0.05164547778562579,0.0829756079812337,0.0804546821075556,0.10497152695804834,0.850463228516871,1.0371950997654211
64,natural_language,0,500,0.32901545291009826,0.0009136038715951145,0.809167742729187,0.932,0.982,0.05,0.9322524151899452,0.9803770699150628,0.04812465465615969,-0.0016229300849371908,0.9715419499698983,0.9751520050764084,0.09910629242043069,-0.0016526782942333919
64,natural_language,1,500,1.4346366780996322,0.8160620927810669,2.006068706512451,0.704,0.844,0.14,0.7363067116753509,0.903405687972105,0.16709897652326186,0.05940568797210499,0.8133676519043388,0.7998323792815208,0.4785391275591901,0.07038588622287321
64,natural_language,2,500,2.3677671990394593,2.012294054031372,2.721498966217041,0.478,0.636,0.158,0.564382941137659,0.7604466789436831,0.19606373766374038,0.12444667894368311,0.5650483536837627,0.5894262466430664,0.9903973392655462,0.19567087884226902
64,natural_language,3,500,3.048617600440979,2.7215147018432617,3.3592963218688965,0.376,0.528,0.152,0.4853997231306108,0.6845033247056072,0.1991036011416992,0.15650332470560713,0.46019916235128566,0.5016949920654297,1.2256444074953907,0.2964078119424377
64,natural_language,4,500,3.6191953301429747,3.359372615814209,3.8834710121154785,0.316,0.496,0.18,0.4516681851853831,0.6801449511164919,0.2284767665068134,0.18414495111649187,0.3989714993092967,0.424824778676033,1.477338856877759,0.37125998208970135
64,natural_language,5,500,4.1501511373519895,3.8834726810455322,4.4051513671875,0.336,0.458,0.122,0.4797043633044018,0.666014463525157,0.18631010024533382,0.208014463525157,0.3831775806822007,0.35233448469638823,1.5589103079533961,0.45418005136497164
64,natural_language,6,500,4.6599649105072025,4.40607213973999,4.905603408813477,0.276,0.414,0.138,0.4433249608302297,0.6323614752133719,0.18903651444007022,0.21836147521337196,0.32749928610257734,0.2907288416326046,1.5954358121128753,0.5274431768438936
64,natural_language,7,500,5.17298997592926,4.907214641571045,5.453010082244873,0.204,0.298,0.094,0.3975245247511356,0.5689011297041419,0.17137660505649568,0.2709011297041419,0.23981188619108082,0.22385606686770915,1.886037919375347,0.90906419363806
64,natural_language,8,500,5.7030687942504885,5.4538445472717285,5.994287490844727,0.188,0.248,0.06,0.36007166140014324,0.5025754551472353,0.14250379386678094,0.25457545514723534,0.1931207421165841,0.16387916109710932,2.0105129639660007,1.0265139320453038
64,natural_language,9,500,6.428661638259888,5.99436092376709,7.62078857421875,0.124,0.168,0.044,0.31320927900288426,0.4565913964090159,0.14338211753643715,0.2885913964090159,0.12637850083116006,0.10225810768827796,2.4170706790615806,1.7178059310060467
