source_type,dataset_name,source_name,num_tokens,text_hash
math,EleutherAI/hendrycks_math/algebra/test,algebra_test_796#selected_4261,392,9b0572c0898b3f2809a25f240f3aca1e54c4f7cc
natural_language,wikitext/wikitext-103-raw-v1,article_10005#selected_2477,367,df86d86dc47fdc631a75180bd6e7063a05dc853d
json_config,OpenAssistant/oasst1/raw_json_rows,json_row_9240#selected_2231,478,6f8e9d8f90ec7e7ad67172d3d36818bb9da6e5db
code,code_search_net/python,singularityhub/singularity-python:singularity/build/utils.py:sniff_extension#selected_4074,562,88361992dfa4532ff77ebafd1f6a3e14e93db4c5
natural_language,wikitext/wikitext-103-raw-v1,article_5851#selected_2998,617,6e4437adf802011764c1a56ef509b8f43c3516bb
natural_language,wikitext/wikitext-103-raw-v1,article_16353#selected_1808,974,3a8a08cb9106c51a64186f48c356f44b1368322d
json_config,OpenAssistant/oasst1/raw_json_rows,json_row_5474#selected_2770,597,7d8458eaf99b9d188b3914618cf62a7157802b66
code,code_search_net/python,google/dotty:efilter/parsers/common/grammar.py:match_tokens#selected_1147,266,7d1fabd7f6d9fd18033feae3810185d97c50515a
math,gsm8k/main/train,gsm8k_train_276#selected_1702,366,f71238ae4bf666c45f69bf3c634bd9375d7201e0
chat,OpenAssistant/oasst1,path_43b13f49-d32b-459d-b2ba-664f9db6aab3#selected_2757,660,3b85a42b308c09378160ff9470095f38760a469c
json_config,OpenAssistant/oasst1/raw_json_rows,json_row_2927#selected_3151,609,15af1a6281e93a5755ed3c21c43d6eeb4a3762ea
natural_language,wikitext/wikitext-103-raw-v1,article_18275#selected_1161,327,4ee1c864bee7765f5ef865bd5beba742cb06c187
natural_language,wikitext/wikitext-103-raw-v1,article_1580#selected_4777,376,a2f66a8bfdb032650288c5beceec08a7aa718ccf
math,EleutherAI/hendrycks_math/algebra/train,algebra_train_923#selected_2184,277,81172d6c51ea392b33d9fd5dc117fe3906bed12e
json_config,OpenAssistant/oasst1/raw_json_rows,json_row_8262#selected_3736,607,63506dce4f66884322c3306e4cc18f29a93127fc
chat,OpenAssistant/oasst1,path_08f98d06-f92a-4561-89fe-cf7edeb49204#selected_2308,735,aab258e1dcac99bce03ff60fb37df3aef53f0c3b
json_config,OpenAssistant/oasst1/raw_json_rows,json_row_8088#selected_2901,589,8b5f3a286bb3b529bb1bfe86e99b0382436f7b01
chat,OpenAssistant/oasst1,path_2d27316c-1ee7-4d5a-a186-53894baa1a0e#selected_3646,609,1e79f789926738e8f2ab2ed6c9b3c82f12ec0b31
code,code_search_net/python,jgillick/LendingClub:lendingclub/__init__.py:LendingClub.my_notes#selected_1454,545,798bc15aa1214174fa6f581f0b422fd464b467c9
chat,OpenAssistant/oasst1,path_30096f5b-ba66-423d-a88a-dc2f0f89a6c5#selected_966,309,1a487562159ed9187f9a41b44ec8279caba21ecb
chat,OpenAssistant/oasst1,path_5ecd958c-ea23-44b7-9775-096ab309cf7f#selected_12,696,11cd8bdfe982ee8d4d015b07469da5c190d742d7
math,EleutherAI/hendrycks_math/precalculus/train,precalculus_train_274#selected_2911,321,bee6dfb0f15e4d529a845f646d3709af0fbbe7ff
math,EleutherAI/hendrycks_math/number_theory/test,number_theory_test_61#selected_3933,373,a76c140583678eacd3a6ef4c2625ee4e5cfa6475
code,code_search_net/python,squdle/baseconvert:baseconvert/baseconvert.py:base#selected_3890,776,73ad8a3b369c2b8c2984f6685eef449d8338337c
code,code_search_net/python,umbresp/brawlstars:brawlstars/asyncclient.py:AsyncClient.get_player#selected_1965,328,19f9851233b177d1c05d81b5f8d5b040b875b39b
