context_len,k,n,greedy_accept,seq_accept,greedy_gain_vs_prev,seq_gain_vs_prev,seq_minus_greedy
64,1,25000,0.34804,0.43839440786123274,0.34804,0.43839440786123274,0.09035440786123272
64,2,25000,0.45064,0.607818710846901,0.1026,0.16942430298566818,0.157178710846901
64,3,25000,0.51892,0.6924014641356468,0.06828,0.08458275328874588,0.1734814641356468
64,4,25000,0.56104,0.7413628260874748,0.04212,0.048961361951828,0.18032282608747485
64,5,25000,0.5934,0.7730189234375954,0.03236,0.031656097350120545,0.17961892343759533
128,1,25000,0.41536,0.4757125275850296,0.41536,0.4757125275850296,0.06035252758502957
128,2,25000,0.49932,0.5899329381012917,0.08396,0.11422041051626206,0.09061293810129167
128,3,25000,0.54692,0.6550636192727088,0.0476,0.06513068117141724,0.10814361927270888
128,4,25000,0.58328,0.698527978079319,0.03636,0.04346435880661011,0.11524797807931897
128,5,25000,0.61604,0.7350575566887856,0.03276,0.036529578609466554,0.11901755668878555
256,1,25000,0.41112,0.4772958587265015,0.41112,0.4772958587265015,0.0661758587265015
256,2,25000,0.50788,0.6123822051763534,0.09676,0.13508634644985199,0.10450220517635345
256,3,25000,0.56324,0.6837795433497429,0.05536,0.07139733817338943,0.12053954334974293
256,4,25000,0.598,0.725762258682251,0.03476,0.04198271533250809,0.127762258682251
256,5,25000,0.62444,0.756551927280426,0.02644,0.03078966859817505,0.13211192728042598
